Condition	Theme	N_Genes	Example_Genes	Example_Recurrence_Range	Representative_GO_BP	Representative_GO_MF	TraitLayer_Composition
CTL	Lipid metabolism and transport	142	SORBI_3002G355900 (Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein); SORBI_3002G356000 (Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein); SORBI_3002G356200 (amino-acid N-acetyltransferase); SORBI_3002G402100 (Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein); SORBI_3002G402233 (Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein)	68-68	lipid metabolic process; NA; fatty acid biosynthetic process; fatty acid metabolic process; lipid catabolic process	transferase activity; hydrolase activity; NA; acyltransferase activity; metal ion binding	Individual | Individual; SumRatio | SumRatio
CTL	Nutrient sensing and homeostasis	112	SORBI_3002G356200 (amino-acid N-acetyltransferase); SORBI_3002G368000 (Probable 6-phosphogluconolactonase); SORBI_3002G402700 (Glutamine amidotransferase type-2 domain-containing protein); SORBI_3006G060000 (CDP-diacylglycerol--inositol 3-phosphatidyltransferase); SORBI_3002G372300 (GTP diphosphokinase)	68-68	NA; transmembrane transport; amino acid transport; amino acid biosynthetic process; amino acid transmembrane transport	transferase activity; metal ion binding; hydrolase activity; ATP binding; pyridoxal phosphate binding	Individual | Individual; SumRatio | SumRatio
CTL	Defense and stress signaling	203	SORBI_3006G060200 (HMA domain-containing protein); SORBI_3006G060400 (HMA domain-containing protein); SORBI_3002G374100 (Protein TIFY); SORBI_3002G367400 (AB hydrolase-1 domain-containing protein); SORBI_3002G368000 (Probable 6-phosphogluconolactonase)	68-68	defense response; response to oxidative stress; cellular oxidant detoxification; hydrogen peroxide catabolic process; response to stress	NA; metal ion binding; oxidoreductase activity; nucleotide binding; ATP binding	Individual | Individual; SumRatio | SumRatio
CTL	Development and growth regulation	132	SORBI_3002G355900 (Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein); SORBI_3002G356000 (Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein); SORBI_3002G373700 (NGR2); SORBI_3002G367600 (Uncharacterized protein); SORBI_3002G367300 (DUF4378 domain-containing protein)	68-68	NA; cell division; regulation of DNA-templated transcription; post-embryonic development; leaf senescence	NA; nucleotide binding; ATP binding; transferase activity; metal ion binding	Individual | Individual; SumRatio | SumRatio
CTL	Cell wall and barrier remodeling	69	SORBI_3002G370300 (Pectinesterase); SORBI_3002G420100 (Hexosyltransferase); SORBI_3002G351000 (FAS1 domain-containing protein); SORBI_3005G009600 (Pectinesterase); SORBI_3005G009900 (Pectinesterase)	67-68	cell wall organization; NA; pectin catabolic process; cell wall modification; plant-type cell wall organization	NA; transferase activity; hydrolase activity; enzyme inhibitor activity; glycosyltransferase activity	Individual | Individual; SumRatio | SumRatio
CTL	Photosynthesis, plastid, and energy	164	SORBI_3002G373950 (Pentacotripeptide-repeat region of PRORP domain-containing protein); SORBI_3002G367400 (AB hydrolase-1 domain-containing protein); SORBI_3003G202700 (Pentacotripeptide-repeat region of PRORP domain-containing protein); SORBI_3002G417000 (WEB family protein); SORBI_3009G206150 (Uncharacterized protein)	68-68	NA; photosynthesis; translation; proton transmembrane transport; response to light stimulus	metal ion binding; NA; oxidoreductase activity; nucleotide binding; ATP binding	Individual | Individual; SumRatio | SumRatio
CTL	Gene expression, RNA, and proteostasis	704	SORBI_3001G197100 (PORR domain-containing protein); SORBI_3005G051200 (AP2_ERF domain-containing protein); SORBI_3003G167900 (Fe2OG dioxygenase domain-containing protein); SORBI_3006G038400 (Vps72_YL1 C-terminal domain-containing protein); SORBI_3002G355400 (Uncharacterized protein)	68-68	regulation of DNA-templated transcription; NA; translation; protein ubiquitination; proteolysis	zinc ion binding; DNA binding; RNA binding; metal ion binding; DNA-binding transcription factor activity	Individual | Individual; SumRatio | SumRatio
CTL	Transport and trafficking	335	SORBI_3002G356101 (Cysteine-rich transmembrane CYSTM domain-containing protein); SORBI_3001G233700 (EGF-like domain-containing protein); SORBI_3002G367700 (Uncharacterized protein); SORBI_3001G219900 (Exportin-4); SORBI_3003G202900 (Uncharacterized protein)	68-68	transmembrane transport; NA; monoatomic ion transport; protein transport; potassium ion transport	transmembrane transporter activity; NA; nucleotide binding; ATP binding; protein kinase activity	Individual | Individual; SumRatio | SumRatio
LIN	Lipid metabolism and transport	336	SORBI_3001G222700 (aldehyde oxygenase (deformylating)); SORBI_3002G113700 (Lipase); SORBI_3005G212000 (Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein); SORBI_3001G258600 (GDSL esterase_lipase); SORBI_3004G284500 (ORM1-like protein 3)	28-51	lipid metabolic process; NA; lipid catabolic process; fatty acid biosynthetic process; fatty acid metabolic process	transferase activity; acyltransferase activity; hydrolase activity; acyltransferase activity, transferring groups other than amino-acyl groups; NA	Individual | Individual; SumRatio | SumRatio
LIN	Nutrient sensing and homeostasis	296	SORBI_3007G223801 (Glycerol-3-phosphate dehydrogenase NAD-dependent N-terminal domain-containing protein); SORBI_3008G088821 (Solanesyl diphosphate synthase); SORBI_3003G223500 (Uncharacterized protein); SORBI_3001G256700 (Cystathionine gamma-synthase); SORBI_3001G283700 (glycerol-3-phosphate 1-O-acyltransferase)	28-45	NA; amino acid biosynthetic process; transmembrane transport; amino acid transport; amino acid transmembrane transport	transferase activity; metal ion binding; hydrolase activity; ATP binding; nucleotide binding	Individual | Individual; SumRatio | SumRatio
