recurrence_cut	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
top10(rec>=55)	carbohydrate transmembrane transport	GO:0034219	26	6	0.504	11.910	8.063e-06	2.096e-04	SORBI_3002G353900;SORBI_3002G354000;SORBI_3002G354100;SORBI_3002G354200;SORBI_3002G354300;SORBI_3002G354400
top10(rec>=55)	regulation of defense response to fungus	GO:1900150	19	5	0.368	13.582	2.398e-05	3.118e-04	SORBI_3002G370100;SORBI_3002G420200;SORBI_3006G060200;SORBI_3006G060400;SORBI_3006G060800
top10(rec>=55)	sterol metabolic process	GO:0016125	10	3	0.194	15.483	7.755e-04	6.721e-03	SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800
top10(rec>=55)	cell wall modification	GO:0042545	29	3	0.562	5.339	1.804e-02	1.018e-01	SORBI_3002G370300;SORBI_3005G009600;SORBI_3005G009900
top10(rec>=55)	sterol biosynthetic process	GO:0016126	30	3	0.581	5.161	1.977e-02	1.018e-01	SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800
top10(rec>=55)	DNA recombination	GO:0006310	32	3	0.620	4.838	2.348e-02	1.018e-01	SORBI_3001G192900;SORBI_3002G351100;SORBI_3002G420000
top10(rec>=55)	pectin catabolic process	GO:0045490	37	3	0.717	4.185	3.430e-02	1.248e-01	SORBI_3002G370300;SORBI_3005G009600;SORBI_3005G009900
top10(rec>=55)	intracellular signal transduction	GO:0035556	73	4	1.414	2.828	5.280e-02	1.248e-01	SORBI_3001G196800;SORBI_3002G355100;SORBI_3002G355800;SORBI_3005G025400
top10(rec>=55)	hydrogen peroxide catabolic process	GO:0042744	104	5	2.015	2.481	5.114e-02	1.248e-01	SORBI_3002G357000;SORBI_3002G392200;SORBI_3002G392300;SORBI_3002G416900;SORBI_3010G140700
top10(rec>=55)	cellular oxidant detoxification	GO:0098869	131	6	2.538	2.364	4.165e-02	1.248e-01	SORBI_3002G357000;SORBI_3002G392200;SORBI_3002G392300;SORBI_3002G416900;SORBI_3009G206500;SORBI_3010G140700
top10(rec>=55)	translation	GO:0006412	241	9	4.670	1.927	4.446e-02	1.248e-01	SORBI_3002G356900;SORBI_3002G358400;SORBI_3002G364100;SORBI_3002G364301;SORBI_3002G372400;SORBI_3002G373800;SORBI_3002G402500;SORBI_3003G287900;SORBI_3009G206600
top10(rec>=55)	response to oxidative stress	GO:0006979	118	5	2.286	2.187	7.883e-02	1.708e-01	SORBI_3002G357000;SORBI_3002G392200;SORBI_3002G392300;SORBI_3002G416900;SORBI_3010G140700
