go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh
brassinosteroid metabolic process	GO:0016131	11	7	1.939	3.610	8.879e-04	1.101e-01
carbohydrate transmembrane transport	GO:0034219	26	12	4.583	2.618	7.247e-04	1.101e-01
P-body assembly	GO:0033962	5	4	0.881	4.538	4.135e-03	1.724e-01
plant-type cell wall cellulose biosynthetic process	GO:0052324	5	4	0.881	4.538	4.135e-03	1.724e-01
negative regulation of response to salt stress	GO:1901001	20	9	3.526	2.553	4.171e-03	1.724e-01
glutathione metabolic process	GO:0006749	34	13	5.993	2.169	3.552e-03	1.724e-01
defense response to other organism	GO:0098542	51	17	8.990	1.891	4.921e-03	1.744e-01
mitochondrial electron transport, NADH to ubiquinone	GO:0006120	6	4	1.058	3.782	1.067e-02	2.821e-01
plant-type cell wall organization or biogenesis	GO:0071669	9	5	1.586	3.152	1.138e-02	2.821e-01
regulation of defense response to fungus	GO:1900150	19	8	3.349	2.389	1.101e-02	2.821e-01
regulation of defense response	GO:0031347	16	7	2.820	2.482	1.359e-02	3.064e-01
cytokinin biosynthetic process	GO:0009691	13	6	2.292	2.618	1.652e-02	3.414e-01
poly(A)-dependent snoRNA 3'-end processing	GO:0071051	7	4	1.234	3.242	2.144e-02	3.541e-01
fructose 6-phosphate metabolic process	GO:0006002	8	4	1.410	2.836	3.698e-02	3.541e-01
regulation of phenylpropanoid metabolic process	GO:2000762	8	4	1.410	2.836	3.698e-02	3.541e-01
response to reactive oxygen species	GO:0000302	8	4	1.410	2.836	3.698e-02	3.541e-01
protein complex oligomerization	GO:0051259	8	4	1.410	2.836	3.698e-02	3.541e-01
salicylic acid metabolic process	GO:0009696	11	5	1.939	2.579	3.062e-02	3.541e-01
carbohydrate transport	GO:0008643	14	6	2.468	2.431	2.468e-02	3.541e-01
regulation of jasmonic acid mediated signaling pathway	GO:2000022	18	7	3.173	2.206	2.738e-02	3.541e-01
protein refolding	GO:0042026	25	9	4.407	2.042	2.206e-02	3.541e-01
brassinosteroid homeostasis	GO:0010268	23	8	4.054	1.973	3.713e-02	3.541e-01
potassium ion transmembrane transport	GO:0071805	48	14	8.461	1.655	3.345e-02	3.541e-01
potassium ion transport	GO:0006813	57	16	10.048	1.592	3.389e-02	3.541e-01
hydrogen peroxide catabolic process	GO:0042744	104	26	18.333	1.418	3.586e-02	3.541e-01
response to oxidative stress	GO:0006979	118	29	20.801	1.394	3.439e-02	3.541e-01
