trait,n_genes_in_rds
.alpha.-Ionone,11
.gamma.-Linolenoyl ethanolamide,0
"14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester",0
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",0
"9,12,13,TriHODE",27
AEG(o-15:2_15:0),0
AEG(o-16:2_16:0),0
AEG(o-16:2_18:2),0
AEG(o-16:3_16:0),0
AEG(o-18:3_16:1),0
AEG(o-18:4_16:1),0
AEG(o-18:4_18:2),0
Antheraxanthin,0
Apocarotenal,0
CL(18:1),0
Caryophyllene oxide,0
Cer(24:1),0
Cer(d18:2_20:1),0
Cycloartenol acetate,0
DG(12:0_12:0),0
DG(16:0_16:0),0
DG(16:0_18:0),5
DG(16:0_18:1),0
DG(16:0_18:2),0
DG(16:0_18:3),0
DG(16:0_2:0),0
DG(16:1_18:3),0
DG(18:0_18:0),0
DG(18:0_18:2),0
DG(18:1_18:1),0
DG(18:1_18:2),0
DG(18:1_18:3),0
DG(18:1_2:0),0
DG(18:2_18:2),0
DG(18:2_18:3),0
DG(18:3_18:3),0
DGDG(16:0_18:1),0
DGDG(16:0_18:2),9
DGDG(16:0_18:3),0
DGDG(18:0_18:2),0
DGDG(18:0_18:3),0
DGDG(18:2_18:3),0
DGDG(18:2_18:4),0
FA(22:1),0
GalCer(d18:2_18:1),0
GalCer(d18:2_20:1),0
GalCer(d18:2_22:1),0
LPC(16:0),0
LPC(18:3),0
LPE(16:0),0
Lutein,0
MG(12:0),0
MG(16:0),0
MG(16:1),0
MG(18:0),0
MG(18:1),0
MG(18:2),0
MG(18:3),0
MG(20:4),0
MGDG(16:0_18:1),0
MGDG(16:0_18:3),0
MGDG(18:2_18:2),0
MGDG(18:2_18:3),0
MGDG(18:3_18:3),0
Oxo fatty acid (18:3),53
PA(16:0_18:2),20
PC(14:0_14:0),3
PC(14:0_18:0),0
PC(14:0_18:2),3
PC(14:0_18:3),2
PC(14:0_20:4),0
PC(14:0_22:5),0
PC(14:0_22:6),0
PC(16:0_16:0),0
PC(16:0_18:0),0
PC(16:0_18:1),0
PC(16:0_18:2),0
PC(16:0_18:3),0
PC(16:0_20:3),0
PC(16:0_20:4),0
PC(16:0_20:5),0
PC(16:0_22:5),0
PC(16:0_22:6),0
PC(16:1_16:1),24
PC(16:1_18:2),0
PC(18:0_18:1),0
PC(18:0_18:2),0
PC(18:0_18:3),0
PC(18:0_20:2),0
PC(18:0_20:3),0
PC(18:0_20:4),0
PC(18:1_14:0),0
PC(18:1_16:0),0
PC(18:1_18:1),0
PC(18:1_18:2),0
PC(18:1_20:1),0
PC(18:1_20:4),0
PC(18:1_22:1),0
PC(18:1_24:0),0
PC(18:1_24:1),0
PC(18:2_0:0),3
PC(18:2_20:0),0
PC(18:3_0:0),0
PC(22:0_0:0),0
PC(22:1_22:1),0
PE(12:0_12:0),0
PE(14:0_22:6),0
PE(16:0_0:0),0
PE(16:0_18:0),0
PE(16:0_18:1),0
