trait,n_genes_in_rds
AEG,0
Cer,15
DG,0
DGDG,0
FA,164
GalCer,0
LPC,0
LPE,0
MG,0
MGDG,0
PA,0
PC,0
PE,0
PG,0
PS,0
SQDG,0
Sum_AEG_over_DG_log10ratio,0
Sum_AEG_over_FA_log10ratio,25
Sum_AEG_over_MG_log10ratio,0
Sum_AEG_over_PA_log10ratio,0
Sum_AEG_over_PC_log10ratio,0
Sum_AEG_over_PE_log10ratio,0
Sum_AEG_over_PG_log10ratio,0
Sum_AEG_over_PS_log10ratio,0
Sum_AEG_over_TG_log10ratio,0
Sum_Cer_over_AEG_log10ratio,0
Sum_Cer_over_DG_log10ratio,0
Sum_Cer_over_FA_log10ratio,0
Sum_Cer_over_MG_log10ratio,0
Sum_Cer_over_PA_log10ratio,0
Sum_Cer_over_PC_log10ratio,0
Sum_Cer_over_PE_log10ratio,0
Sum_Cer_over_PG_log10ratio,0
Sum_Cer_over_PS_log10ratio,0
Sum_Cer_over_TG_log10ratio,0
Sum_DGDG_over_AEG_log10ratio,0
Sum_DGDG_over_Cer_log10ratio,0
Sum_DGDG_over_DG_log10ratio,0
Sum_DGDG_over_FA_log10ratio,37
Sum_DGDG_over_GalCer_log10ratio,0
Sum_DGDG_over_LPC_log10ratio,0
Sum_DGDG_over_LPE_log10ratio,0
Sum_DGDG_over_MGDG_log10ratio,0
Sum_DGDG_over_MG_log10ratio,0
Sum_DGDG_over_PA_log10ratio,0
Sum_DGDG_over_PC_log10ratio,0
Sum_DGDG_over_PE_log10ratio,0
Sum_DGDG_over_PG_log10ratio,0
Sum_DGDG_over_PS_log10ratio,0
Sum_DGDG_over_SQDG_log10ratio,0
Sum_DGDG_over_TG_log10ratio,0
Sum_DG_over_MG_log10ratio,0
Sum_DG_over_PA_log10ratio,0
Sum_DG_over_PC_log10ratio,0
Sum_DG_over_PE_log10ratio,0
Sum_DG_over_PG_log10ratio,0
Sum_DG_over_PS_log10ratio,5
Sum_FA_over_DG_log10ratio,33
Sum_FA_over_MG_log10ratio,25
Sum_FA_over_PA_log10ratio,13
Sum_FA_over_PC_log10ratio,12
Sum_FA_over_PE_log10ratio,21
Sum_FA_over_PG_log10ratio,37
Sum_FA_over_PS_log10ratio,0
Sum_FA_over_TG_log10ratio,12
Sum_GalCer_over_AEG_log10ratio,0
Sum_GalCer_over_Cer_log10ratio,0
Sum_GalCer_over_DG_log10ratio,0
Sum_GalCer_over_FA_log10ratio,25
Sum_GalCer_over_LPC_log10ratio,0
Sum_GalCer_over_LPE_log10ratio,0
Sum_GalCer_over_MG_log10ratio,0
Sum_GalCer_over_PA_log10ratio,0
Sum_GalCer_over_PC_log10ratio,0
Sum_GalCer_over_PE_log10ratio,0
Sum_GalCer_over_PG_log10ratio,0
Sum_GalCer_over_PS_log10ratio,0
Sum_GalCer_over_TG_log10ratio,0
Sum_LPC_over_AEG_log10ratio,0
Sum_LPC_over_Cer_log10ratio,0
Sum_LPC_over_DG_log10ratio,0
Sum_LPC_over_FA_log10ratio,0
Sum_LPC_over_LPE_log10ratio,0
Sum_LPC_over_MG_log10ratio,0
Sum_LPC_over_PA_log10ratio,0
Sum_LPC_over_PC_log10ratio,0
Sum_LPC_over_PE_log10ratio,0
Sum_LPC_over_PG_log10ratio,1
Sum_LPC_over_PS_log10ratio,0
Sum_LPC_over_TG_log10ratio,0
Sum_LPE_over_AEG_log10ratio,0
Sum_LPE_over_Cer_log10ratio,0
Sum_LPE_over_DG_log10ratio,0
Sum_LPE_over_FA_log10ratio,0
Sum_LPE_over_MG_log10ratio,0
Sum_LPE_over_PA_log10ratio,0
Sum_LPE_over_PC_log10ratio,0
Sum_LPE_over_PE_log10ratio,0
Sum_LPE_over_PG_log10ratio,0
Sum_LPE_over_PS_log10ratio,0
Sum_LPE_over_TG_log10ratio,0
Sum_MGDG_over_AEG_log10ratio,0
Sum_MGDG_over_Cer_log10ratio,0
Sum_MGDG_over_DG_log10ratio,0
Sum_MGDG_over_FA_log10ratio,37
Sum_MGDG_over_GalCer_log10ratio,0
Sum_MGDG_over_LPC_log10ratio,0
Sum_MGDG_over_LPE_log10ratio,0
Sum_MGDG_over_MG_log10ratio,0
Sum_MGDG_over_PA_log10ratio,0
Sum_MGDG_over_PC_log10ratio,0
Sum_MGDG_over_PE_log10ratio,0
Sum_MGDG_over_PG_log10ratio,0
Sum_MGDG_over_PS_log10ratio,5
Sum_MGDG_over_SQDG_log10ratio,0
Sum_MGDG_over_TG_log10ratio,0
Sum_MG_over_PA_log10ratio,0
Sum_MG_over_PC_log10ratio,0
Sum_MG_over_PE_log10ratio,0
Sum_MG_over_PG_log10ratio,0
Sum_MG_over_PS_log10ratio,5
Sum_PA_over_PS_log10ratio,0
Sum_PC_over_PA_log10ratio,0
Sum_PC_over_PE_log10ratio,0
Sum_PC_over_PG_log10ratio,0
Sum_PC_over_PS_log10ratio,0
Sum_PE_over_PA_log10ratio,0
Sum_PE_over_PG_log10ratio,0
Sum_PE_over_PS_log10ratio,0
Sum_PG_over_PA_log10ratio,0
Sum_PG_over_PS_log10ratio,0
Sum_SQDG_over_AEG_log10ratio,0
Sum_SQDG_over_Cer_log10ratio,0
Sum_SQDG_over_DG_log10ratio,0
Sum_SQDG_over_FA_log10ratio,49
Sum_SQDG_over_GalCer_log10ratio,0
Sum_SQDG_over_LPC_log10ratio,0
Sum_SQDG_over_LPE_log10ratio,0
Sum_SQDG_over_MG_log10ratio,0
Sum_SQDG_over_PA_log10ratio,0
Sum_SQDG_over_PC_log10ratio,0
Sum_SQDG_over_PE_log10ratio,0
Sum_SQDG_over_PG_log10ratio,0
Sum_SQDG_over_PS_log10ratio,0
Sum_SQDG_over_TG_log10ratio,0
Sum_TG_over_DG_log10ratio,0
Sum_TG_over_MG_log10ratio,0
Sum_TG_over_PA_log10ratio,0
Sum_TG_over_PC_log10ratio,0
Sum_TG_over_PE_log10ratio,0
Sum_TG_over_PG_log10ratio,0
Sum_TG_over_PS_log10ratio,0
TG,0
