GeneID	GeneName	conditions	layers	best_p	max_r2	max_nphen
SORBI_3006G040500	Phospholipid-transporting ATPase	CTL	individual	1.0056489999999999e-26	1.0	27
SORBI_3005G148500	FBD domain-containing protein	CTL	individual	1.551627e-16	0.511363	13
SORBI_3005G149000	Saccharopine dehydrogenase NADP binding domain-containing protein	CTL	individual	1.551627e-16	0.746094	13
SORBI_3001G318000	glutathione transferase	CTL	individual	3.053225e-16	0.59527	11
SORBI_3001G318100	Uncharacterized protein	CTL	individual	3.053225e-16	1.0	11
SORBI_3001G320500	DUF4378 domain-containing protein	CTL	individual	3.053225e-16	0.420946	11
SORBI_3006G049666		CTL	individual	1.18068e-14	0.932151	11
SORBI_3006G044466	Uncharacterized protein	CTL	individual	9.34374e-14	0.963755	11
SORBI_3006G044532		CTL	individual	9.34374e-14	0.934958	11
SORBI_3006G044600		CTL	individual	9.34374e-14	0.958723	11
SORBI_3007G111800	Storage protein	CTL	individual	1.799445e-13	0.702765	11
SORBI_3007G111901	Uncharacterized protein	CTL	individual	1.799445e-13	0.699906	11
SORBI_3007G112000	Uncharacterized protein	CTL	individual	1.799445e-13	0.679712	11
SORBI_3002G148100	CRAL-TRIO domain-containing protein	CTL	individual	2.17296e-13	0.949842	11
SORBI_3002G148166	50S ribosomal protein L32, chloroplastic	CTL	individual	2.17296e-13	0.929591	11
SORBI_3002G148232		CTL	individual	2.17296e-13	0.939475	11
SORBI_3005G208275	Uncharacterized protein	CTL	individual	5.863299e-13	0.46287	11
SORBI_3001G206100	Wings apart-like protein C-terminal domain-containing protein	CTL	individual	2.556959e-12	1.0	11
SORBI_3004G134900	Uncharacterized protein	CTL	individual	7.769472e-12	0.959219	11
SORBI_3006G049700	SAM domain-containing protein	CTL	individual	6.595057e-15	0.920518	10
SORBI_3006G049900	J domain-containing protein	CTL	individual	6.595057e-15	0.924783	10
SORBI_3006G050000	Rab-GAP TBC domain-containing protein	CTL	individual	6.595057e-15	0.475508	10
SORBI_3006G050050	Uncharacterized protein	CTL	individual	6.595057e-15	0.932892	10
SORBI_3006G049600	Methyltransferase type 11 domain-containing protein	CTL	individual	1.18068e-14	1.0	10
SORBI_3008G131200	Uncharacterized protein	CTL	individual	6.204077e-14	0.575504	10
SORBI_3008G131300	Pectinesterase	CTL	individual	6.204077e-14	0.519377	10
SORBI_3008G131400	Uncharacterized protein	CTL	individual	6.204077e-14	0.440433	10
SORBI_3008G131500	Ubiquitin-like protease family profile domain-containing protein	CTL	individual	6.204077e-14	0.804644	10
SORBI_3008G131550	Myb_SANT-like domain-containing protein	CTL	individual	6.204077e-14	0.804348	10
SORBI_3008G131601	Ubiquitin-like protease family profile domain-containing protein	CTL	individual	6.204077e-14	0.847077	10
SORBI_3008G131651	Ubiquitin-like protease family profile domain-containing protein	CTL	individual	6.204077e-14	0.821618	10
SORBI_3008G131700	PsbP C-terminal domain-containing protein	CTL	individual	6.204077e-14	0.821108	10
SORBI_3008G131800	CCHC-type domain-containing protein	CTL	individual	6.204077e-14	0.877199	10
SORBI_3008G131900		CTL	individual	6.204077e-14	0.937677	10
SORBI_3008G132000		CTL	individual	6.204077e-14	0.878997	10
SORBI_3008G132200	Calmodulin-binding protein MPCBP	CTL	individual	6.204077e-14	0.647052	10
SORBI_3008G132250		CTL	individual	6.204077e-14	0.717423	10
SORBI_3008G132300		CTL	individual	6.204077e-14	0.650477	10
SORBI_3008G132400		CTL	individual	6.204077e-14	0.671209	10
SORBI_3008G132500		CTL	individual	6.204077e-14	0.677656	10
SORBI_3008G132550		CTL	individual	6.204077e-14	0.643748	10
SORBI_3008G132600		CTL	individual	6.204077e-14	0.684139	10
SORBI_3008G132700		CTL	individual	6.204077e-14	0.691366	10
SORBI_3008G132800		CTL	individual	6.204077e-14	0.71237	10
SORBI_3008G132900		CTL	individual	6.204077e-14	0.675856	10
SORBI_3008G133000		CTL	individual	6.204077e-14	0.431486	10
SORBI_3008G133100		CTL	individual	6.204077e-14	0.554278	10
SORBI_3008G133200		CTL	individual	6.204077e-14	0.449243	10
SORBI_3006G044800	Uncharacterized protein	CTL	individual	9.34374e-14	0.457746	10
SORBI_3005G086650		CTL	individual	1.174296e-13	0.645278	10
SORBI_3007G070700		CTL	individual	4.30794e-13	0.763719	10
SORBI_3007G070900	Uncharacterized protein	CTL	individual	4.30794e-13	0.763719	10
SORBI_3007G071000	NAC domain-containing protein	CTL	individual	4.30794e-13	0.763719	10
SORBI_3007G071100	Protein kinase domain-containing protein	CTL	individual	4.30794e-13	0.42875	10
SORBI_3007G071200	K Homology domain-containing protein	CTL	individual	4.30794e-13	0.580411	10
SORBI_3007G071300	50S ribosomal protein L27	CTL	individual	4.30794e-13	0.54869	10
SORBI_3007G071400	Pentacotripeptide-repeat region of PRORP domain-containing protein	CTL	individual	4.30794e-13	1.0	10
SORBI_3007G071500	Photosystem II 10 kDa polypeptide, chloroplastic	CTL	individual	4.30794e-13	0.595187	10
SORBI_3007G071600		CTL	individual	4.30794e-13	0.580786	10
SORBI_3007G071700		CTL	individual	4.30794e-13	0.559405	10
SORBI_3007G071800		CTL	individual	4.30794e-13	0.520347	10
SORBI_3005G152200	Aminotransferase class I_classII domain-containing protein	CTL	individual	9.674947e-13	0.415862	10
SORBI_3005G152250		CTL	individual	2.471614e-12	0.474779	10
SORBI_3009G110000	PH domain-containing protein	CTL	individual	3.69734e-12	0.407699	10
SORBI_3009G111400	Uncharacterized protein	CTL	individual	3.69734e-12	0.471733	10
SORBI_3006G039800		CTL	individual	4.630195e-12	0.975349	10
SORBI_3006G039900		CTL	individual	4.630195e-12	0.972689	10
SORBI_3006G040000		CTL	individual	4.630195e-12	0.967423	10
SORBI_3006G040101	Uncharacterized protein	CTL	individual	4.630195e-12	0.923377	10
SORBI_3001G254200	F-box domain-containing protein	CTL	individual	5.712934e-12	0.885503	10
SORBI_3002G039500		CTL	individual	7.587135e-12	0.581516	10
SORBI_3002G039600		CTL	individual	7.587135e-12	0.581516	10
SORBI_3002G039700		CTL	individual	7.587135e-12	0.581393	10
SORBI_3002G039800		CTL	individual	7.587135e-12	0.581455	10
SORBI_3002G039900	LOB domain-containing protein	CTL	individual	7.587135e-12	0.578696	10
SORBI_3002G041100	Aminotransferase class I_classII domain-containing protein	CTL	individual	7.587135e-12	0.921938	10
SORBI_3002G041150	Uncharacterized protein	CTL	individual	7.587135e-12	0.939624	10
SORBI_3002G041200	Aminotransferase class I_classII domain-containing protein	CTL	individual	7.587135e-12	1.0	10
SORBI_3002G041366	Uncharacterized protein	CTL	individual	7.587135e-12	1.0	10
SORBI_3002G041400	Uncharacterized protein	CTL	individual	7.587135e-12	1.0	10
SORBI_3002G041533	Alpha_beta hydrolase fold-3 domain-containing protein	CTL	individual	7.587135e-12	0.973331	10
SORBI_3002G041666	Uncharacterized protein	CTL	individual	7.587135e-12	0.841928	10
SORBI_3002G041800	Alpha_beta hydrolase fold-3 domain-containing protein	CTL	individual	7.587135e-12	0.774817	10
SORBI_3002G041900	Uncharacterized protein	CTL	individual	7.587135e-12	0.774427	10
SORBI_3002G042300		CTL	individual	7.587135e-12	0.669059	10
SORBI_3002G042400		CTL	individual	7.587135e-12	0.651632	10
SORBI_3002G042500		CTL	individual	7.587135e-12	0.704792	10
SORBI_3002G042600	ubiquitinyl hydrolase 1	CTL	individual	7.587135e-12	0.69822	10
SORBI_3002G042800	Uncharacterized protein	CTL	individual	7.587135e-12	0.690458	10
SORBI_3002G043000	Small RNA 2'-O-methyltransferase	CTL	individual	7.587135e-12	0.690458	10
SORBI_3002G043100	Histone deacetylase domain-containing protein	CTL	individual	7.587135e-12	0.7026	10
SORBI_3002G043201	Uncharacterized protein	CTL	individual	7.587135e-12	0.669059	10
SORBI_3002G043300	t-SNARE coiled-coil homology domain-containing protein	CTL	individual	7.587135e-12	0.658946	10
SORBI_3002G043500	Aldehyde oxidase	CTL	individual	7.587135e-12	0.669119	10
SORBI_3002G043700	C2 domain-containing protein	CTL	individual	7.587135e-12	0.59356	10
SORBI_3002G043800	Uncharacterized protein	CTL	individual	7.587135e-12	0.46268	10
SORBI_3002G044000	Eukaryotic translation initiation factor 3 subunit I	CTL	individual	7.587135e-12	0.681816	10
SORBI_3002G044100	Phytocyanin domain-containing protein (Fragment)	CTL	individual	7.587135e-12	0.673502	10
SORBI_3002G044200	Flavonoid 3'-monooxygenase	CTL	individual	7.587135e-12	0.653607	10
SORBI_3002G044700		CTL	individual	7.587135e-12	0.606234	10
SORBI_3002G044800		CTL	individual	7.587135e-12	0.613313	10
SORBI_3002G150766	Uncharacterized protein	CTL	individual	1.918745e-11	0.949842	10
SORBI_3007G112900	Uncharacterized protein	CTL	individual	4.068937e-11	0.951391	10
SORBI_3007G113101	Uncharacterized protein	CTL	individual	4.068937e-11	0.92749	10
SORBI_3007G113200	Uncharacterized protein	CTL	individual	4.068937e-11	0.951363	10
SORBI_3001G222300	Cyclin-dependent kinase inhibitor	CTL	individual	7.079967e-11	0.460115	10
SORBI_3001G222400	Uncharacterized protein	CTL	individual	7.079967e-11	0.468095	10
SORBI_3001G222500		CTL	individual	7.079967e-11	0.457193	10
SORBI_3001G222600	Cyanate hydratase	CTL	individual	7.079967e-11	0.468095	10
SORBI_3001G222700	aldehyde oxygenase (deformylating)	CTL	individual	7.079967e-11	0.524289	10
SORBI_3001G222800	MHD1 domain-containing protein	CTL	individual	7.079967e-11	0.586877	10
SORBI_3001G222900	RRM domain-containing protein	CTL	individual	7.079967e-11	0.682011	10
