condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
LIN	SQDG	positive regulation of cytoplasmic translation	GO:2000767	126	12	2.2627599243856333	5.303258145363408	2.4390596896659897e-06	0.000690253892175475	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050
LIN	SQDG	DNA topological change	GO:0006265	5	3	0.08979206049149338	33.410526315789475	5.53088919035525e-05	0.004568769772106468	SORBI_3010G116800;SORBI_3010G141001;SORBI_3010G141400
LIN	AEG	regulation of defense response	GO:0031347	16	3	0.08695652173913043	34.5	8.007523351517293e-05	0.004568769772106468	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600
CTL	TG	positive regulation of cytoplasmic translation	GO:2000767	126	14	4.272448015122873	3.2768099109562523	8.775996456991026e-05	0.004568769772106468	SORBI_3001G221850;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G088887;SORBI_3008G094500;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
LIN	TG	regulation of salicylic acid biosynthetic process	GO:0080142	7	4	0.2902882797731569	13.77940577940578	9.213879302091553e-05	0.004568769772106468	SORBI_3001G031600;SORBI_3003G083200;SORBI_3004G181600;SORBI_3004G181700
LIN	AEG	sphingolipid metabolic process	GO:0006665	17	3	0.09239130434782608	32.47058823529412	9.68643767937767e-05	0.004568769772106468	SORBI_3001G434900;SORBI_3003G394100;SORBI_3007G041500
LIN	AEG	regulation of jasmonic acid mediated signaling pathway	GO:2000022	18	3	0.09782608695652174	30.666666666666664	0.00011579521079344175	0.004681434950649145	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600
LIN	PC	sterol metabolic process	GO:0016125	10	5	0.6356332703213611	7.866171003717472	0.0001963769489669325	0.006946834569705237	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600
LIN	SQDG	negative regulation of response to salt stress	GO:1901001	20	4	0.3591682419659735	11.136842105263158	0.0003871088936674396	0.012172424100876156	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G127200;SORBI_3010G127300
CTL	PC	proteolysis	GO:0006508	272	5	0.6748582230623819	7.408963585434174	0.0004402716817461131	0.012459688593415001	SORBI_3008G098300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600
