condition	lipid_class	individual_phenotypes	candidate_genes	GO_BP_testable_genes	GO_terms_tested	BH_significant_terms
CTL	AEG	1	7	3	0	0
CTL	DG	1	13	6	0	0
CTL	DGDG	1	9	4	0	0
CTL	LPC	1	1	0	0	0
CTL	MG	1	2	2	0	0
CTL	PA	1	37	16	4	3
CTL	PC	12	58	21	1	1
CTL	PG	1	2	0	0	0
CTL	SQDG	3	9	1	0	0
CTL	TG	41	866	287	41	2
LIN	AEG	1	119	46	9	4
LIN	Cer	1	14	3	0	0
LIN	DG	4	34	19	0	0
LIN	DGDG	1	1	0	0	0
LIN	DGTS	1	24	13	0	0
LIN	FA	1	715	296	43	5
LIN	MG	1	13	8	0	0
LIN	MGDG	1	125	39	1	0
LIN	NAE	2	60	17	0	0
LIN	PA	1	1	0	0	0
LIN	PC	16	1324	538	97	5
LIN	PE	2	21	9	0	0
LIN	PS	1	22	8	0	0
LIN	SM	1	8	3	0	0
LIN	SQDG	3	396	152	28	5
LIN	TG	40	890	351	59	1
