condition	lipid_class	go_term	go_id	term_bg_windows	candidate_loci	term_loci	n_genes	expected_loci	fold_enrichment	p_value	p_adj_bh	p_perm	loci_genes
LIN	FA	regulation of DNA-templated transcription	GO:0006355	566	129	70	194	44.0906	1.588	8.583579590512282e-07	0.0006334414375233085	0.10268973102689731	SORBI_3001G022700;SORBI_3001G025600;SORBI_3001G025700;SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3001G033300;SORBI_3001G033400;SORBI_3001G034100;SORBI_3001G034200;SORBI_3001G034300;SORBI_3001G036300;SORBI_3001G036600;SORBI_3001G036800;SORBI_3001G037000;SORBI_3001G037500;SORBI_3001G038300;SORBI_3001G039400;SORBI_3001G039500;SORBI_3001G039600;SORBI_3001G039700;SORBI_3001G056200;SORBI_3001G056601;SORBI_3001G105100;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G402300;SORBI_3001G403700;SORBI_3001G404400;SORBI_3002G128400;SORBI_3002G128700;SORBI_3002G210200;SORBI_3002G210700;SORBI_3002G211300;SORBI_3002G263700;SORBI_3002G263800;SORBI_3002G264300;SORBI_3002G264400;SORBI_3002G265001;SORBI_3003G076200;SORBI_3003G076900;SORBI_3003G077100;SORBI_3003G077300;SORBI_3003G077400;SORBI_3003G077800;SORBI_3003G086300;SORBI_3003G086600;SORBI_3003G087100;SORBI_3003G087200;SORBI_3003G087600;SORBI_3003G088100;SORBI_3003G088300;SORBI_3003G088600;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G119900;SORBI_3003G324400;SORBI_3003G324500;SORBI_3003G382600;SORBI_3003G382900;SORBI_3003G383100;SORBI_3003G385100;SORBI_3003G388000;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G390100;SORBI_3003G410800;SORBI_3003G417350;SORBI_3003G417500;SORBI_3003G419300;SORBI_3003G419400;SORBI_3003G419500;SORBI_3004G004300;SORBI_3004G004400;SORBI_3004G004800;SORBI_3004G005000;SORBI_3004G005300;SORBI_3004G008900;SORBI_3004G009000;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009600;SORBI_3004G009900;SORBI_3004G010000;SORBI_3004G011900;SORBI_3004G017900;SORBI_3004G018400;SORBI_3004G028000;SORBI_3004G028500;SORBI_3004G028700;SORBI_3004G029400;SORBI_3004G029900;SORBI_3004G046100;SORBI_3004G047400;SORBI_3004G047500;SORBI_3004G047600;SORBI_3004G048000;SORBI_3004G048300;SORBI_3004G062100;SORBI_3004G062200;SORBI_3004G066700;SORBI_3004G066800;SORBI_3004G066900;SORBI_3004G067100;SORBI_3004G096300;SORBI_3004G181500;SORBI_3004G181800;SORBI_3004G182000;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3004G341300;SORBI_3004G341600;SORBI_3004G341700;SORBI_3004G341800;SORBI_3004G341900;SORBI_3004G342000;SORBI_3005G175500;SORBI_3006G183800;SORBI_3006G183900;SORBI_3006G184400;SORBI_3006G184700;SORBI_3006G188700;SORBI_3006G188900;SORBI_3006G190000;SORBI_3006G190300;SORBI_3006G190800;SORBI_3006G191500;SORBI_3006G191600;SORBI_3006G191700;SORBI_3006G192000;SORBI_3006G192200;SORBI_3006G192400;SORBI_3006G194150;SORBI_3006G194300;SORBI_3006G194400;SORBI_3006G194700;SORBI_3006G194900;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G195500;SORBI_3006G219200;SORBI_3006G219300;SORBI_3006G243200;SORBI_3006G277550;SORBI_3006G278500;SORBI_3006G278600;SORBI_3007G059700;SORBI_3007G158600;SORBI_3007G160400;SORBI_3007G162100;SORBI_3007G162200;SORBI_3007G162400;SORBI_3007G179750;SORBI_3007G179900;SORBI_3007G180300;SORBI_3007G180450;SORBI_3007G182700;SORBI_3007G183050;SORBI_3007G212300;SORBI_3008G126200;SORBI_3010G032400;SORBI_3010G034000;SORBI_3010G214900;SORBI_3010G215100;SORBI_3010G215300;SORBI_3010G215400;SORBI_3010G215500;SORBI_3010G215600;SORBI_3010G216200;SORBI_3010G221400;SORBI_3010G221500;SORBI_3010G221600;SORBI_3010G222000;SORBI_3010G222400;SORBI_3010G224100;SORBI_3010G224200;SORBI_3010G224400;SORBI_3010G224501
LIN	PC	regulation of DNA-templated transcription	GO:0006355	566	273	128	335	93.308	1.372	1.340616798991129e-06	0.0006334414375233085	0.1321867813218678	SORBI_3001G000700;SORBI_3001G001200;SORBI_3001G038300;SORBI_3001G038800;SORBI_3001G039100;SORBI_3001G039400;SORBI_3001G039600;SORBI_3001G039700;SORBI_3001G105100;SORBI_3001G127500;SORBI_3001G127700;SORBI_3001G127800;SORBI_3001G128100;SORBI_3001G128200;SORBI_3001G128300;SORBI_3001G128500;SORBI_3001G129000;SORBI_3001G166700;SORBI_3001G166800;SORBI_3001G168400;SORBI_3001G168700;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G229850;SORBI_3001G230000;SORBI_3001G230050;SORBI_3001G230100;SORBI_3001G230200;SORBI_3001G249000;SORBI_3001G249200;SORBI_3001G249700;SORBI_3001G252200;SORBI_3001G252300;SORBI_3001G252700;SORBI_3001G286700;SORBI_3001G287700;SORBI_3001G290400;SORBI_3001G338400;SORBI_3001G338800;SORBI_3001G339000;SORBI_3001G339100;SORBI_3001G384100;SORBI_3001G384200;SORBI_3001G384400;SORBI_3001G384500;SORBI_3001G384600;SORBI_3001G435300;SORBI_3001G435400;SORBI_3001G436400;SORBI_3001G436600;SORBI_3001G436900;SORBI_3001G467000;SORBI_3001G471600;SORBI_3001G472000;SORBI_3001G472800;SORBI_3001G473200;SORBI_3001G526300;SORBI_3001G526900;SORBI_3001G527700;SORBI_3001G527800;SORBI_3001G527900;SORBI_3001G528000;SORBI_3001G528100;SORBI_3001G528200;SORBI_3001G531100;SORBI_3001G531500;SORBI_3002G027401;SORBI_3002G027500;SORBI_3002G027600;SORBI_3002G027700;SORBI_3002G027800;SORBI_3002G027901;SORBI_3002G029800;SORBI_3002G029900;SORBI_3002G030500;SORBI_3002G113600;SORBI_3002G113800;SORBI_3002G113900;SORBI_3002G114200;SORBI_3002G114300;SORBI_3002G114700;SORBI_3002G114800;SORBI_3002G114900;SORBI_3002G115200;SORBI_3002G116000;SORBI_3002G116100;SORBI_3002G116200;SORBI_3002G116300;SORBI_3002G116500;SORBI_3002G116800;SORBI_3002G117100;SORBI_3002G117300;SORBI_3002G117400;SORBI_3002G121600;SORBI_3002G229800;SORBI_3002G230100;SORBI_3002G230900;SORBI_3002G251800;SORBI_3002G253000;SORBI_3002G253600;SORBI_3002G253800;SORBI_3002G306100;SORBI_3002G306201;SORBI_3002G306300;SORBI_3002G306500;SORBI_3002G306600;SORBI_3002G306700;SORBI_3002G379866;SORBI_3002G380100;SORBI_3002G380200;SORBI_3002G380300;SORBI_3002G380500;SORBI_3003G044900;SORBI_3003G045000;SORBI_3003G045200;SORBI_3003G105800;SORBI_3003G105900;SORBI_3003G106000;SORBI_3003G106200;SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600;SORBI_3003G145400;SORBI_3003G199900;SORBI_3003G231900;SORBI_3003G364600;SORBI_3003G365400;SORBI_3003G372100;SORBI_3003G372200;SORBI_3003G372500;SORBI_3003G372700;SORBI_3003G372800;SORBI_3003G372900;SORBI_3003G373000;SORBI_3003G373100;SORBI_3003G373500;SORBI_3003G373600;SORBI_3003G374000;SORBI_3003G374100;SORBI_3003G374200;SORBI_3003G374500;SORBI_3003G375200;SORBI_3003G382600;SORBI_3003G382900;SORBI_3003G383100;SORBI_3003G385100;SORBI_3003G388000;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G391000;SORBI_3003G412000;SORBI_3003G412300;SORBI_3003G412600;SORBI_3003G412700;SORBI_3004G011300;SORBI_3004G011566;SORBI_3004G011700;SORBI_3004G011900;SORBI_3004G018400;SORBI_3004G046100;SORBI_3004G048000;SORBI_3004G048300;SORBI_3004G066700;SORBI_3004G066800;SORBI_3004G066900;SORBI_3004G078800;SORBI_3004G080300;SORBI_3004G102500;SORBI_3004G102800;SORBI_3004G107800;SORBI_3004G125800;SORBI_3004G181500;SORBI_3004G181600;SORBI_3004G181700;SORBI_3004G181800;SORBI_3004G182000;SORBI_3004G183100;SORBI_3004G183600;SORBI_3004G183800;SORBI_3004G183900;SORBI_3004G184000;SORBI_3004G184200;SORBI_3004G187800;SORBI_3004G252200;SORBI_3004G252500;SORBI_3004G252900;SORBI_3004G253100;SORBI_3004G253200;SORBI_3004G253300;SORBI_3004G253500;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3004G347100;SORBI_3005G028900;SORBI_3005G041500;SORBI_3005G224900;SORBI_3005G225800;SORBI_3006G117600;SORBI_3006G118100;SORBI_3006G118150;SORBI_3006G118200;SORBI_3006G118300;SORBI_3006G118700;SORBI_3006G119300;SORBI_3006G119400;SORBI_3006G119700;SORBI_3006G119800;SORBI_3006G120000;SORBI_3006G120301;SORBI_3006G120400;SORBI_3006G163200;SORBI_3006G163300;SORBI_3006G163401;SORBI_3006G216000;SORBI_3006G219200;SORBI_3006G219300;SORBI_3006G228200;SORBI_3006G243200;SORBI_3006G243400;SORBI_3006G243500;SORBI_3006G243600;SORBI_3006G243700;SORBI_3006G243800;SORBI_3006G244000;SORBI_3007G037800;SORBI_3007G039300;SORBI_3007G039400;SORBI_3007G039500;SORBI_3007G039600;SORBI_3007G137350;SORBI_3007G139000;SORBI_3007G148300;SORBI_3007G149700;SORBI_3007G153001;SORBI_3007G153100;SORBI_3007G179750;SORBI_3007G179900;SORBI_3007G180300;SORBI_3007G180450;SORBI_3007G181100;SORBI_3007G181500;SORBI_3007G182700;SORBI_3007G183050;SORBI_3007G183700;SORBI_3007G183900;SORBI_3007G216700;SORBI_3007G216900;SORBI_3007G217100;SORBI_3007G217300;SORBI_3007G217400;SORBI_3007G217700;SORBI_3008G070800;SORBI_3008G071050;SORBI_3008G071200;SORBI_3008G099900;SORBI_3008G100000;SORBI_3008G100100;SORBI_3008G100300;SORBI_3008G100400;SORBI_3008G100600;SORBI_3008G103200;SORBI_3008G103300;SORBI_3008G107500;SORBI_3008G148400;SORBI_3008G178800;SORBI_3008G178901;SORBI_3008G179000;SORBI_3008G179200;SORBI_3009G009300;SORBI_3009G009900;SORBI_3009G010000;SORBI_3009G010150;SORBI_3009G010300;SORBI_3009G010600;SORBI_3009G011300;SORBI_3009G011600;SORBI_3009G011700;SORBI_3009G013300;SORBI_3009G018600;SORBI_3009G019200;SORBI_3009G057200;SORBI_3009G057300;SORBI_3009G057700;SORBI_3009G057800;SORBI_3009G083800;SORBI_3009G085100;SORBI_3009G085200;SORBI_3009G085250;SORBI_3009G085600;SORBI_3009G085900;SORBI_3009G086800;SORBI_3009G111200;SORBI_3009G136600;SORBI_3009G147500;SORBI_3009G152800;SORBI_3009G153400;SORBI_3009G184000;SORBI_3009G184200;SORBI_3009G184300;SORBI_3009G184900;SORBI_3009G220800;SORBI_3009G237400;SORBI_3009G238100;SORBI_3009G238200;SORBI_3009G239301;SORBI_3009G247500;SORBI_3009G247601;SORBI_3009G249500;SORBI_3009G249700;SORBI_3009G250000;SORBI_3009G250100;SORBI_3009G251000;SORBI_3010G214900;SORBI_3010G215100;SORBI_3010G215300;SORBI_3010G215400;SORBI_3010G215500;SORBI_3010G215600;SORBI_3010G221400;SORBI_3010G221500;SORBI_3010G221600;SORBI_3010G222000;SORBI_3010G222200;SORBI_3010G222400;SORBI_3010G224100;SORBI_3010G224200;SORBI_3010G224400;SORBI_3010G224501
LIN	PC	protein ubiquitination	GO:0016567	215	273	55	121	35.4438	1.552	0.00016828210793798772	0.04414987829503264	0.041995800419958006	SORBI_3001G038300;SORBI_3001G038800;SORBI_3001G039100;SORBI_3001G039400;SORBI_3001G039600;SORBI_3001G039700;SORBI_3001G098800;SORBI_3001G099100;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G168400;SORBI_3001G168700;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G209900;SORBI_3001G210000;SORBI_3001G211500;SORBI_3001G211700;SORBI_3001G226500;SORBI_3001G226600;SORBI_3001G230300;SORBI_3001G230400;SORBI_3001G273500;SORBI_3001G472800;SORBI_3001G473200;SORBI_3002G027401;SORBI_3002G027500;SORBI_3002G027600;SORBI_3002G027700;SORBI_3002G027800;SORBI_3002G027901;SORBI_3002G155400;SORBI_3002G156000;SORBI_3002G175500;SORBI_3002G253900;SORBI_3002G254000;SORBI_3003G103701;SORBI_3003G198500;SORBI_3003G385100;SORBI_3003G388000;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G391000;SORBI_3004G018400;SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100;SORBI_3004G102500;SORBI_3004G102800;SORBI_3004G181500;SORBI_3004G181600;SORBI_3004G181700;SORBI_3004G187800;SORBI_3004G252200;SORBI_3004G252500;SORBI_3004G252900;SORBI_3004G253100;SORBI_3004G253200;SORBI_3004G253300;SORBI_3004G253500;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3005G028900;SORBI_3005G098501;SORBI_3005G098700;SORBI_3005G098800;SORBI_3005G099000;SORBI_3005G099100;SORBI_3005G099500;SORBI_3005G226000;SORBI_3006G117600;SORBI_3006G118100;SORBI_3006G118150;SORBI_3006G118200;SORBI_3006G118300;SORBI_3006G118700;SORBI_3006G119300;SORBI_3006G119400;SORBI_3006G119700;SORBI_3006G119800;SORBI_3006G120000;SORBI_3006G120301;SORBI_3006G120400;SORBI_3007G037800;SORBI_3007G048700;SORBI_3007G137350;SORBI_3007G139000;SORBI_3008G103200;SORBI_3008G103300;SORBI_3008G103700;SORBI_3008G104000;SORBI_3008G148400;SORBI_3009G009300;SORBI_3009G009900;SORBI_3009G010000;SORBI_3009G010150;SORBI_3009G010300;SORBI_3009G010600;SORBI_3009G073100;SORBI_3009G087000;SORBI_3009G087300;SORBI_3009G152800;SORBI_3009G153400;SORBI_3009G172950;SORBI_3009G173100;SORBI_3009G173200;SORBI_3009G173300;SORBI_3009G200800;SORBI_3009G201100;SORBI_3010G221400;SORBI_3010G221500;SORBI_3010G221600;SORBI_3010G222000;SORBI_3010G222200;SORBI_3010G222400
LIN	PC	cell division	GO:0051301	64	273	22	73	10.5507	2.085	0.00028483941631091847	0.04414987829503264	0.018698130186981302	SORBI_3001G166700;SORBI_3001G166800;SORBI_3001G168400;SORBI_3001G168700;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G203450;SORBI_3001G209900;SORBI_3001G210000;SORBI_3001G211500;SORBI_3001G211700;SORBI_3001G287700;SORBI_3001G291400;SORBI_3001G472800;SORBI_3001G473200;SORBI_3001G526300;SORBI_3001G526900;SORBI_3001G527700;SORBI_3001G527800;SORBI_3001G527900;SORBI_3001G528000;SORBI_3001G528100;SORBI_3001G528200;SORBI_3002G229800;SORBI_3002G230100;SORBI_3002G230900;SORBI_3003G328600;SORBI_3003G328700;SORBI_3003G372100;SORBI_3003G372200;SORBI_3003G372500;SORBI_3003G372700;SORBI_3003G372800;SORBI_3003G372900;SORBI_3003G373000;SORBI_3003G373100;SORBI_3003G373500;SORBI_3003G373600;SORBI_3003G374000;SORBI_3003G374100;SORBI_3003G374200;SORBI_3003G374500;SORBI_3003G375200;SORBI_3003G385100;SORBI_3003G388000;SORBI_3004G181800;SORBI_3004G182000;SORBI_3004G183100;SORBI_3004G183600;SORBI_3004G183800;SORBI_3004G183900;SORBI_3004G184000;SORBI_3004G184200;SORBI_3004G187800;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3008G101600;SORBI_3008G103700;SORBI_3008G104000;SORBI_3009G011300;SORBI_3009G011600;SORBI_3009G011700;SORBI_3009G013300;SORBI_3009G087000;SORBI_3009G087300;SORBI_3009G104900;SORBI_3009G184000;SORBI_3009G184200;SORBI_3009G184300
LIN	PC	transmembrane transport	GO:0055085	374	273	84	214	61.6558	1.362	0.0003744800720647986	0.04414987829503264	0.2511748825117488	SORBI_3001G098800;SORBI_3001G099100;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G127500;SORBI_3001G127700;SORBI_3001G127800;SORBI_3001G128100;SORBI_3001G128200;SORBI_3001G128300;SORBI_3001G128500;SORBI_3001G129000;SORBI_3001G168400;SORBI_3001G168700;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G186300;SORBI_3001G191700;SORBI_3001G191800;SORBI_3001G192000;SORBI_3001G256900;SORBI_3001G273500;SORBI_3001G454000;SORBI_3001G454100;SORBI_3001G456000;SORBI_3001G467000;SORBI_3001G471600;SORBI_3001G472000;SORBI_3001G472800;SORBI_3001G473200;SORBI_3002G107900;SORBI_3002G116000;SORBI_3002G116100;SORBI_3002G116200;SORBI_3002G116300;SORBI_3002G116500;SORBI_3002G116800;SORBI_3002G117100;SORBI_3002G117300;SORBI_3002G117400;SORBI_3002G121600;SORBI_3002G155400;SORBI_3002G156000;SORBI_3002G159200;SORBI_3002G251800;SORBI_3002G253000;SORBI_3002G253600;SORBI_3002G253800;SORBI_3002G306100;SORBI_3002G306201;SORBI_3002G306300;SORBI_3002G306500;SORBI_3002G306600;SORBI_3002G306700;SORBI_3003G044900;SORBI_3003G045000;SORBI_3003G045200;SORBI_3003G105800;SORBI_3003G105900;SORBI_3003G106000;SORBI_3003G106200;SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107600;SORBI_3003G107900;SORBI_3003G109766;SORBI_3003G145400;SORBI_3003G169600;SORBI_3003G328600;SORBI_3003G328700;SORBI_3003G369200;SORBI_3003G371400;SORBI_3003G371600;SORBI_3003G372100;SORBI_3003G372200;SORBI_3003G372500;SORBI_3003G372700;SORBI_3003G372800;SORBI_3003G372900;SORBI_3003G373000;SORBI_3003G373100;SORBI_3003G373500;SORBI_3003G373600;SORBI_3003G374000;SORBI_3003G374100;SORBI_3003G374200;SORBI_3003G374500;SORBI_3003G375200;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G391000;SORBI_3003G392100;SORBI_3004G011300;SORBI_3004G011566;SORBI_3004G011700;SORBI_3004G011900;SORBI_3004G019700;SORBI_3004G019800;SORBI_3004G020000;SORBI_3004G046100;SORBI_3004G048000;SORBI_3004G048300;SORBI_3004G102500;SORBI_3004G102800;SORBI_3004G107800;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3004G347100;SORBI_3005G041500;SORBI_3005G088500;SORBI_3005G088700;SORBI_3005G224900;SORBI_3005G225800;SORBI_3006G219200;SORBI_3006G219300;SORBI_3006G228200;SORBI_3006G243200;SORBI_3006G243400;SORBI_3006G243500;SORBI_3006G243600;SORBI_3006G243700;SORBI_3006G243800;SORBI_3006G244000;SORBI_3007G037800;SORBI_3007G039300;SORBI_3007G039400;SORBI_3007G039500;SORBI_3007G039600;SORBI_3007G153001;SORBI_3007G153100;SORBI_3007G179750;SORBI_3007G179900;SORBI_3007G180300;SORBI_3007G180450;SORBI_3007G181100;SORBI_3007G181500;SORBI_3007G215900;SORBI_3007G216700;SORBI_3007G216900;SORBI_3007G217100;SORBI_3007G217300;SORBI_3007G217400;SORBI_3007G217700;SORBI_3008G105500;SORBI_3008G106000;SORBI_3008G106100;SORBI_3008G110200;SORBI_3008G110400;SORBI_3008G110700;SORBI_3008G110900;SORBI_3008G111100;SORBI_3008G178800;SORBI_3008G178901;SORBI_3008G179000;SORBI_3008G179200;SORBI_3009G018600;SORBI_3009G019200;SORBI_3009G020100;SORBI_3009G021600;SORBI_3009G042200;SORBI_3009G042500;SORBI_3009G042600;SORBI_3009G042700;SORBI_3009G043400;SORBI_3009G043500;SORBI_3009G043600;SORBI_3009G043700;SORBI_3009G043900;SORBI_3009G057200;SORBI_3009G057300;SORBI_3009G057700;SORBI_3009G057800;SORBI_3009G073100;SORBI_3009G084000;SORBI_3009G084300;SORBI_3009G084400;SORBI_3009G085900;SORBI_3009G086800;SORBI_3009G136100;SORBI_3009G136600;SORBI_3009G147500;SORBI_3009G152800;SORBI_3009G153400;SORBI_3009G184000;SORBI_3009G184200;SORBI_3009G184300;SORBI_3009G247500;SORBI_3009G247601;SORBI_3009G249500;SORBI_3009G249700;SORBI_3010G159400;SORBI_3010G159500;SORBI_3010G214100;SORBI_3010G214200;SORBI_3010G214900;SORBI_3010G215100;SORBI_3010G215300;SORBI_3010G215400;SORBI_3010G215500;SORBI_3010G215600;SORBI_3010G221400;SORBI_3010G221500;SORBI_3010G221600;SORBI_3010G222000;SORBI_3010G222200;SORBI_3010G222400
LIN	PC	plant organ development	GO:0099402	23	273	11	24	3.7917	2.901	0.00042277912204593225	0.04414987829503264	0.0059994000599940004	SORBI_3001G166700;SORBI_3001G166800;SORBI_3001G291400;SORBI_3002G027401;SORBI_3002G027500;SORBI_3002G027600;SORBI_3002G027700;SORBI_3002G027800;SORBI_3002G027901;SORBI_3005G041500;SORBI_3007G179750;SORBI_3007G179900;SORBI_3007G180300;SORBI_3007G180450;SORBI_3007G181100;SORBI_3007G181500;SORBI_3008G148400;SORBI_3008G178800;SORBI_3008G178901;SORBI_3008G179000;SORBI_3008G179200;SORBI_3009G250000;SORBI_3009G250100;SORBI_3009G251000
LIN	FA	methylation	GO:0032259	126	129	21	58	9.8152	2.14	0.0004233332302725719	0.04414987829503264	0.0522947705229477	SORBI_3001G026000;SORBI_3001G026100;SORBI_3001G026800;SORBI_3001G026900;SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G028400;SORBI_3001G028500;SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3001G056200;SORBI_3001G098800;SORBI_3001G099100;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G101700;SORBI_3001G103900;SORBI_3001G104300;SORBI_3003G378400;SORBI_3003G378500;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G390100;SORBI_3003G410800;SORBI_3004G017900;SORBI_3004G018400;SORBI_3004G019700;SORBI_3004G019800;SORBI_3004G020000;SORBI_3004G061400;SORBI_3004G061800;SORBI_3004G061900;SORBI_3004G062000;SORBI_3004G341300;SORBI_3004G341600;SORBI_3004G341700;SORBI_3004G341800;SORBI_3004G341900;SORBI_3004G342000;SORBI_3006G183800;SORBI_3006G183900;SORBI_3006G184400;SORBI_3006G184700;SORBI_3007G059700;SORBI_3007G212300;SORBI_3010G032400
LIN	FA	rRNA methylation	GO:0031167	6	129	4	24	0.4674	8.558	0.0004668991555821021	0.04414987829503264	0.0052994700529947	SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3001G098800;SORBI_3001G099100;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3004G019700;SORBI_3004G019800;SORBI_3004G020000;SORBI_3004G061400;SORBI_3004G061800;SORBI_3004G061900;SORBI_3004G062000
CTL	PA	lipid metabolic process	GO:0006629	206	10	6	11	1.244	4.823	0.00047109407717237035	0.04414987829503264	0.009999000099990002	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500;SORBI_3005G012200;SORBI_3005G013300;SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014100;SORBI_3005G017000;SORBI_3005G186700;SORBI_3005G186800
LIN	FA	response to wounding	GO:0009611	20	129	7	11	1.558	4.493	0.00048676970330691267	0.04414987829503264	0.007999200079992	SORBI_3003G324400;SORBI_3003G324500;SORBI_3003G356850;SORBI_3003G385100;SORBI_3003G388000;SORBI_3003G410800;SORBI_3004G066700;SORBI_3004G066800;SORBI_3004G066900;SORBI_3004G067100;SORBI_3006G243200
