condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
LIN	DG	purine nucleoside transmembrane transport	GO:0015860	7	3	0.047140831758034026	63.6390977443609	9.944619706937579e-06	0.00040883559184306867	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	DG	purine nucleobase transport	GO:0006863	7	3	0.047140831758034026	63.6390977443609	9.944619706937579e-06	0.00040883559184306867	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	DG	purine nucleobase transmembrane transport	GO:1904823	8	3	0.05387523629489603	55.68421052631579	1.5835298118337054e-05	0.00040883559184306867	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SM	purine nucleoside transmembrane transport	GO:0015860	7	3	0.05541115311909263	54.140724946695094	1.622363459694717e-05	0.00040883559184306867	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SM	purine nucleobase transport	GO:0006863	7	3	0.05541115311909263	54.140724946695094	1.622363459694717e-05	0.00040883559184306867	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SM	purine nucleobase transmembrane transport	GO:1904823	8	3	0.06332703213610585	47.37313432835821	2.5810723400074365e-05	0.0005420251914015616	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	purine nucleoside transmembrane transport	GO:0015860	7	3	0.07525992438563327	39.86185243328101	4.079188536607271e-05	0.0006424721945156452	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	purine nucleobase transport	GO:0006863	7	3	0.07525992438563327	39.86185243328101	4.079188536607271e-05	0.0006424721945156452	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	purine nucleobase transmembrane transport	GO:1904823	8	3	0.08601134215500945	34.879120879120876	6.475878023156031e-05	0.0009066229232418444	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	nitrate assimilation	GO:0042128	9	3	0.09676275992438563	31.003663003663007	9.638208143534471e-05	0.0012144142260853434	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
LIN	SQDG	nitrate transmembrane transport	GO:0015706	15	3	0.16127126654064272	18.602197802197804	0.0004981935115159247	0.005706580222818774	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
LIN	SQDG	cellular response to phosphate starvation	GO:0016036	16	3	0.1720226843100189	17.439560439560438	0.0006084033131986982	0.006388234788586331	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900
LIN	FA	purine nucleoside transmembrane transport	GO:0015860	7	3	0.2489366729678639	12.05125771238728	0.001401105030495775	0.012609945274461977	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	FA	purine nucleobase transport	GO:0006863	7	3	0.2489366729678639	12.05125771238728	0.001401105030495775	0.012609945274461977	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	FA	purine nucleobase transmembrane transport	GO:1904823	8	3	0.2844990548204159	10.544850498338871	0.0021829614008600836	0.018336875767224703	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	FA	nitrate assimilation	GO:0042128	9	3	0.3200614366729679	9.373200442967883	0.0031886984348291816	0.025111000174279804	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
LIN	FA	transmembrane transport	GO:0055085	526	31	18.705812854442343	1.657238861589379	0.00367243765542612	0.02721924379904065	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G169100;SORBI_3001G403700;SORBI_3001G512300;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G122300;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G219300;SORBI_3007G162400;SORBI_3008G081400;SORBI_3008G081500;SORBI_3010G151000
LIN	FA	detection of stimulus	GO:0051606	10	3	0.35562381852551983	8.435880398671097	0.00443621339427454	0.03105349375992178	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100
LIN	SQDG	positive regulation of transcription by RNA polymerase II	GO:0045944	66	4	0.709593572778828	5.637029637029637	0.00542354440614391	0.03596666290390172	SORBI_3001G041700;SORBI_3003G406800;SORBI_3004G009600;SORBI_3006G194400
CTL	AEG	transmembrane transport	GO:0055085	526	6	1.7400756143667298	3.4481260184682236	0.006515891908729545	0.04105011902499613	SORBI_3001G169100;SORBI_3002G218700;SORBI_3005G088500;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000
