condition	lipid_class	sumratio_phenotypes	candidate_genes	GO_BP_testable_genes	GO_terms_tested	BH_significant_terms
CTL	AEG	22	65	28	2	1
CTL	Cer	7	52	15	2	0
CTL	DG	6	47	19	2	0
CTL	DGDG	22	50	22	2	0
CTL	FA	6	37	16	1	0
CTL	GalCer	7	50	19	2	0
CTL	LPC	6	29	11	0	0
CTL	LPE	6	35	14	1	0
CTL	MG	23	50	19	2	0
CTL	MGDG	22	47	19	2	0
CTL	PA	7	81	32	4	1
CTL	PC	23	66	22	2	0
CTL	PE	13	56	21	2	1
CTL	PG	7	62	25	2	0
CTL	PS	7	42	14	2	0
CTL	SM	7	42	14	2	0
CTL	SQDG	22	47	19	2	0
CTL	TG	7	30	11	0	0
LIN	AEG	6	82	29	1	0
LIN	Cer	18	82	28	2	0
LIN	DG	16	127	57	9	3
LIN	DGDG	5	88	37	3	0
LIN	FA	22	733	301	44	6
LIN	GalCer	5	91	33	1	0
LIN	LPC	3	48	14	0	0
LIN	LPE	3	47	14	0	0
LIN	MG	6	98	39	3	0
LIN	MGDG	5	89	35	3	0
LIN	PA	14	55	19	0	0
LIN	PC	5	90	32	1	0
LIN	PE	4	71	24	1	0
LIN	PG	3	69	25	1	0
LIN	PS	10	54	17	1	0
LIN	SM	6	134	67	9	3
LIN	SQDG	8	196	91	14	7
LIN	TG	7	57	21	1	0
