condition	lipid_class	go_term	go_id	term_bg_windows	candidate_loci	term_loci	n_genes	expected_loci	fold_enrichment	p_value	p_adj_bh	p_perm	loci_genes
LIN	FA	regulation of DNA-templated transcription	GO:0006355	566	134	71	195	45.7995	1.55	2.3707412908597538e-06	0.001040755426687432	0.08869113088691132	SORBI_3001G022700;SORBI_3001G025600;SORBI_3001G025700;SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3001G033300;SORBI_3001G033400;SORBI_3001G034100;SORBI_3001G034200;SORBI_3001G034300;SORBI_3001G036300;SORBI_3001G036600;SORBI_3001G036800;SORBI_3001G037000;SORBI_3001G037500;SORBI_3001G038300;SORBI_3001G039400;SORBI_3001G039500;SORBI_3001G039600;SORBI_3001G039700;SORBI_3001G056200;SORBI_3001G056601;SORBI_3001G105100;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G402300;SORBI_3001G403700;SORBI_3001G404400;SORBI_3002G128400;SORBI_3002G128700;SORBI_3002G210200;SORBI_3002G210700;SORBI_3002G211300;SORBI_3002G263700;SORBI_3002G263800;SORBI_3002G264300;SORBI_3002G264400;SORBI_3002G265001;SORBI_3003G076200;SORBI_3003G076900;SORBI_3003G077100;SORBI_3003G077300;SORBI_3003G077400;SORBI_3003G077800;SORBI_3003G086300;SORBI_3003G086600;SORBI_3003G087100;SORBI_3003G087200;SORBI_3003G087600;SORBI_3003G088100;SORBI_3003G088300;SORBI_3003G088600;SORBI_3003G088800;SORBI_3003G088900;SORBI_3003G119900;SORBI_3003G324400;SORBI_3003G324500;SORBI_3003G382600;SORBI_3003G382900;SORBI_3003G383100;SORBI_3003G385100;SORBI_3003G388000;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G390100;SORBI_3003G410800;SORBI_3003G417350;SORBI_3003G417500;SORBI_3003G419300;SORBI_3003G419400;SORBI_3003G419500;SORBI_3004G004300;SORBI_3004G004400;SORBI_3004G004800;SORBI_3004G005000;SORBI_3004G005300;SORBI_3004G008900;SORBI_3004G009000;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009600;SORBI_3004G009900;SORBI_3004G010000;SORBI_3004G011900;SORBI_3004G017900;SORBI_3004G018400;SORBI_3004G028000;SORBI_3004G028500;SORBI_3004G028700;SORBI_3004G029400;SORBI_3004G029900;SORBI_3004G046100;SORBI_3004G047400;SORBI_3004G047500;SORBI_3004G047600;SORBI_3004G048000;SORBI_3004G048300;SORBI_3004G062100;SORBI_3004G062200;SORBI_3004G066700;SORBI_3004G066800;SORBI_3004G066900;SORBI_3004G067100;SORBI_3004G096300;SORBI_3004G181500;SORBI_3004G181800;SORBI_3004G182000;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3004G341300;SORBI_3004G341600;SORBI_3004G341700;SORBI_3004G341800;SORBI_3004G341900;SORBI_3004G342000;SORBI_3005G175500;SORBI_3006G183800;SORBI_3006G183900;SORBI_3006G184400;SORBI_3006G184700;SORBI_3006G188700;SORBI_3006G188900;SORBI_3006G190000;SORBI_3006G190300;SORBI_3006G190800;SORBI_3006G191500;SORBI_3006G191600;SORBI_3006G191700;SORBI_3006G192000;SORBI_3006G192200;SORBI_3006G192400;SORBI_3006G194150;SORBI_3006G194300;SORBI_3006G194400;SORBI_3006G194700;SORBI_3006G194900;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G195500;SORBI_3006G219200;SORBI_3006G219300;SORBI_3006G243200;SORBI_3006G277550;SORBI_3006G278500;SORBI_3006G278600;SORBI_3007G059700;SORBI_3007G158600;SORBI_3007G160400;SORBI_3007G162100;SORBI_3007G162200;SORBI_3007G162400;SORBI_3007G179750;SORBI_3007G179900;SORBI_3007G180300;SORBI_3007G180450;SORBI_3007G182700;SORBI_3007G183050;SORBI_3007G212300;SORBI_3008G126200;SORBI_3010G032400;SORBI_3010G034000;SORBI_3010G151325;SORBI_3010G214900;SORBI_3010G215100;SORBI_3010G215300;SORBI_3010G215400;SORBI_3010G215500;SORBI_3010G215600;SORBI_3010G216200;SORBI_3010G221400;SORBI_3010G221500;SORBI_3010G221600;SORBI_3010G222000;SORBI_3010G222400;SORBI_3010G224100;SORBI_3010G224200;SORBI_3010G224400;SORBI_3010G224501
CTL	PA	vesicle budding from membrane	GO:0006900	12	21	3	5	0.1522	19.714	0.00035973931260456374	0.038512049168134325	0.0027997200279972004	SORBI_3002G221400;SORBI_3003G105900;SORBI_3003G106600;SORBI_3003G107500;SORBI_3005G017000
CTL	PA	late endosome to vacuole transport via multivesicular body sorting pathway	GO:0032511	12	21	3	5	0.1522	19.714	0.00035973931260456374	0.038512049168134325	0.0025997400259974	SORBI_3002G221400;SORBI_3003G105900;SORBI_3003G106600;SORBI_3003G107500;SORBI_3005G017000
LIN	FA	cell division	GO:0051301	64	134	14	42	5.1787	2.703	0.00037146150003009867	0.038512049168134325	0.014698530146985302	SORBI_3001G012500;SORBI_3001G012600;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G211500;SORBI_3001G211700;SORBI_3002G189100;SORBI_3003G121700;SORBI_3003G121800;SORBI_3003G122000;SORBI_3003G122100;SORBI_3003G122300;SORBI_3003G122500;SORBI_3003G385100;SORBI_3003G388000;SORBI_3004G061400;SORBI_3004G061800;SORBI_3004G061900;SORBI_3004G062000;SORBI_3004G181800;SORBI_3004G182000;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3006G194300;SORBI_3006G194400;SORBI_3006G194700;SORBI_3006G194900;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G195500;SORBI_3007G158600;SORBI_3007G160400;SORBI_3007G162100;SORBI_3007G162200;SORBI_3007G162400;SORBI_3008G101600;SORBI_3010G032400
CTL	PA	lipid metabolic process	GO:0006629	206	21	9	18	2.6123	3.445	0.00046031154893449744	0.038512049168134325	0.0030996900309969004	SORBI_3002G371500;SORBI_3002G373700;SORBI_3002G373800;SORBI_3002G374200;SORBI_3003G105900;SORBI_3003G106600;SORBI_3003G107500;SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500;SORBI_3005G012200;SORBI_3005G013300;SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014100;SORBI_3005G017000;SORBI_3005G186700;SORBI_3005G186800
LIN	FA	rRNA methylation	GO:0031167	6	134	4	24	0.4855	8.239	0.0005417703761887545	0.038512049168134325	0.0044995500449955	SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3001G098800;SORBI_3001G099100;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3004G019700;SORBI_3004G019800;SORBI_3004G020000;SORBI_3004G061400;SORBI_3004G061800;SORBI_3004G061900;SORBI_3004G062000
LIN	FA	response to wounding	GO:0009611	20	134	7	11	1.6184	4.325	0.0006163311839192911	0.038512049168134325	0.008899110088991101	SORBI_3003G324400;SORBI_3003G324500;SORBI_3003G356850;SORBI_3003G385100;SORBI_3003G388000;SORBI_3003G410800;SORBI_3004G066700;SORBI_3004G066800;SORBI_3004G066900;SORBI_3004G067100;SORBI_3006G243200
LIN	FA	methylation	GO:0032259	126	134	21	58	10.1957	2.06	0.0007235700934402023	0.038512049168134325	0.0613938606139386	SORBI_3001G026000;SORBI_3001G026100;SORBI_3001G026800;SORBI_3001G026900;SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G028400;SORBI_3001G028500;SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3001G056200;SORBI_3001G098800;SORBI_3001G099100;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G101700;SORBI_3001G103900;SORBI_3001G104300;SORBI_3003G378400;SORBI_3003G378500;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G390100;SORBI_3003G410800;SORBI_3004G017900;SORBI_3004G018400;SORBI_3004G019700;SORBI_3004G019800;SORBI_3004G020000;SORBI_3004G061400;SORBI_3004G061800;SORBI_3004G061900;SORBI_3004G062000;SORBI_3004G341300;SORBI_3004G341600;SORBI_3004G341700;SORBI_3004G341800;SORBI_3004G341900;SORBI_3004G342000;SORBI_3006G183800;SORBI_3006G183900;SORBI_3006G184400;SORBI_3006G184700;SORBI_3007G059700;SORBI_3007G212300;SORBI_3010G032400
LIN	FA	transmembrane transport	GO:0055085	374	134	46	144	30.2633	1.52	0.0007994735811493911	0.038512049168134325	0.24777522247775222	SORBI_3001G012500;SORBI_3001G012600;SORBI_3001G026000;SORBI_3001G026100;SORBI_3001G026800;SORBI_3001G026900;SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G028400;SORBI_3001G028500;SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3001G098800;SORBI_3001G099100;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G168800;SORBI_3001G168900;SORBI_3001G169100;SORBI_3001G402300;SORBI_3001G403700;SORBI_3001G404400;SORBI_3001G414650;SORBI_3001G414800;SORBI_3001G512100;SORBI_3001G512300;SORBI_3001G512400;SORBI_3001G512600;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G086600;SORBI_3003G121700;SORBI_3003G121800;SORBI_3003G122000;SORBI_3003G122100;SORBI_3003G122300;SORBI_3003G122500;SORBI_3003G236900;SORBI_3003G237000;SORBI_3003G237100;SORBI_3003G356850;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G390100;SORBI_3003G417350;SORBI_3003G417500;SORBI_3003G419300;SORBI_3003G419400;SORBI_3003G419500;SORBI_3004G004300;SORBI_3004G004400;SORBI_3004G004800;SORBI_3004G005000;SORBI_3004G005300;SORBI_3004G008900;SORBI_3004G009000;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009600;SORBI_3004G009900;SORBI_3004G010000;SORBI_3004G011900;SORBI_3004G019700;SORBI_3004G019800;SORBI_3004G020000;SORBI_3004G046100;SORBI_3004G047400;SORBI_3004G047500;SORBI_3004G047600;SORBI_3004G048000;SORBI_3004G048300;SORBI_3004G096300;SORBI_3004G192700;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3006G183800;SORBI_3006G183900;SORBI_3006G184400;SORBI_3006G184700;SORBI_3006G188700;SORBI_3006G188900;SORBI_3006G190000;SORBI_3006G190300;SORBI_3006G194300;SORBI_3006G194400;SORBI_3006G194700;SORBI_3006G194900;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G195500;SORBI_3006G219200;SORBI_3006G219300;SORBI_3006G243200;SORBI_3006G277550;SORBI_3006G278500;SORBI_3006G278600;SORBI_3007G158600;SORBI_3007G160400;SORBI_3007G162100;SORBI_3007G162200;SORBI_3007G162400;SORBI_3007G179750;SORBI_3007G179900;SORBI_3007G180300;SORBI_3007G180450;SORBI_3007G212300;SORBI_3008G081400;SORBI_3008G081500;SORBI_3010G032400;SORBI_3010G151000;SORBI_3010G213900;SORBI_3010G214100;SORBI_3010G214200;SORBI_3010G214900;SORBI_3010G215100;SORBI_3010G215300;SORBI_3010G215400;SORBI_3010G215500;SORBI_3010G215600;SORBI_3010G216200;SORBI_3010G221400;SORBI_3010G221500;SORBI_3010G221600;SORBI_3010G222000;SORBI_3010G222400
LIN	FA	chloroplast organization	GO:0009658	40	134	10	39	3.2367	3.09	0.0008885328387545278	0.038512049168134325	0.013798620137986202	SORBI_3001G030800;SORBI_3001G031600;SORBI_3001G031700;SORBI_3001G031800;SORBI_3001G032200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G032550;SORBI_3001G032700;SORBI_3001G032900;SORBI_3001G033000;SORBI_3001G033200;SORBI_3003G324400;SORBI_3003G324500;SORBI_3003G356850;SORBI_3003G389200;SORBI_3003G389400;SORBI_3003G389800;SORBI_3003G390100;SORBI_3004G115350;SORBI_3004G115700;SORBI_3004G192700;SORBI_3004G309900;SORBI_3004G310000;SORBI_3004G310100;SORBI_3004G310300;SORBI_3004G311000;SORBI_3006G183800;SORBI_3006G183900;SORBI_3006G184400;SORBI_3006G184700;SORBI_3006G190800;SORBI_3006G191500;SORBI_3006G191600;SORBI_3006G191700;SORBI_3006G192000;SORBI_3006G192200;SORBI_3006G192400;SORBI_3006G194150
