condition	lipid_class	individual_phenotypes	candidate_genes	GO_MF_testable_genes	GO_terms_tested	BH_significant_terms
CTL	AEG	1	7	3	0	0
CTL	DG	1	13	6	0	0
CTL	DGDG	1	9	4	0	0
CTL	LPC	1	1	0	0	0
CTL	MG	1	2	2	0	0
CTL	PA	1	37	17	11	2
CTL	PC	12	58	25	13	2
CTL	PG	1	2	1	0	0
CTL	SQDG	3	9	1	0	0
CTL	TG	41	866	311	65	9
LIN	AEG	1	119	46	15	0
LIN	Cer	1	14	5	1	0
LIN	DG	4	34	18	5	0
LIN	DGDG	1	1	0	0	0
LIN	DGTS	1	24	13	4	0
LIN	FA	1	715	314	71	4
LIN	MG	1	13	7	0	0
LIN	MGDG	1	125	51	14	0
LIN	NAE	2	60	20	2	0
LIN	PA	1	1	0	0	0
LIN	PC	16	1324	579	107	4
LIN	PE	2	21	8	1	0
LIN	PS	1	22	9	0	0
LIN	SM	1	8	5	0	0
LIN	SQDG	3	396	175	47	10
LIN	TG	40	890	390	78	4
