condition	lipid_class	go_term	go_id	term_test_count	n_ld_blocks_in_set	blocks_carrying_term	fold_enrichment	expected	null_mean	p_value	p_adj_bh	p_perm	q_perm_bh	overlap_genes	n_permutations
CTL	TG	mRNA binding	GO:0003729	32	152	23	2.2441348100512086	14.259392910210147	17.76	1.4355888673007765e-05	0.001038409280680895	0.00125	0.014434	SORBI_3001G021800;SORBI_3001G022500;SORBI_3001G022600;SORBI_3001G024000;SORBI_3001G221850;SORBI_3001G356500;SORBI_3001G356600;SORBI_3001G357200;SORBI_3003G206600;SORBI_3004G104000;SORBI_3004G104250;SORBI_3004G104600;SORBI_3004G206500;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G208800;SORBI_3006G278600;SORBI_3007G071200;SORBI_3007G071400;SORBI_3007G086032;SORBI_3007G103350;SORBI_3008G088887;SORBI_3008G094500;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750;SORBI_3010G143500;SORBI_3010G150575	8000
LIN	PC	phosphoglycerate dehydrogenase activity	GO:0004617	4	217	4	9.298791018998273	0.43016344725111444	0.49	0.00042547288131286577	0.012310348699318916	0.0015	0.014434	SORBI_3002G101300;SORBI_3006G243400;SORBI_3007G038800;SORBI_3010G214100	8000
LIN	FA	transmembrane transporter activity	GO:0022857	22	97	15	2.230203133069375	9.864572277648058	9.4	0.00035732863851262864	0.011929279162652372	0.001875	0.014434	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G169100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3008G081400;SORBI_3008G081500	8000
CTL	TG	pyridoxal phosphate binding	GO:0030170	7	152	6	3.5944193144040546	1.9474633835703672	1.74	0.0031215857467138115	0.03984612394334689	0.002625	0.014434	SORBI_3001G260701;SORBI_3001G357300;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200;SORBI_3008G005300;SORBI_3010G198000	8000
CTL	TG	nicotianamine aminotransferase activity	GO:0033855	3	152	2	18.17749196141479	0.16503926979409891	0.17	0.0003390309261239068	0.011929279162652372	0.0035	0.014434	SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200	8000
CTL	PC	peptidase activity	GO:0008233	4	16	3	6.641057268722467	0.6023137338144767	0.59	0.0027877031835438983	0.0366625206563046	0.0035	0.014434	SORBI_3008G098300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400	8000
CTL	TG	transmembrane transporter activity	GO:0022857	20	152	14	2.0470148605196834	9.770324771810657	9.03	0.0018801236965894483	0.027199122810660684	0.0035	0.014434	SORBI_3001G223100;SORBI_3001G223200;SORBI_3001G357500;SORBI_3001G357650;SORBI_3001G357700;SORBI_3001G357800;SORBI_3002G245300;SORBI_3002G245400;SORBI_3002G322800;SORBI_3003G389800;SORBI_3006G130700;SORBI_3006G277100;SORBI_3006G279700;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G105500;SORBI_3009G049900;SORBI_3009G088200;SORBI_3009G099000;SORBI_3009G235900	8000
CTL	TG	transaminase activity	GO:0008483	5	152	4	4.733721864951768	1.056251326682233	0.95	0.003670994831969717	0.045520335916424494	0.00375	0.014434	SORBI_3001G260701;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200;SORBI_3008G016900	8000
LIN	SQDG	aspartic-type endopeptidase activity	GO:0004190	6	88	5	6.095094339622642	0.9843982169390788	1.06	0.0004195038853962463	0.012310348699318916	0.004	0.014434	SORBI_3010G126100;SORBI_3010G126700;SORBI_3010G127600;SORBI_3010G128000;SORBI_3010G128800;SORBI_3010G129100	8000
CTL	PC	aspartic-type endopeptidase activity	GO:0004190	3	16	2	21.332830188679246	0.14062831670558268	0.17	0.0003541968152175313	0.011929279162652372	0.004124	0.014434	SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600	8000
LIN	TG	transmembrane transporter activity	GO:0022857	23	167	20	1.8772176022176021	12.252175758862238	11.51	0.0027152787696225907	0.0366625206563046	0.004874	0.01458	SORBI_3001G012600;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G128300;SORBI_3001G133900;SORBI_3001G223100;SORBI_3002G116100;SORBI_3002G185300;SORBI_3002G311200;SORBI_3003G185100;SORBI_3004G260500;SORBI_3004G311000;SORBI_3006G244000;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3009G083300;SORBI_3009G084400;SORBI_3010G133100;SORBI_3010G175900	8000
LIN	SQDG	ketoreductase activity	GO:0045703	3	88	2	32.304	0.09286775631500743	0.21	6.12871322837623e-05	0.0036270532615017667	0.004999	0.01458	SORBI_3010G124500;SORBI_3010G124600;SORBI_3010G124900	8000
LIN	SQDG	transmembrane receptor protein serine/threonine kinase activity	GO:0004675	5	88	2	5.982222222222222	0.8358098068350669	0.63	0.0013978411204318322	0.023333194087208277	0.005499	0.014805	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300	8000
LIN	SQDG	nucleic acid binding	GO:0003676	22	88	20	2.2691187739463605	9.695393759286775	12.2	0.00025664491747551417	0.011138389418437315	0.006124	0.01531	SORBI_3003G033400;SORBI_3008G091300;SORBI_3010G113150;SORBI_3010G123750;SORBI_3010G127550;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G145300;SORBI_3010G145800;SORBI_3010G147250;SORBI_3010G147300;SORBI_3010G147350;SORBI_3010G152250;SORBI_3010G153300;SORBI_3010G161050	8000
LIN	TG	quercetin 7-O-glucosyltransferase activity	GO:0080044	6	167	3	5.575147928994083	1.076204627467629	0.9	0.0005503300483391635	0.014049602410540998	0.007874	0.016404	SORBI_3001G030500;SORBI_3001G030600;SORBI_3002G085400;SORBI_3002G085700;SORBI_3002G085800;SORBI_3004G191000	8000
