condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
LIN	DG	purine nucleoside transmembrane transporter activity	GO:0015211	7	3	0.04903417533432392	61.18181818181818	1.1263703298770508e-05	0.002662109284023391	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	DG	purine nucleobase transmembrane transporter activity	GO:0005345	8	3	0.05603905752494163	53.53409090909091	1.7931610236268504e-05	0.002662109284023391	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SM	purine nucleoside transmembrane transporter activity	GO:0015211	7	3	0.058692421991084695	51.11392405063291	1.9384290903082943e-05	0.002662109284023391	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SM	purine nucleobase transmembrane transporter activity	GO:0005345	8	3	0.06707705370409679	44.7246835443038	3.082741783384631e-05	0.0031752240368861694	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	purine nucleoside transmembrane transporter activity	GO:0015211	7	3	0.07578008915304606	39.58823529411765	4.177912822362591e-05	0.0034426001656267754	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	purine nucleobase transmembrane transporter activity	GO:0005345	8	3	0.08660581617490978	34.63970588235294	6.632059477216319e-05	0.004554014174355206	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	nitrate transmembrane transporter activity	GO:0015112	9	3	0.09743154319677351	30.790849673202615	9.869843782855082e-05	0.005809108055051848	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
CTL	DGDG	zinc ion binding	GO:0008270	1015	9	2.3699851411589896	3.7974921630094043	0.00025505778138033234	0.013135475741087116	SORBI_3002G221400;SORBI_3002G374200;SORBI_3003G105900;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
LIN	SQDG	transmembrane transporter activity	GO:0022857	296	11	3.2044151984716622	3.43276364599894	0.0003421768359483285	0.015330087835500808	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G169100;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
CTL	DG	zinc ion binding	GO:0008270	1015	8	2.0468053491827636	3.908529945553539	0.0004489637962369507	0.015330087835500808	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325
