condition	lipid_class	sumratio_phenotypes	candidate_genes	GO_MF_testable_genes	GO_terms_tested	BH_significant_terms
CTL	AEG	22	65	29	10	0
CTL	Cer	7	52	16	5	0
CTL	DG	6	47	19	8	1
CTL	DGDG	22	50	22	9	1
CTL	FA	6	37	16	7	1
CTL	GalCer	7	50	20	8	1
CTL	LPC	6	29	11	5	0
CTL	LPE	6	35	13	5	0
CTL	MG	23	50	20	8	1
CTL	MGDG	22	47	19	8	1
CTL	PA	7	81	33	16	0
CTL	PC	23	66	26	8	0
CTL	PE	13	56	25	8	0
CTL	PG	7	62	28	10	0
CTL	PS	7	42	15	5	0
CTL	SM	7	42	15	5	0
CTL	SQDG	22	47	19	8	1
CTL	TG	7	30	11	5	0
LIN	AEG	6	82	34	10	0
LIN	Cer	18	82	36	12	0
LIN	DG	16	127	66	22	2
LIN	DGDG	5	88	39	11	0
LIN	FA	22	733	321	73	3
LIN	GalCer	5	91	42	12	0
LIN	LPC	3	48	20	5	0
LIN	LPE	3	47	20	5	0
LIN	MG	6	98	43	15	0
LIN	MGDG	5	89	37	12	0
LIN	PA	14	55	25	11	1
LIN	PC	5	90	36	12	0
LIN	PE	4	71	29	7	0
LIN	PG	3	69	28	7	0
LIN	PS	10	54	21	4	0
LIN	SM	6	134	79	25	2
LIN	SQDG	8	196	102	27	5
LIN	TG	7	57	25	4	0
