condition	lipid_class	go_term	go_id	term_test_count	n_ld_blocks_in_set	blocks_carrying_term	fold_enrichment	expected	null_mean	p_value	p_adj_bh	p_perm	q_perm_bh	overlap_genes	n_permutations
CTL	DGDG	zinc ion binding	GO:0008270	9	11	8	3.7974921630094043	2.3699851411589896	2.63	0.00025505778138033234	0.013135475741087116	0.00125	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3003G105900;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	8000
LIN	SQDG	helicase activity	GO:0004386	6	27	3	5.329185520361991	1.1258756102738272	1.12	0.0008949389128312237	0.020484157338136896	0.00175	0.005	SORBI_3001G028100;SORBI_3001G028200;SORBI_3006G190950;SORBI_3006G191000;SORBI_3006G191200;SORBI_3006G195500	8000
CTL	MGDG	zinc ion binding	GO:0008270	8	10	7	3.908529945553539	2.0468053491827636	2.31	0.0004489637962369507	0.015330087835500808	0.001875	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	8000
LIN	DG	purine nucleoside transmembrane transporter activity	GO:0015211	3	18	1	61.18181818181818	0.04903417533432392	0.05	1.1263703298770508e-05	0.002662109284023391	0.002	0.005	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
LIN	FA	transmembrane transporter activity	GO:0022857	22	101	15	2.181569419887177	10.084483124601995	9.56	0.00048371636374153036	0.015330087835500808	0.002	0.005	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G169100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3008G081400;SORBI_3008G081500	8000
CTL	SQDG	zinc ion binding	GO:0008270	8	10	7	3.908529945553539	2.0468053491827636	2.32	0.0004489637962369507	0.015330087835500808	0.002	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	8000
LIN	DG	purine nucleobase transmembrane transporter activity	GO:0005345	3	18	1	53.53409090909091	0.05603905752494163	0.05	1.7931610236268504e-05	0.002662109284023391	0.002125	0.005	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
CTL	DG	zinc ion binding	GO:0008270	8	10	7	3.908529945553539	2.0468053491827636	2.34	0.0004489637962369507	0.015330087835500808	0.002125	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	8000
CTL	GalCer	zinc ion binding	GO:0008270	8	11	7	3.713103448275862	2.1545319465081723	2.43	0.0006781712253895471	0.017462909053780836	0.002625	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	8000
CTL	MG	zinc ion binding	GO:0008270	8	11	7	3.713103448275862	2.1545319465081723	2.44	0.0006781712253895471	0.017462909053780836	0.002875	0.005	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	8000
CTL	FA	zinc ion binding	GO:0008270	7	8	6	4.061206896551724	1.723625557206538	2.0	0.0007848680097062804	0.01902150705876397	0.003	0.005	SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	8000
LIN	SM	purine nucleoside transmembrane transporter activity	GO:0015211	3	20	1	51.11392405063291	0.058692421991084695	0.07	1.9384290903082943e-05	0.002662109284023391	0.00325	0.005	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
LIN	SM	purine nucleobase transmembrane transporter activity	GO:0005345	3	20	1	44.7246835443038	0.06707705370409679	0.07	3.082741783384631e-05	0.0031752240368861694	0.00325	0.005	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
LIN	SQDG	transmembrane transporter activity	GO:0022857	11	27	6	3.43276364599894	3.2044151984716622	3.09	0.0003421768359483285	0.015330087835500808	0.0035	0.005	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G169100;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
LIN	SQDG	nitrate transmembrane transporter activity	GO:0015112	3	27	1	30.790849673202615	0.09743154319677351	0.13	9.869843782855082e-05	0.005809108055051848	0.004	0.005333	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500	8000
LIN	SQDG	purine nucleoside transmembrane transporter activity	GO:0015211	3	27	1	39.58823529411765	0.07578008915304606	0.08	4.177912822362591e-05	0.0034426001656267754	0.004749	0.005587	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
LIN	SQDG	purine nucleobase transmembrane transporter activity	GO:0005345	3	27	1	34.63970588235294	0.08660581617490978	0.09	6.632059477216319e-05	0.004554014174355206	0.004749	0.005587	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
LIN	PA	iron ion binding	GO:0005506	5	7	4	7.137878787878789	0.7004882190617703	0.78	0.0005576080454384371	0.016409608194331148	0.009749	0.010832	SORBI_3001G012000;SORBI_3002G227200;SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008900	8000
LIN	FA	purine nucleoside transmembrane transporter activity	GO:0015211	3	101	1	12.579439252336448	0.2384843982169391	0.23	0.0012381717710000003	0.02684877735010527	0.012998	0.013498	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
LIN	FA	purine nucleobase transmembrane transporter activity	GO:0005345	3	101	1	11.007009345794394	0.27255359796221607	0.24	0.0019312455257520927	0.03978365783049311	0.013498	0.013498	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200	8000
