go_term	term_bg_count	term_test_count	expected	fold_enrichment	p_value	overlap_genes	q_value
sterol metabolic process	10	7	2.04749527410208	3.41881130986728	0.000995877781327006	SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107400;SORBI_3003G107600;SORBI_3004G089000	0.0726373760896379
sodium ion transport	10	7	2.04749527410208	3.41881130986728	0.000995877781327006	SORBI_3002G141900;SORBI_3002G156000;SORBI_3004G108100;SORBI_3008G033300;SORBI_3008G179200;SORBI_3008G192900;SORBI_3009G042700	0.0726373760896379
defense response to virus	6	5	1.22849716446125	4.07001346412772	0.00178331066911744	SORBI_3001G467000;SORBI_3002G029100;SORBI_3008G070600;SORBI_3008G070700;SORBI_3010G138000	0.0867141264294115
transmembrane transport	526	134	107.698251417769	1.24421704378657	0.00242794786393361	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G128300;SORBI_3001G133900;SORBI_3001G169100;SORBI_3001G190200;SORBI_3001G190700;SORBI_3001G190900;SORBI_3001G218900;SORBI_3001G223100;SORBI_3001G237500;SORBI_3001G256900;SORBI_3001G403700;SORBI_3001G454100;SORBI_3001G512300;SORBI_3002G000800;SORBI_3002G004900;SORBI_3002G116100;SORBI_3002G141900;SORBI_3002G156000;SORBI_3002G159900;SORBI_3002G174000;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G218700;SORBI_3002G257001;SORBI_3002G306300;SORBI_3002G311200;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G122300;SORBI_3003G139300;SORBI_3003G155000;SORBI_3003G169600;SORBI_3003G184800;SORBI_3003G185100;SORBI_3003G278200;SORBI_3003G371400;SORBI_3003G371600;SORBI_3003G372100;SORBI_3003G374400;SORBI_3003G389800;SORBI_3003G392700;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G049300;SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400;SORBI_3004G102800;SORBI_3004G108100;SORBI_3004G113300;SORBI_3004G113400;SORBI_3004G222000;SORBI_3004G260500;SORBI_3004G276200;SORBI_3004G311000;SORBI_3004G332700;SORBI_3005G040700;SORBI_3005G088500;SORBI_3005G107400;SORBI_3005G107500;SORBI_3005G110520;SORBI_3005G125400;SORBI_3005G183900;SORBI_3005G195900;SORBI_3005G196000;SORBI_3005G225800;SORBI_3006G025300;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G219300;SORBI_3006G244000;SORBI_3007G039500;SORBI_3007G039600;SORBI_3007G120000;SORBI_3007G160700;SORBI_3007G160900;SORBI_3007G162400;SORBI_3007G181100;SORBI_3007G210500;SORBI_3008G006100;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G033300;SORBI_3008G033700;SORBI_3008G033800;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3008G106100;SORBI_3008G111100;SORBI_3008G179200;SORBI_3008G192900;SORBI_3008G193300;SORBI_3009G042700;SORBI_3009G057700;SORBI_3009G073100;SORBI_3009G083300;SORBI_3009G084400;SORBI_3009G085900;SORBI_3009G136100;SORBI_3009G136600;SORBI_3009G147500;SORBI_3009G152800;SORBI_3009G249500;SORBI_3010G080100;SORBI_3010G095100;SORBI_3010G095400;SORBI_3010G133100;SORBI_3010G133300;SORBI_3010G136900;SORBI_3010G138400;SORBI_3010G138800;SORBI_3010G146100;SORBI_3010G147200;SORBI_3010G151000;SORBI_3010G151575;SORBI_3010G153700;SORBI_3010G159400;SORBI_3010G165500;SORBI_3010G175900;SORBI_3010G184100	0.088544882427028
DNA topological change	5	4	1.02374763705104	3.90721292556261	0.00733046413244363	SORBI_3010G051700;SORBI_3010G116800;SORBI_3010G141001;SORBI_3010G141400	0.133667426385997
ribosomal large subunit export from nucleus	5	4	1.02374763705104	3.90721292556261	0.00733046413244363	SORBI_3002G114900;SORBI_3003G366850;SORBI_3005G127300;SORBI_3005G129301	0.133667426385997
regulation of salicylic acid biosynthetic process	7	5	1.43324669187146	3.48858296925233	0.00518518877437554	SORBI_3001G031600;SORBI_3003G083200;SORBI_3004G181600;SORBI_3004G181700;SORBI_3008G126200	0.133667426385997
signal transduction	205	57	41.9736531190926	1.35799473632359	0.00677449429230904	SORBI_3001G034100;SORBI_3001G039500;SORBI_3001G113800;SORBI_3001G115400;SORBI_3001G295400;SORBI_3001G333900;SORBI_3001G534532;SORBI_3002G002800;SORBI_3002G021132;SORBI_3002G027700;SORBI_3002G069700;SORBI_3002G111900;SORBI_3002G113600;SORBI_3002G235800;SORBI_3002G274600;SORBI_3003G045000;SORBI_3003G088100;SORBI_3003G106000;SORBI_3003G139500;SORBI_3003G141500;SORBI_3003G268900;SORBI_3003G269000;SORBI_3003G383100;SORBI_3003G407300;SORBI_3004G005300;SORBI_3004G007800;SORBI_3004G017900;SORBI_3004G049500;SORBI_3004G066900;SORBI_3004G104800;SORBI_3004G113600;SORBI_3004G219000;SORBI_3004G252200;SORBI_3004G332900;SORBI_3005G111000;SORBI_3005G125950;SORBI_3005G145201;SORBI_3005G175500;SORBI_3005G183200;SORBI_3005G187900;SORBI_3006G163401;SORBI_3006G210900;SORBI_3006G228200;SORBI_3007G149700;SORBI_3008G025600;SORBI_3008G077600;SORBI_3009G082200;SORBI_3009G173100;SORBI_3009G200800;SORBI_3010G052800;SORBI_3010G096100;SORBI_3010G137300;SORBI_3010G137400;SORBI_3010G139100;SORBI_3010G153400;SORBI_3010G213900;SORBI_3010G215300	0.133667426385997
response to herbicide	6	4	1.22849716446125	3.25601077130217	0.018424771059096	SORBI_3001G012500;SORBI_3006G216300;SORBI_3009G043600;SORBI_3009G043700	0.185566706051235
ribosomal small subunit export from nucleus	6	4	1.22849716446125	3.25601077130217	0.018424771059096	SORBI_3002G114900;SORBI_3003G366850;SORBI_3005G127300;SORBI_3005G129301	0.185566706051235
