go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
nucleotide transport	GO:0006862	6	3	0.233	12.863	1.066e-03	2.704e-02	SORBI_3001G100800;SORBI_3001G101100;SORBI_3003G169600
purine nucleobase transport	GO:0006863	7	3	0.272	11.026	1.813e-03	2.704e-02	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
purine nucleoside transmembrane transport	GO:0015860	7	3	0.272	11.026	1.813e-03	2.704e-02	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
purine nucleobase transmembrane transport	GO:1904823	8	3	0.311	9.647	2.817e-03	2.704e-02	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
transmembrane transport	GO:0055085	526	34	20.446	1.663	2.268e-03	2.704e-02	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G169100;SORBI_3001G403700;SORBI_3001G512300;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G122300;SORBI_3003G169600;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3005G107400;SORBI_3005G107500;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G219300;SORBI_3007G162400;SORBI_3008G081400;SORBI_3008G081500;SORBI_3010G151000
nitrate assimilation	GO:0042128	9	3	0.350	8.575	4.105e-03	3.284e-02	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
detection of stimulus	GO:0051606	10	3	0.389	7.718	5.696e-03	3.906e-02	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100
nitrate transmembrane transport	GO:0015706	15	3	0.583	5.145	1.870e-02	9.761e-02	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
cellular response to phosphate starvation	GO:0016036	16	3	0.622	4.824	2.237e-02	9.761e-02	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900
xylan biosynthetic process	GO:0045492	16	3	0.622	4.824	2.237e-02	9.761e-02	SORBI_3001G038300;SORBI_3001G406700;SORBI_3004G047600
regulation of intracellular signal transduction	GO:1902531	28	4	1.088	3.675	2.196e-02	9.761e-02	SORBI_3001G025700;SORBI_3001G512600;SORBI_3004G096300;SORBI_3006G192200
plant-type cell wall organization	GO:0009664	27	3	1.050	2.858	8.563e-02	3.425e-01	SORBI_3001G033300;SORBI_3004G007600;SORBI_3006G191700
response to hormone	GO:0009725	29	3	1.127	2.661	1.012e-01	3.454e-01	SORBI_3003G382600;SORBI_3003G385100;SORBI_3004G181800
DNA replication	GO:0006260	48	4	1.866	2.144	1.151e-01	3.454e-01	SORBI_3001G211500;SORBI_3004G007133;SORBI_3006G195500;SORBI_3007G182700
positive regulation of transcription by RNA polymerase II	GO:0045944	66	5	2.565	1.949	1.130e-01	3.454e-01	SORBI_3001G041700;SORBI_3003G406800;SORBI_3004G009600;SORBI_3006G194400;SORBI_3010G221500
