pathway_id	pathway_name	pathway_bg_count	pathway_test_count	expected	fold_enrichment	p_value	overlap_genes	p_adj_bh
path:sbi00350	Tyrosine metabolism - Sorghum bicolor (sorghum)	7	5	1.30754066042385	3.82397286091217	0.00334793327893424	SORBI_3001G263900;SORBI_3001G264000;SORBI_3002G104200;SORBI_3005G152200;SORBI_3008G005300	0.120525598041633
path:sbi00360	Phenylalanine metabolism - Sorghum bicolor (sorghum)	5	3	0.933957614588467	3.21213720316623	0.0480632169305309	SORBI_3002G104200;SORBI_3005G152200;SORBI_3008G005300	0.247182258499873
path:sbi00630	Glyoxylate and dicarboxylate metabolism - Sorghum bicolor (sorghum)	5	3	0.933957614588467	3.21213720316623	0.0480632169305309	SORBI_3006G000100;SORBI_3008G062500;SORBI_3010G141600	0.247182258499873
path:sbi03018	RNA degradation - Sorghum bicolor (sorghum)	5	3	0.933957614588467	3.21213720316623	0.0480632169305309	SORBI_3001G021800;SORBI_3003G367900;SORBI_3006G139100	0.247182258499873
path:sbi00040	Pentose and glucuronate interconversions - Sorghum bicolor (sorghum)	7	4	1.30754066042385	3.05917828872974	0.0260944788086989	SORBI_3003G355500;SORBI_3003G355600;SORBI_3007G112400;SORBI_3008G131300	0.247182258499873
path:sbi00480	Glutathione metabolism - Sorghum bicolor (sorghum)	16	7	2.9886643666831	2.34218337730871	0.0182298332871218	SORBI_3001G318000;SORBI_3001G318500;SORBI_3001G318700;SORBI_3001G319300;SORBI_3001G319500;SORBI_3003G426500;SORBI_3003G426600	0.247182258499873
path:sbi01100	Metabolic pathways - Sorghum bicolor (sorghum)	255	59	47.6318383440118	1.23866728749547	0.0330365260552536	SORBI_3001G022900;SORBI_3001G122200;SORBI_3001G221500;SORBI_3001G221900;SORBI_3001G222600;SORBI_3001G247600;SORBI_3001G247700;SORBI_3001G263900;SORBI_3001G264000;SORBI_3001G318000;SORBI_3001G318500;SORBI_3001G318700;SORBI_3001G319300;SORBI_3001G319500;SORBI_3001G320200;SORBI_3002G043500;SORBI_3002G104200;SORBI_3002G205300;SORBI_3003G165800;SORBI_3003G355500;SORBI_3003G355600;SORBI_3003G360700;SORBI_3003G426500;SORBI_3003G426600;SORBI_3003G427300;SORBI_3004G140300;SORBI_3004G176200;SORBI_3004G205100;SORBI_3004G208700;SORBI_3005G011300;SORBI_3005G011500;SORBI_3005G146300;SORBI_3005G152200;SORBI_3005G202500;SORBI_3006G000100;SORBI_3006G001000;SORBI_3006G035500;SORBI_3006G044200;SORBI_3006G047300;SORBI_3006G048700;SORBI_3006G049200;SORBI_3006G277700;SORBI_3006G278500;SORBI_3007G071500;SORBI_3007G112400;SORBI_3008G005300;SORBI_3008G016900;SORBI_3008G062300;SORBI_3008G062400;SORBI_3008G062500;SORBI_3008G131300;SORBI_3008G132700;SORBI_3009G069600;SORBI_3009G069800;SORBI_3009G111400;SORBI_3010G124900;SORBI_3010G141600;SORBI_3010G147500;SORBI_3010G149700	0.247182258499873
path:sbi00562	Inositol phosphate metabolism - Sorghum bicolor (sorghum)	6	3	1.12074913750616	2.67678100263852	0.0830299810693713	SORBI_3004G176200;SORBI_3008G062300;SORBI_3008G062400	0.281261306956057
path:sbi00561	Glycerolipid metabolism - Sorghum bicolor (sorghum)	9	4	1.68112370625924	2.37936089123424	0.0687665723324418	SORBI_3003G355500;SORBI_3003G355600;SORBI_3003G360700;SORBI_3010G193300	0.281261306956057
path:sbi00620	Pyruvate metabolism - Sorghum bicolor (sorghum)	13	5	2.42828979793001	2.05906230972194	0.0771753018305353	SORBI_3001G263900;SORBI_3001G264000;SORBI_3003G355500;SORBI_3003G355600;SORBI_3009G069600	0.281261306956057
path:sbi03010	Ribosome - Sorghum bicolor (sorghum)	34	10	6.35091177920158	1.5745770603756	0.0859409549032398	SORBI_3001G225700;SORBI_3003G205400;SORBI_3004G103700;SORBI_3007G071300;SORBI_3009G050300;SORBI_3009G237200;SORBI_3010G103900;SORBI_3010G125100	0.281261306956057
path:sbi03015	mRNA surveillance pathway - Sorghum bicolor (sorghum)	7	3	1.30754066042385	2.2943837165473	0.125731607764875	SORBI_3001G220300;SORBI_3003G427100;SORBI_3006G139100	0.301755858635701
path:sbi04070	Phosphatidylinositol signaling system - Sorghum bicolor (sorghum)	7	3	1.30754066042385	2.2943837165473	0.125731607764875	SORBI_3004G176200;SORBI_3008G062300;SORBI_3008G062400	0.301755858635701
path:sbi04814	Motor proteins - Sorghum bicolor (sorghum)	7	3	1.30754066042385	2.2943837165473	0.125731607764875	SORBI_3001G022800;SORBI_3003G185300;SORBI_3003G367300	0.301755858635701
path:sbi00010	Glycolysis / Gluconeogenesis - Sorghum bicolor (sorghum)	18	6	3.36224741251848	1.78452066842568	0.101777995985549	SORBI_3001G263900;SORBI_3001G264000;SORBI_3003G355500;SORBI_3003G355600;SORBI_3004G205100;SORBI_3009G069800	0.301755858635701
path:sbi01200	Carbon metabolism - Sorghum bicolor (sorghum)	20	6	3.73583045835387	1.60606860158311	0.153755897960387	SORBI_3004G205100;SORBI_3006G000100;SORBI_3008G062500;SORBI_3009G069600;SORBI_3009G069800;SORBI_3010G141600	0.325600725092584
path:sbi04075	Plant hormone signal transduction - Sorghum bicolor (sorghum)	33	9	6.16412025628388	1.46006236507556	0.146656960273813	SORBI_3001G259400;SORBI_3001G259600;SORBI_3002G105300;SORBI_3003G368300;SORBI_3006G279100;SORBI_3007G109400;SORBI_3008G096000;SORBI_3009G050400;SORBI_3010G146400	0.325600725092584
path:sbi00053	Ascorbate and aldarate metabolism - Sorghum bicolor (sorghum)	8	3	1.49433218334155	2.00758575197889	0.174397101611127	SORBI_3001G247600;SORBI_3003G355500;SORBI_3003G355600	0.330436613578977
