pathway_id	pathway_name	pathway_bg_count	pathway_test_count	expected	fold_enrichment	p_value	overlap_genes	p_adj_bh
path:sbi00460	Cyanoamino acid metabolism - Sorghum bicolor (sorghum)	7	3	1.30409068506654	2.30045351473923	0.124942923366805	SORBI_3001G012000;SORBI_3001G012400;SORBI_3006G243200	0.736519111395068
path:sbi01250	Biosynthesis of nucleotide sugars - Sorghum bicolor (sorghum)	12	5	2.23558403154263	2.2365520282187	0.0551986798742005	SORBI_3001G026000;SORBI_3001G100000;SORBI_3001G247600;SORBI_3003G355200;SORBI_3004G047400	0.736519111395068
path:sbi03040	Spliceosome - Sorghum bicolor (sorghum)	15	5	2.79448003942829	1.78924162257496	0.129973960834424	SORBI_3001G041200;SORBI_3001G402300;SORBI_3003G122000;SORBI_3003G122500;SORBI_3004G309900	0.736519111395068
path:sbi00561	Glycerolipid metabolism - Sorghum bicolor (sorghum)	9	3	1.67668802365697	1.78924162257496	0.22595817790811	SORBI_3001G041900;SORBI_3003G076900;SORBI_3004G010300	0.914505085476005
path:sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis - Sorghum bicolor (sorghum)	13	3	2.42188270083785	1.23870573870574	0.447311915391573	SORBI_3004G044200;SORBI_3010G214900;SORBI_3010G215600	0.914505085476005
path:sbi04145	Phagocytosis - Sorghum bicolor (sorghum)	13	3	2.42188270083785	1.23870573870574	0.447311915391573	SORBI_3004G017900;SORBI_3004G192700;SORBI_3010G213400	0.914505085476005
path:sbi00520	Amino sugar and nucleotide sugar metabolism - Sorghum bicolor (sorghum)	19	4	3.53967471660917	1.13004734057366	0.484149751134356	SORBI_3001G026000;SORBI_3001G100000;SORBI_3001G247600;SORBI_3003G355200	0.914505085476005
path:sbi03010	Ribosome - Sorghum bicolor (sorghum)	34	7	6.33415475603746	1.10511982570806	0.452661977129697	SORBI_3001G031800;SORBI_3001G036900;SORBI_3001G100400;SORBI_3004G008400;SORBI_3004G045300	0.914505085476005
path:sbi01110	Biosynthesis of secondary metabolites - Sorghum bicolor (sorghum)	163	32	30.3666830951207	1.05378647709936	0.399357621089658	SORBI_3001G012000;SORBI_3001G012400;SORBI_3001G030500;SORBI_3001G030600;SORBI_3001G035600;SORBI_3001G041800;SORBI_3001G041900;SORBI_3001G045400;SORBI_3001G100000;SORBI_3001G247600;SORBI_3001G401700;SORBI_3002G262900;SORBI_3002G264300;SORBI_3003G076900;SORBI_3003G119900;SORBI_3003G120900;SORBI_3003G122100;SORBI_3003G355200;SORBI_3004G003900;SORBI_3004G004400;SORBI_3004G010300;SORBI_3004G044200;SORBI_3004G062000;SORBI_3004G310100;SORBI_3004G342000;SORBI_3005G105700;SORBI_3006G190900;SORBI_3006G220800;SORBI_3006G243200;SORBI_3010G214100;SORBI_3010G214900;SORBI_3010G215600	0.914505085476005
path:sbi01240	Biosynthesis of cofactors - Sorghum bicolor (sorghum)	22	4	4.09857072449482	0.975949975949976	0.608362014538996	SORBI_3001G247600;SORBI_3003G355200;SORBI_3004G044200;SORBI_3010G215600	0.962969000388012
path:sbi01230	Biosynthesis of amino acids - Sorghum bicolor (sorghum)	17	3	3.16707737801873	0.947245564892624	0.639671749115319	SORBI_3001G401700;SORBI_3003G119900;SORBI_3010G214100	0.962969000388012
path:sbi00010	Glycolysis / Gluconeogenesis - Sorghum bicolor (sorghum)	18	3	3.35337604731395	0.894620811287478	0.679742823803303	SORBI_3001G038000;SORBI_3004G004400;SORBI_3004G062000	0.962969000388012
path:sbi01100	Metabolic pathways - Sorghum bicolor (sorghum)	255	41	47.5061606702809	0.86304595912439	0.88724909322809	SORBI_3001G012000;SORBI_3001G012400;SORBI_3001G026000;SORBI_3001G030500;SORBI_3001G030600;SORBI_3001G035600;SORBI_3001G036300;SORBI_3001G038000;SORBI_3001G041800;SORBI_3001G041900;SORBI_3001G044800;SORBI_3001G045400;SORBI_3001G099100;SORBI_3001G100000;SORBI_3001G247600;SORBI_3001G401700;SORBI_3002G264300;SORBI_3002G264400;SORBI_3003G076900;SORBI_3003G119900;SORBI_3003G120900;SORBI_3003G122100;SORBI_3003G355200;SORBI_3003G420900;SORBI_3004G003900;SORBI_3004G004400;SORBI_3004G008800;SORBI_3004G008900;SORBI_3004G010300;SORBI_3004G044200;SORBI_3004G047400;SORBI_3004G062000;SORBI_3004G310100;SORBI_3006G190900;SORBI_3006G220800;SORBI_3006G243200;SORBI_3006G278500;SORBI_3008G079300;SORBI_3010G214100;SORBI_3010G214900;SORBI_3010G215600	0.971441321628167
path:sbi01200	Carbon metabolism - Sorghum bicolor (sorghum)	20	3	3.72597338590439	0.80515873015873	0.749757716777177	SORBI_3003G420900;SORBI_3006G220800;SORBI_3010G214100	0.971441321628167
path:sbi04141	Protein processing in endoplasmic reticulum - Sorghum bicolor (sorghum)	22	3	4.09857072449482	0.731962481962482	0.806971653832897	SORBI_3002G227500;SORBI_3004G026300;SORBI_3010G213400	0.971441321628167
path:sbi04075	Plant hormone signal transduction - Sorghum bicolor (sorghum)	33	3	6.14785608674224	0.487974987974988	0.960920413254749	SORBI_3003G409000;SORBI_3006G217800;SORBI_3010G224501	0.971441321628167
path:sbi00940	Phenylpropanoid biosynthesis - Sorghum bicolor (sorghum)	35	3	6.52045342533268	0.460090702947846	0.971441321628167	SORBI_3001G045400;SORBI_3003G120900;SORBI_3010G214900	0.971441321628167
