"Species","Normalized","Class","SuperClass","In_CTL","In_LIN","Status"
"(-)-Caryophyllene oxide","(-)-Caryophyllene oxide","Other","Terpenoid",TRUE,FALSE,"CTL only"
"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-","11,14,17-Eicosatrienoic acid,(Z,Z,Z)-","Other","Fatty acid",FALSE,TRUE,"LIN only"
"14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","Other","Fatty acid",TRUE,FALSE,"CTL only"
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","Other","Fatty acid",TRUE,TRUE,"Common"
"AEG(o-15:2/15:0)","AEG(o-15:2/15:0)","Other","Ether lipid",TRUE,TRUE,"Common"
"AEG(o-16:2/16:0)","AEG(o-16:2/16:0)","Other","Ether lipid",TRUE,TRUE,"Common"
"AEG(o-16:2/18:2)","AEG(o-16:2/18:2)","Other","Ether lipid",TRUE,TRUE,"Common"
"AEG(o-16:3/16:0)","AEG(o-16:3/16:0)","Other","Ether lipid",TRUE,TRUE,"Common"
"AEG(o-18:3/16:1)","AEG(o-18:3/16:1)","Other","Ether lipid",TRUE,TRUE,"Common"
"AEG(o-18:4/16:1)","AEG(o-18:4/16:1)","Other","Ether lipid",TRUE,TRUE,"Common"
"AEG(o-18:4/18:2)","AEG(o-18:4/18:2)","Other","Ether lipid",TRUE,TRUE,"Common"
"CL(18:1)","CL(18:1)","Other","Glycerophospholipid",TRUE,FALSE,"CTL only"
"Cer(24:1)","Cer(24:1)","Other","Sphingolipid",TRUE,TRUE,"Common"
"Cer(d18:2/20:1)","Cer(d18:2/20:1)","Other","Sphingolipid",TRUE,FALSE,"CTL only"
"DG(12:0/12:0)","DG(12:0/12:0)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(16:0/16:0)","DG(16:0/16:0)","DG","Glycerolipid",TRUE,FALSE,"CTL only"
"DG(16:0/18:0)","DG(16:0/18:0)","DG","Glycerolipid",TRUE,FALSE,"CTL only"
"DG(16:0/18:1)","DG(16:0/18:1)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(16:0/18:2)","DG(16:0/18:2)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(16:0/18:3)","DG(16:0/18:3)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(16:0/2:0)","DG(16:0/2:0)","DG","Glycerolipid",TRUE,FALSE,"CTL only"
"DG(16:1/18:2)","DG(16:1/18:2)","DG","Glycerolipid",FALSE,TRUE,"LIN only"
"DG(16:1/18:3)","DG(16:1/18:3)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:0/18:0)","DG(18:0/18:0)","DG","Glycerolipid",TRUE,FALSE,"CTL only"
"DG(18:0/18:2)","DG(18:0/18:2)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:0/20:3)","DG(18:0/20:3)","DG","Glycerolipid",FALSE,TRUE,"LIN only"
"DG(18:1/18:1)","DG(18:1/18:1)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:1/18:2)","DG(18:1/18:2)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:1/18:3)","DG(18:1/18:3)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:1/2:0)","DG(18:1/2:0)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:2/18:2)","DG(18:2/18:2)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:2/18:3)","DG(18:2/18:3)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(18:3/18:3)","DG(18:3/18:3)","DG","Glycerolipid",TRUE,TRUE,"Common"
"DG(8:0/8:0)","DG(8:0/8:0)","DG","Glycerolipid",FALSE,TRUE,"LIN only"
"DGDG(16:0/18:1)","DGDG(16:0/18:1)","DGDG","Glycerolipid",TRUE,TRUE,"Common"
"DGDG(16:0/18:2)","DGDG(16:0/18:2)","DGDG","Glycerolipid",TRUE,TRUE,"Common"
"DGDG(16:0/18:3)","DGDG(16:0/18:3)","DGDG","Glycerolipid",TRUE,TRUE,"Common"
"DGDG(18:0/18:2)","DGDG(18:0/18:2)","DGDG","Glycerolipid",TRUE,TRUE,"Common"
"DGDG(18:0/18:3)","DGDG(18:0/18:3)","DGDG","Glycerolipid",TRUE,TRUE,"Common"
"DGDG(18:2/18:3)","DGDG(18:2/18:3)","DGDG","Glycerolipid",TRUE,TRUE,"Common"
