"Lipids","CommonName","Class","Category_Code","SubClass","Sub_subclass"
"(-)-Caryophyllene oxide","(-)-Caryophyllene oxide","Prenol Lipids","PR","Sesquiterpenoid","NA"
"(2E,4E,12Z)-N-(2-methylpropyl)octadeca-2,4,12-trienamide","(2E,4E,12Z)-N-(2-methylpropyl)octadeca-2,4,12-trienamide","Fatty Acyls","FA","Fatty acid","NA"
"(2Z)-2-[(E)-6-(hydroxymethyl)-2,4,8,10-tetramethyldodec-2-enylidene]-4-methylpentanedioic acid","(2Z)-2-[(E)-6-(hydroxymethyl)-2,4,8,10-tetramethyldodec-2-enylidene]-4-methylpentanedioic acid","Prenol Lipids","PR","Prenol","Diterpenoid"
"(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-6,10,14,18-tetraene-1,2,3,22,23-pentol","(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-6,10,14,18-tetraene-1,2,3,22,23-pentol","Prenol Lipids","PR","Triterpenoid","NA"
".alpha.-Amyrin",".alpha.-Amyrin","Prenol Lipids","PR","Triterpenoid","NA"
".alpha.-Ionone",".alpha.-Ionone","Prenol Lipids","PR","Monoterpenoid","Cyclic monoterpenoid"
".beta.-Amyrin",".beta.-Amyrin","Prenol Lipids","PR","Triterpenoid","Pentacyclic triterpenoid"
".beta.-Amyrin acetate",".beta.-Amyrin acetate","Prenol Lipids","PR","Triterpenoid","Pentacyclic triterpenoid"
".beta.-Cryptoxanthin",".beta.-Cryptoxanthin","Prenol Lipids","PR","Tetraterpenoid","Carotenoid"
".beta.-Sitosterol",".beta.-Sitosterol","Sterol Lipids","ST","Sterol","Phytosterol"
".gamma.-Linolenoyl ethanolamide",".gamma.-Linolenoyl ethanolamide","Fatty Acyls","FA","Fatty acid","N-acylethanolamine"
"1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine","1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine","Glycerophospholipids","GP","Glycerophosphocholine","Phosphatidylcholine"
"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-","11,14,17-Eicosatrienoic acid,(Z,Z,Z)-","Fatty Acyls","FA","Fatty acid","Oxylipin"
"13-Keto-9Z,11E-octadecadienoic acid","13-Keto-9Z,11E-octadecadienoic acid","Fatty Acyls","FA","Fatty acid","Oxidized fatty acid"
"13S-HOTrE","13S-HOTrE","Fatty Acyls","FA","Fatty acid","Oxylipin"
"14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","Fatty Acyls","FA","Fatty acid","NA"
"14-demethyllanosterol","14-demethyllanosterol","Sterol Lipids","ST","Sterol","NA"
"17.alpha.-Methyl-5.beta.-androstan-3.alpha.,17.beta.-diol","17.alpha.-Methyl-5.beta.-androstan-3.alpha.,17.beta.-diol","Sterol Lipids","ST","Androgen","NA"
"1H-Indole-3-carboxamide, 1-(5-fluoropentyl)-N-tricyclo[3.3.1.1(3,7)]dec-1-yl-","1H-Indole-3-carboxamide, 1-(5-fluoropentyl)-N-tricyclo[3.3.1.1(3,7)]dec-1-yl-","Prenol Lipids","PR","Sesterterpenoid","Fungal metabolite"
"22-Hydoxy-2-hopen-1-one","22-Hydoxy-2-hopen-1-one","Prenol Lipids","PR","Sesquiterpenoid","NA"
"24S-Hydroxycholesterol","24S-Hydroxycholesterol","Sterol Lipids","ST","Sterol","Phytosterol"
"3-Epilupeol","3-Epilupeol","Prenol Lipids","PR","Triterpenoid","Pentacyclic triterpenoid"
"3-Hydroxyechinenone","3-Hydroxyechinenone","Prenol Lipids","PR","Tetraterpenoid","Oxygenated carotenoid"
"5-Androstene-3.beta.,17.beta.-diol","5-Androstene-3.beta.,17.beta.-diol","Sterol Lipids","ST","Androgen","NA"
"7-Oxocholesterol","7-Oxocholesterol","Sterol Lipids","ST","Sterol","Oxysterol"
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","Fatty Acyls","FA","Fatty acid","Oxidized fatty acid"
"9,12,13,TriHODE","9,12,13,TriHODE","Fatty Acyls","FA","Fatty acid","Oxylipin"
