condition,Compound_Name,status,n_plots,message
LIN,"(2R,6R)-2-methyl-6-tridecylpiperidine",ok,380,NA
LIN,"(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-6,10,14,18-tetraene-1,2,3,22,23-pentol",ok,380,NA
LIN,.beta.-Amyrin acetate,ok,380,NA
LIN,.beta.-Cryptoxanthin,ok,380,NA
LIN,"13,14-Dihydro-15-ketoprostaglandin F2.alpha. isopropyl ester",ok,380,NA
LIN,"16,16-Dimethylprostaglandin A1",ok,380,NA
LIN,"17.alpha.-Methyl-5.beta.-androstan-3.alpha.,17.beta.-diol",ok,380,NA
LIN,24S-Hydroxycholesterol,ok,380,NA
LIN,3-Epilupeol,ok,380,NA
LIN,3-Methoxylimaprost,ok,380,NA
LIN,3.10S-Hydroxypheophorbide a,ok,380,NA
LIN,7-Oxocholesterol,ok,380,NA
LIN,"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",ok,380,NA
LIN,AEG(o-15:2/15:0),ok,380,NA
LIN,AEG(o-16:3/16:0),ok,380,NA
LIN,AEG(o-18:4/16:1),ok,380,NA
LIN,Alloxanthin,ok,380,NA
LIN,Antheraxanthin,ok,380,NA
LIN,Boldenone cypionate,ok,380,NA
LIN,Caryophyllene oxide,ok,380,NA
LIN,Celaxanthin,ok,380,NA
LIN,Chlorophyll a,ok,380,NA
LIN,Clionasterol,ok,380,NA
LIN,CoQ9,ok,380,NA
LIN,Cryptoxanthin,ok,380,NA
LIN,Cycloartenol acetate,ok,380,NA
LIN,DG(12:0/0:0/12:0),ok,380,NA
LIN,DG(12:0/12:0),ok,380,NA
LIN,DG(16:0/18:1),ok,380,NA
LIN,DG(16:0/18:1/0:0),ok,380,NA
LIN,DG(16:0/18:2),ok,380,NA
LIN,DG(16:0/18:3),ok,380,NA
LIN,DG(16:1/18:2/0:0),ok,380,NA
LIN,DG(16:1/18:3/0:0),ok,380,NA
LIN,DG(18:0/18:2/0:0),ok,380,NA
LIN,DG(18:1/18:2/0:0),ok,380,NA
LIN,DG(18:1/2:0/0:0),ok,380,NA
LIN,DG(18:2/18:3/0:0),ok,380,NA
LIN,DG(18:3/18:3/0:0),ok,380,NA
LIN,DG(8:0/8:0/0:0),ok,380,NA
LIN,DGDG(16:0/18:1),ok,380,NA
LIN,DGDG(16:0/18:2),ok,380,NA
LIN,DGDG(16:0/18:3),ok,380,NA
LIN,DGDG(18:0/18:2),ok,380,NA
LIN,DGDG(18:0/18:3),ok,380,NA
LIN,DGDG(18:2/18:3),ok,380,NA
LIN,DGDG(18:2/18:4),ok,380,NA
LIN,Diadinochrome,ok,380,NA
LIN,"Didodecyl 3,3'-thiodipropionate",ok,380,NA
LIN,Dimethyldioctadecylammonium cation,ok,380,NA
LIN,FA(18:4),ok,380,NA
LIN,Fucosterol,ok,380,NA
LIN,GalCer(d18:2/18:1),ok,380,NA
LIN,GalCer(d18:2/20:1),ok,380,NA
LIN,Ginsenoside F1,ok,380,NA
LIN,Iloprost,ok,380,NA
LIN,LPC(16:0/0:0),ok,380,NA
LIN,Lanosterol,ok,380,NA
LIN,Lupenone,ok,380,NA
LIN,Lupeol,ok,380,NA
LIN,Lutein,ok,380,NA
LIN,MGDG(16:0/18:1),ok,380,NA
LIN,MGDG(16:0/18:3),ok,380,NA
LIN,MGDG(18:2/18:2),ok,380,NA
LIN,MGDG(18:2/18:3),ok,380,NA
LIN,MGDG(18:3/18:3),ok,380,NA
LIN,Medroxyprogesterone,ok,380,NA
LIN,N-gamma-Linolenoylethanolamine,ok,380,NA
