feature_id,label,source_name,MQScore,SharedPeaks,MZErrorPPM,library_precursor_mz,library_rt_seconds,curated_name,Compound_Name,name_key,Class,SubClass,Sub_subclass,condition,retain,exclusion_reason
3766,3766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
5782,5782,2-Amino-4-tert-butylphenol,0.690442,4,0,148.112,198.775,NA,2-Amino-4-tert-butylphenol,2-Amino-4-tert-butylphenol,NA,NA,NA,CTL,FALSE,unclassified_annotation
3170,3170,2-Methyl-N-(4-Methylphenyl)alanine,0.815516,5,0,148.112,116.657,NA,2-Methyl-N-(4-Methylphenyl)alanine,2-Methyl-N-(4-Methylphenyl)alanine,NA,NA,NA,CTL,FALSE,unclassified_annotation
3775,3775,2-Methyl-N-(4-Methylphenyl)alanine,0.828368,5,0,148.112,148.073,NA,2-Methyl-N-(4-Methylphenyl)alanine,2-Methyl-N-(4-Methylphenyl)alanine,NA,NA,NA,CTL,FALSE,unclassified_annotation
12377,12377,"3,4-Dihydroxymandelic acid",0.96119,6,0,149.023,263.287,NA,"3,4-Dihydroxymandelic acid","3,4-Dihydroxymandelic acid",NA,NA,NA,CTL,FALSE,unclassified_annotation
3797,3797,Buphedrone,0.773788,4,0,160.112,148.182,NA,Buphedrone,Buphedrone,NA,NA,NA,CTL,FALSE,unclassified_annotation
2892,2892,N-Acetyl-L-phenylalanine,0.634864,3,0,162.091,73.499,NA,N-Acetyl-L-phenylalanine,N-Acetyl-L-phenylalanine,NA,NA,NA,CTL,FALSE,unclassified_annotation
12355,12355,Di(2-nonyl) phthalate,0.842053,4,0.63946,167.034,263.285,NA,Di(2-nonyl) phthalate,Di(2-nonyl) phthalate,NA,NA,NA,CTL,FALSE,unclassified_annotation
7968,7968,Massbank:LU071701 epsilon-Decalactone|7-butyloxepan-2-one,0.901813,5,22.201,171.138,220.357,NA,epsilon-Decalactone|7-butyloxepan-2-one,epsilon-Decalactone|7-butyloxepan-2-one,NA,NA,NA,CTL,FALSE,unclassified_annotation
7957,7957,Massbank:LU071701 epsilon-Decalactone|7-butyloxepan-2-one,0.883945,5,1.15909,171.138,220.216,NA,epsilon-Decalactone|7-butyloxepan-2-one,epsilon-Decalactone|7-butyloxepan-2-one,NA,NA,NA,CTL,FALSE,unclassified_annotation
10230,10230,"5-Androstene-3.beta.,17.beta.-diol",0.861444,7,0.616935,173.133,238.663,NA,"5-Androstene-3.beta.,17.beta.-diol","5-Androstene-3.beta.,17.beta.-diol",Steroid,Androgen,NA,CTL,TRUE,NA
2667,2667,Massbank:EA028712 Atrazine-desisopropyl|Deisopropylatrazine|(4-amino-6-chloro-s-triazin-2-yl)-ethyl-amine,0.874603,8,0.526002,174.054,63.876,NA,Atrazine-desisopropyl|Deisopropylatrazine|(4-amino-6-chloro-s-triazin-2-yl)-ethyl-amine,Atrazine-desisopropyl|Deisopropylatrazine|(4-amino-6-chloro-s-triazin-2-yl)-ethyl-amine,NA,NA,NA,CTL,FALSE,unclassified_annotation
10000,10000,.alpha.-Ionone,0.833016,6,0,175.148,238.802,NA,.alpha.-Ionone,.alpha.-Ionone,Terpenoid,Monoterpenoid,Cyclic monoterpenoid,CTL,TRUE,NA
2664,2664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
13069,13069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
8202,8202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
4004,4004,Massbank:LU035906 Dibenzylamine|N-benzyl-1-phenylmethanamine,0.981455,4,1.5403,198.128,155.608,NA,Dibenzylamine|N-benzyl-1-phenylmethanamine,Dibenzylamine|N-benzyl-1-phenylmethanamine,NA,NA,NA,CTL,FALSE,unclassified_annotation
2853,2853,Massbank:LU035906 Dibenzylamine|N-benzyl-1-phenylmethanamine,0.945245,3,1.00119,198.128,69.494,NA,Dibenzylamine|N-benzyl-1-phenylmethanamine,Dibenzylamine|N-benzyl-1-phenylmethanamine,NA,NA,NA,CTL,FALSE,unclassified_annotation
2683,2683,Massbank:EA027906 Atrazine-2-hydroxy|2-Hydroxyatrazine|2-(ethylamino)-6-(isopropylamino)-1H-s-triazin-4-one,0.951921,6,1.00116,198.135,64.126,NA,Atrazine-2-hydroxy|2-Hydroxyatrazine|2-(ethylamino)-6-(isopropylamino)-1H-s-triazin-4-one,Atrazine-2-hydroxy|2-Hydroxyatrazine|2-(ethylamino)-6-(isopropylamino)-1H-s-triazin-4-one,NA,NA,NA,CTL,FALSE,unclassified_annotation
2470,2470,Metazachlor,0.564237,3,0.508462,210.068,60.992,NA,Metazachlor,Metazachlor,NA,NA,NA,CTL,FALSE,unclassified_annotation
3762,3762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
2669,2669,"Massbank:EA028805 Atrazine|6-chloro-N-ethyl-N'-isopropyl-1,3,5-triazine-2,4-diamine|6-chloranyl-N4-ethyl-N2-propan-2-yl-1,3,5-triazine-2,4-diamine",0.967135,10,0,216.101,63.468,NA,"Atrazine|6-chloro-N-ethyl-N'-isopropyl-1,3,5-triazine-2,4-diamine|6-chloranyl-N4-ethyl-N2-propan-2-yl-1,3,5-triazine-2,4-diamine","Atrazine|6-chloro-N-ethyl-N'-isopropyl-1,3,5-triazine-2,4-diamine|6-chloranyl-N4-ethyl-N2-propan-2-yl-1,3,5-triazine-2,4-diamine",NA,NA,NA,CTL,FALSE,unclassified_annotation
2670,2670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
2661,2661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
5835,5835,Acetochlor,0.860895,7,0.408565,224.084,198.279,NA,Acetochlor,Acetochlor,NA,NA,NA,CTL,FALSE,unclassified_annotation
3124,3124,Acetochlor,0.885724,7,0.408565,224.084,116.463,NA,Acetochlor,Acetochlor,NA,NA,NA,CTL,FALSE,unclassified_annotation
3776,3776,Acetochlor,0.847167,7,0,224.084,148.02,NA,Acetochlor,Acetochlor,NA,NA,NA,CTL,FALSE,unclassified_annotation
3770,3770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
3119,3119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
5819,5819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
2869,2869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
3028,3028,"Massbank:EA274105 Propazine|6-chloranyl-N2,N4-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",0.948663,7,1.32618,230.117,97.778,NA,"Propazine|6-chloranyl-N2,N4-di(propan-2-yl)-1,3,5-triazine-2,4-diamine","Propazine|6-chloranyl-N2,N4-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",NA,NA,NA,CTL,FALSE,unclassified_annotation
3916,3916,"""N,N-Dimethyldodecylamine N-oxide""",0.963091,5,0.861524,230.248,157.504,NA,"N,N-Dimethyldodecylamine N-oxide","N,N-Dimethyldodecylamine N-oxide",NA,NA,NA,CTL,FALSE,unclassified_annotation
