"Phenotype","PhenotypeClean","N_SNPs","Min_P","Lambda","N_GenomeWide","N_Suggestive"
"Sum_PC_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta6_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta6_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,3.883038e-24,0.817157301652045,939,8065
"Sum_AEG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta1_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,1.379994e-23,0.831444265182919,785,6452
"Sum_AEG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta8_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta8_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,2.728826e-23,0.825033887608566,893,7152
"Sum_AEG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta1_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,7.318886e-23,0.841283814415584,777,5558
"Sum_PC_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta6_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta6_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,7.593142e-23,0.837608201301979,734,5746
"Sum_AEG_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta2_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta2_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,1.045204e-22,0.849472900280397,714,5780
"Sum_PC_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta7_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_PC_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta7_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,1.429068e-22,0.853653228633632,670,5492
"Sum_AEG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta8_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta8_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,1.79141e-22,0.829097508842947,762,6749
"Sum_AEG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta9_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta9_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,2.022098e-22,0.837823646137472,768,6084
"Sum_AEG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta9_SAP_bialleles_MAF_0.05_15.assoc.txt","Sum_AEG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part05_parta9_SAP_bialleles_MAF_0_05_15_assoc_txt",6106358,2.039026e-22,0.847634708563853,734,6463
