"Feature","Effect","CI_Low","CI_High","Class","AbsEffect"
"SQDG",-1.41887986041695,-1.45791140569514,-1.37984831513875,"SQDG",1.41887986041695
"MG",-0.864492933802669,-0.899844053989973,-0.829141813615366,"MG",0.864492933802669
"MGDG",-0.734188928114504,-0.771121298494346,-0.697256557734663,"MGDG",0.734188928114504
"PC",-0.694146109708447,-0.740059938203823,-0.648232281213071,"PC",0.694146109708447
"DGDG",-0.641652912529196,-0.675790148044542,-0.60751567701385,"DGDG",0.641652912529196
"LPC",-0.615191680896426,-0.666165733750349,-0.564217628042503,"LPC",0.615191680896426
"DG",-0.590525643756294,-0.624870148604906,-0.556181138907683,"DG",0.590525643756294
"PE",-0.54050029964768,-0.581175203167648,-0.499825396127712,"PE",0.54050029964768
"PS",0.539996715892756,0.480104133629591,0.599889298155921,"PS",0.539996715892756
"PG",-0.488486135692254,-0.527242731345236,-0.449729540039273,"PG",0.488486135692254
"PA",-0.280260975715766,-0.367293985301159,-0.193227966130373,"PA",0.280260975715766
"LPE",0.129992573271486,0.0802338235252673,0.179751323017705,"LPE",0.129992573271486
