"Condition","FocusClass","n_species","WeightedC","WeightedDB"
"CTL","DG",16,35.1339033174986,5.1775184439735
"CTL","DGDG",7,35.3879757649802,4.89557589205751
"CTL","LPC",4,17.6384368127117,0.958458576249298
"CTL","LPE",1,16,0
"CTL","MG",8,17.0570262144774,1.79356742884689
"CTL","MGDG",5,35.890038363528,5.74327886977033
"CTL","PA",1,34,2
"CTL","PC",36,34.4709144349241,2.12155409300914
"CTL","PE",14,34.5383471531788,2.68442982150926
"CTL","PG",3,33.3345127953117,0.604938675469878
"CTL","PS",2,37.3605389192405,3.36053891924052
"CTL","SQDG",11,34.3337480147909,3.34773994872734
"CTL","TG",67,51.0135541135106,4.1245393100505
"LIN","DG",15,34.272834243643,4.96081786915985
"LIN","DGDG",7,35.4556903097999,4.94681906729517
"LIN","LPC",3,16.7393895050586,1.04421957387308
"LIN","LPE",1,16,0
"LIN","MG",5,16.9839159467441,1.9666673878622
"LIN","MGDG",5,35.914710553744,5.78761591446648
"LIN","PA",2,34,1.85832872233526
"LIN","PC",38,34.623346948765,2.07799683750308
"LIN","PE",15,34.7935442530483,3.37109220901669
"LIN","PG",3,33.6495019563486,0.565209252340706
"LIN","PS",1,36,2
"LIN","SQDG",10,34.1988266433617,3.2917631477516
"LIN","TG",66,54.6235878215357,4.29239333998108
