"Ratio","n_C","n_LI","median_C","median_LI","effect_log10","effect_fc","direction","p_wilcox","p_adj_BH","significance"
"MG/SQDG",394,363,-0.1197,0.5761,0.6957,4.96,"LI > C","4.08e-125","1.83e-124","***"
"MG/MGDG",394,363,-1.3404,-0.7751,0.5652,3.67,"LI > C","4.08e-125","1.83e-124","***"
"PS/SQDG",394,363,-0.9917,0.1126,1.1043,12.71,"LI > C","4.08e-125","1.83e-124","***"
"DGDG/MG",394,363,0.9894,0.5746,-0.4148,0.38,"LI < C","4.08e-125","1.83e-124","***"
"PG/SQDG",394,363,0.1939,0.6139,0.42,2.63,"LI > C","4.11e-125","1.83e-124","***"
"DG/MG",394,363,0.3907,-0.0806,-0.4713,0.34,"LI < C","4.08e-125","1.83e-124","***"
"DG/PS",394,363,1.2742,0.3722,-0.902,0.13,"LI < C","5.13e-125","1.83e-124","***"
"PC/PS",394,363,0.9713,0.1775,-0.7938,0.16,"LI < C","6.11e-125","1.83e-124","***"
"PS/PC",394,363,-0.9713,-0.1775,0.7938,6.22,"LI > C","6.11e-125","1.83e-124","***"
"PS/MGDG",394,363,-2.2119,-1.2414,0.9705,9.34,"LI > C","4.78e-125","1.83e-124","***"
"PS/DG",394,363,-1.2742,-0.3722,0.902,7.98,"LI > C","5.13e-125","1.83e-124","***"
"LPE/SQDG",394,363,-0.9546,-0.3722,0.5825,3.82,"LI > C","7.27e-125","2.00e-124","***"
"DGDG/PS",394,363,1.8636,1.0403,-0.8233,0.15,"LI < C","8.19e-125","2.04e-124","***"
"PE/PS",394,363,1.2728,0.521,-0.7518,0.18,"LI < C","8.65e-125","2.04e-124","***"
"PE/SQDG",394,363,0.2864,0.6258,0.3394,2.18,"LI > C","1.57e-124","3.45e-124","***"
"LPC/PS",394,363,0.7386,-0.0941,-0.8327,0.15,"LI < C","1.99e-124","4.10e-124","***"
"MG/PG",394,363,-0.313,-0.0297,0.2833,1.92,"LI > C","2.24e-124","4.34e-124","***"
"LPC/MG",394,363,-0.1385,-0.5475,-0.409,0.39,"LI < C","2.83e-124","4.68e-124","***"
"MGDG/PG",394,363,1.0268,0.7447,-0.282,0.52,"LI < C","2.75e-124","4.68e-124","***"
"PG/MGDG",394,363,-1.0268,-0.7447,0.282,1.91,"LI > C","2.75e-124","4.68e-124","***"
"PA/PS",394,363,0.4076,-0.7711,-1.1787,0.07,"LI < C","4.59e-124","7.21e-124","***"
"PG/PS",394,363,1.1859,0.5005,-0.6854,0.21,"LI < C","1.08e-123","1.61e-123","***"
"LPE/MGDG",394,363,-2.1781,-1.739,0.4391,2.75,"LI > C","4.02e-120","5.76e-120","***"
"SQDG/TG",394,363,1.0753,0.5518,-0.5235,0.3,"LI < C","1.61e-119","2.21e-119","***"
"PC/SQDG",394,363,-0.0127,0.3036,0.3163,2.07,"LI > C","1.21e-117","1.60e-117","***"
"LPC/LPE",394,363,0.7003,0.4001,-0.3002,0.5,"LI < C","4.15e-113","5.27e-113","***"
"MGDG/PE",394,363,0.9408,0.7259,-0.2149,0.61,"LI < C","1.48e-102","1.81e-102","***"
"TG/MGDG",394,363,-2.3117,-1.9078,0.4038,2.53,"LI > C","3.63e-102","4.27e-102","***"
"TG/DG",394,363,-1.3525,-1.0525,0.3,2,"LI > C"," 2.20e-99"," 2.51e-99","***"
"PG/DGDG",394,363,-0.6692,-0.5416,0.1276,1.34,"LI > C"," 1.53e-96"," 1.68e-96","***"
"PE/PA",394,363,0.8919,1.2486,0.3567,2.27,"LI > C"," 1.25e-67"," 1.33e-67","***"
"TG/MG",394,363,-0.9624,-1.1328,-0.1704,0.68,"LI < C"," 1.11e-59"," 1.15e-59","***"
"TG/PE",394,363,-1.3677,-1.1858,0.1819,1.52,"LI > C"," 2.70e-41"," 2.70e-41","***"
