"Grouping","Group","n_CTL","n_LIN","tested_CTL","tested_LIN","Folded_labels"
"K.Cluster","1",30,26,TRUE,TRUE,"1"
"K.Cluster","2",58,56,TRUE,TRUE,"2"
"K.Cluster","3",130,115,TRUE,TRUE,"3"
"K.Cluster","4",34,28,TRUE,TRUE,"4"
"K.Cluster","5",35,34,TRUE,TRUE,"5"
"K.Cluster","6",100,96,TRUE,TRUE,"6"
"RaceGroup","Bicolor",17,16,TRUE,TRUE,"Bicolor"
"RaceGroup","Caudatum",76,71,TRUE,TRUE,"Caudatum"
"RaceGroup","Durra",22,23,TRUE,TRUE,"Durra"
"RaceGroup","Guinea",19,17,TRUE,TRUE,"Guinea"
"RaceGroup","Kafir",7,7,TRUE,TRUE,"Kafir"
"RaceGroup","Mixed",81,77,TRUE,TRUE,"Caudatum-Bicolor; Durra-Bicolor; Durra-Caudatum; Guinea-Bicolor; Guinea-Caudatum; Guinea-Durra; Guinea-Kafir; Kafir-Bicolor; Kafir-Caudatum; Kafir-Durra"
