Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
CTL	SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600	aspartic-type endopeptidase activity	PC	1	MF	Individual lipid species	1	3	53	2	21.3	21.3	0.014	aspartic-type endopeptidase activity
CTL	SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200	nicotianamine aminotransferase activity and L-tyrosine-2-oxoglutarate transaminase activity	TG	1	MF	Individual lipid species	1	3	5	2	18.2	18.2	0.014	L-tyrosine-2-oxoglutarate transaminase activity; nicotianamine aminotransferase activity
CTL	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500	lactoperoxidase activity and peroxidase activity	PA	1	BP/MF	Class sums and ratios; Individual lipid species	3	3	94	2	7.6	17.7	0.015	cellular oxidant detoxification; hydrogen peroxide catabolic process; response to oxidative stress | hydrogen peroxide catabolic process | lactoperoxidase activity; peroxidase activity
CTL	SORBI_3002G041100;SORBI_3002G041200;SORBI_3002G104200;SORBI_3005G152200	L-tyrosine catabolic process	TG	1	BP	Individual lipid species	1	4	12	3	9.8	9.8	0.0068	L-tyrosine catabolic process
CTL	SORBI_3008G098300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600	proteolysis	PC	1	BP	Individual lipid species	1	5	272	4	7.4	7.4	0.0057	proteolysis
CTL	SORBI_3008G098300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400	peptidase activity	PC	1	MF	Individual lipid species	1	4	227	3	6.6	6.6	0.014	peptidase activity
CTL	SORBI_3001G260701;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200;SORBI_3008G016900	transaminase activity	TG	1	MF	Individual lipid species	1	5	32	4	4.7	4.7	0.014	transaminase activity
CTL	SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	zinc ion binding	FA	1	MF	Class sums and ratios	1	7	1015	6	4.1	4.1	0.005	zinc ion binding
CTL	SORBI_3002G221400;SORBI_3002G374200;SORBI_3005G110535;SORBI_3005G110541;SORBI_3009G153400;SORBI_3010G136450;SORBI_3010G151200;SORBI_3010G151325	zinc ion binding	DG, GalCer, MG, MGDG, SQDG	5	MF	Class sums and ratios	5	8	1015	7	3.7	3.9	0.005	zinc ion binding
CTL	SORBI_3001G169100;SORBI_3002G218700;SORBI_3005G110520;SORBI_3009G152800;SORBI_3010G151000	transmembrane transport	PE	1	BP	Class sums and ratios	1	5	526	5	3.8	3.8	0.016	transmembrane transport
