Analysis	source	term_id	term_name	FDR	Fold_Enrichment	query	significant	p_value	term_size	query_size	intersection_size	precision	recall	effective_domain_size	source_order	parents	evidence_codes	intersection
CTL_individual	GO:BP	GO:2000767	positive regulation of cytoplasmic translation	2.055742512090435e-6	3.842888100866824	query_1	TRUE	2.055742512090435e-6	216	564	26	0.04609929078014184	0.12037037037037036	18006	24123		IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:0045727	positive regulation of translation	2.055742512090435e-6	3.731555678364189	query_1	TRUE	2.055742512090435e-6	231	564	27	0.047872340425531915	0.11688311688311688	18006	10800		IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:2000765	regulation of cytoplasmic translation	2.055742512090435e-6	3.842888100866824	query_1	TRUE	2.055742512090435e-6	216	564	26	0.04609929078014184	0.12037037037037036	18006	24121		IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:0010608	post-transcriptional regulation of gene expression	3.8513697922383235e-6	2.853248021379381	query_1	TRUE	3.8513697922383235e-6	414	564	37	0.06560283687943262	0.0893719806763285	18006	4069		IBA IEA,IBA IEA,IBA,IEA,IEA,IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA IEA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IEA,IBA,IBA,IBA	SORBI_3001G021800,SORBI_3001G024000,SORBI_3001G221850,SORBI_3001G261900,SORBI_3002G044000,SORBI_3003G206600,SORBI_3004G137601,SORBI_3005G110463,SORBI_3005G182701,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3006G208800,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3007G114000,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G234400,SORBI_3010G127550,SORBI_3010G134500,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:0010628	positive regulation of gene expression	8.23881319312227e-6	3.3803504380475595	query_1	TRUE	8.23881319312227e-6	255	564	27	0.047872340425531915	0.10588235294117647	18006	4087		IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:0006417	regulation of translation	8.23881319312227e-6	3.0136195317893675	query_1	TRUE	8.23881319312227e-6	339	564	32	0.05673758865248227	0.0943952802359882	18006	2066		IBA IEA,IBA,IEA,IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA	SORBI_3001G024000,SORBI_3001G221850,SORBI_3002G044000,SORBI_3003G206600,SORBI_3004G137601,SORBI_3005G110463,SORBI_3005G182701,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G234400,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:0002181	cytoplasmic translation	1.2121468456634732e-5	2.9900044995821817	query_1	TRUE	1.2121468456634732e-5	331	564	31	0.0549645390070922	0.09365558912386707	18006	709		IBA,IBA IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA	SORBI_3001G221850,SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G095500,SORBI_3008G103132,SORBI_3008G131800,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G234400,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
CTL_individual	GO:BP	GO:0006412	translation	8.03487808191195e-5	2.0110571284972356	query_1	TRUE	8.03487808191195e-5	889	564	56	0.09929078014184398	0.06299212598425197	18006	2062		IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA,IEA,IBA,IBA IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA IEA,IEA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA IEA,IBA,IBA IEA,IBA IEA,IBA,IBA,IBA IEA,IBA IEA,IEA,IBA,IBA,IBA,IBA,IBA IEA	SORBI_3001G021400,SORBI_3001G022500,SORBI_3001G024000,SORBI_3001G221500,SORBI_3001G221850,SORBI_3001G225700,SORBI_3001G259000,SORBI_3002G042500,SORBI_3002G044000,SORBI_3002G148166,SORBI_3002G244600,SORBI_3002G364301,SORBI_3003G205400,SORBI_3003G206600,SORBI_3003G369066,SORBI_3004G103700,SORBI_3004G103800,SORBI_3004G104100,SORBI_3004G104300,SORBI_3004G137601,SORBI_3005G110463,SORBI_3005G182701,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G047400,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G071300,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G110500,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G095500,SORBI_3008G103132,SORBI_3008G131800,SORBI_3009G050300,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G234400,SORBI_3009G237200,SORBI_3010G103900,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750,SORBI_3010G150575
CTL_individual	GO:BP	GO:0160307	protein biosynthetic process	8.03487808191195e-5	2.0110571284972356	query_1	TRUE	8.03487808191195e-5	889	564	56	0.09929078014184398	0.06299212598425197	18006	19039		IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA,IEA,IBA,IBA IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA IEA,IEA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA IEA,IBA,IBA IEA,IBA IEA,IBA,IBA,IBA IEA,IBA IEA,IEA,IBA,IBA,IBA,IBA,IBA IEA	SORBI_3001G021400,SORBI_3001G022500,SORBI_3001G024000,SORBI_3001G221500,SORBI_3001G221850,SORBI_3001G225700,SORBI_3001G259000,SORBI_3002G042500,SORBI_3002G044000,SORBI_3002G148166,SORBI_3002G244600,SORBI_3002G364301,SORBI_3003G205400,SORBI_3003G206600,SORBI_3003G369066,SORBI_3004G103700,SORBI_3004G103800,SORBI_3004G104100,SORBI_3004G104300,SORBI_3004G137601,SORBI_3005G110463,SORBI_3005G182701,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G047400,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G071300,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G110500,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G095500,SORBI_3008G103132,SORBI_3008G131800,SORBI_3009G050300,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G234400,SORBI_3009G237200,SORBI_3010G103900,SORBI_3010G127550,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750,SORBI_3010G150575
CTL_individual	GO:BP	GO:0051246	regulation of protein metabolic process	4.089478987071204e-4	2.3125133781411873	query_1	TRUE	4.089478987071204e-4	497	564	36	0.06382978723404255	0.07243460764587525	18006	12695		IBA IEA,IBA,IEA,IBA,IEA,IEA,IBA,IBA,IEA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G024000,SORBI_3001G221850,SORBI_3001G222300,SORBI_3001G254200,SORBI_3002G044000,SORBI_3003G206600,SORBI_3004G137601,SORBI_3005G110463,SORBI_3005G182701,SORBI_3005G187000,SORBI_3006G033001,SORBI_3006G034225,SORBI_3006G036632,SORBI_3006G040201,SORBI_3006G040301,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G086032,SORBI_3007G103350,SORBI_3007G103732,SORBI_3007G112301,SORBI_3008G088887,SORBI_3008G094500,SORBI_3008G103132,SORBI_3009G095480,SORBI_3009G095560,SORBI_3009G234400,SORBI_3010G127550,SORBI_3010G132300,SORBI_3010G134801,SORBI_3010G140150,SORBI_3010G140750
