condition	LayerGroup	GeneID	Recurrence
CTL	combined	SORBI_3003G318650	64
CTL	combined	SORBI_3002G371500	56
CTL	combined	SORBI_3002G373700	56
CTL	combined	SORBI_3002G373800	56
CTL	combined	SORBI_3002G373900	56
CTL	combined	SORBI_3002G374200	56
CTL	combined	SORBI_3002G375200	56
CTL	combined	SORBI_3009G152800	53
CTL	combined	SORBI_3009G153366	53
CTL	combined	SORBI_3009G153400	53
CTL	combined	SORBI_3010G140600	36
CTL	combined	SORBI_3010G150325	36
CTL	combined	SORBI_3010G150575	36
CTL	combined	SORBI_3010G150600	36
CTL	combined	SORBI_3010G150700	36
CTL	combined	SORBI_3010G150701	35
CTL	combined	SORBI_3010G150900	35
CTL	combined	SORBI_3010G151000	35
CTL	combined	SORBI_3010G151200	35
CTL	combined	SORBI_3010G151325	35
CTL	combined	SORBI_3010G136200	34
CTL	combined	SORBI_3010G136300	34
CTL	combined	SORBI_3010G136400	34
CTL	combined	SORBI_3010G136450	34
CTL	combined	SORBI_3010G136500	34
CTL	combined	SORBI_3010G136600	34
CTL	combined	SORBI_3010G136601	34
CTL	combined	SORBI_3010G144500	34
CTL	combined	SORBI_3010G150800	34
CTL	combined	SORBI_3006G040500	27
CTL	combined	SORBI_3002G218600	22
CTL	combined	SORBI_3002G218700	22
CTL	combined	SORBI_3002G218800	22
CTL	combined	SORBI_3002G219000	22
CTL	combined	SORBI_3002G219100	22
CTL	combined	SORBI_3002G219200	22
CTL	combined	SORBI_3002G220100	22
CTL	combined	SORBI_3002G220200	22
CTL	combined	SORBI_3002G221400	22
CTL	combined	SORBI_3002G221900	22
CTL	combined	SORBI_3005G148500	13
CTL	combined	SORBI_3005G149000	13
CTL	combined	SORBI_3009G092100	13
CTL	combined	SORBI_3010G140800	13
CTL	combined	SORBI_3005G110120	12
CTL	combined	SORBI_3005G110160	12
CTL	combined	SORBI_3005G110517	12
CTL	combined	SORBI_3005G110520	12
CTL	combined	SORBI_3005G110523	12
CTL	combined	SORBI_3005G110535	12
CTL	combined	SORBI_3005G110538	12
CTL	combined	SORBI_3005G110541	12
CTL	combined	SORBI_3005G110544	12
CTL	combined	SORBI_3005G110553	12
CTL	combined	SORBI_3001G206100	11
CTL	combined	SORBI_3001G318000	11
CTL	combined	SORBI_3001G318100	11
CTL	combined	SORBI_3001G320500	11
CTL	combined	SORBI_3002G148100	11
CTL	combined	SORBI_3002G148166	11
CTL	combined	SORBI_3002G148232	11
CTL	combined	SORBI_3004G134900	11
CTL	combined	SORBI_3005G208275	11
CTL	combined	SORBI_3006G044466	11
CTL	combined	SORBI_3006G044532	11
CTL	combined	SORBI_3006G044600	11
CTL	combined	SORBI_3006G049666	11
CTL	combined	SORBI_3007G111800	11
CTL	combined	SORBI_3007G111901	11
CTL	combined	SORBI_3007G112000	11
CTL	combined	SORBI_3007G112100	11
CTL	combined	SORBI_3007G112200	11
CTL	combined	SORBI_3008G105500	11
CTL	combined	SORBI_3008G105600	11
CTL	combined	SORBI_3008G105800	11
CTL	combined	SORBI_3008G105850	11
CTL	combined	SORBI_3008G105900	11
CTL	combined	SORBI_3008G106200	11
CTL	combined	SORBI_3008G106301	11
CTL	combined	SORBI_3008G106500	11
CTL	combined	SORBI_3008G106550	11
CTL	combined	SORBI_3001G152700	10
CTL	combined	SORBI_3001G222300	10
CTL	combined	SORBI_3001G222400	10
CTL	combined	SORBI_3001G222500	10
CTL	combined	SORBI_3001G222600	10
CTL	combined	SORBI_3001G222700	10
CTL	combined	SORBI_3001G222800	10
CTL	combined	SORBI_3001G222900	10
CTL	combined	SORBI_3001G223100	10
CTL	combined	SORBI_3001G223200	10
CTL	combined	SORBI_3001G223300	10
CTL	combined	SORBI_3001G223550	10
CTL	combined	SORBI_3001G224000	10
CTL	combined	SORBI_3001G224200	10
CTL	combined	SORBI_3001G225700	10
CTL	combined	SORBI_3001G254200	10
CTL	combined	SORBI_3002G039500	10
CTL	combined	SORBI_3002G039600	10
CTL	combined	SORBI_3002G039700	10
CTL	combined	SORBI_3002G039800	10
CTL	combined	SORBI_3002G039900	10
CTL	combined	SORBI_3002G041100	10
CTL	combined	SORBI_3002G041150	10
CTL	combined	SORBI_3002G041200	10
CTL	combined	SORBI_3002G041366	10
CTL	combined	SORBI_3002G041400	10
CTL	combined	SORBI_3002G041533	10
CTL	combined	SORBI_3002G041666	10
CTL	combined	SORBI_3002G041800	10
CTL	combined	SORBI_3002G041900	10
CTL	combined	SORBI_3002G042300	10
CTL	combined	SORBI_3002G042400	10
CTL	combined	SORBI_3002G042500	10
CTL	combined	SORBI_3002G042600	10
CTL	combined	SORBI_3002G042800	10
CTL	combined	SORBI_3002G043000	10
CTL	combined	SORBI_3002G043100	10
CTL	combined	SORBI_3002G043201	10
CTL	combined	SORBI_3002G043300	10
CTL	combined	SORBI_3002G043500	10
CTL	combined	SORBI_3002G043700	10
CTL	combined	SORBI_3002G043800	10
CTL	combined	SORBI_3002G044000	10
CTL	combined	SORBI_3002G044100	10
CTL	combined	SORBI_3002G044200	10
CTL	combined	SORBI_3002G044700	10
CTL	combined	SORBI_3002G044800	10
CTL	combined	SORBI_3002G150766	10
CTL	combined	SORBI_3004G130001	10
CTL	combined	SORBI_3005G086650	10
CTL	combined	SORBI_3005G152200	10
CTL	combined	SORBI_3005G152250	10
CTL	combined	SORBI_3006G039800	10
CTL	combined	SORBI_3006G039900	10
CTL	combined	SORBI_3006G040000	10
CTL	combined	SORBI_3006G040101	10
CTL	combined	SORBI_3006G044800	10
CTL	combined	SORBI_3006G048775	10
CTL	combined	SORBI_3006G049600	10
CTL	combined	SORBI_3006G049700	10
CTL	combined	SORBI_3006G049900	10
CTL	combined	SORBI_3006G050000	10
CTL	combined	SORBI_3006G050050	10
CTL	combined	SORBI_3007G070700	10
CTL	combined	SORBI_3007G070900	10
CTL	combined	SORBI_3007G071000	10
CTL	combined	SORBI_3007G071100	10
CTL	combined	SORBI_3007G071200	10
CTL	combined	SORBI_3007G071300	10
CTL	combined	SORBI_3007G071400	10
CTL	combined	SORBI_3007G071500	10
CTL	combined	SORBI_3007G071600	10
CTL	combined	SORBI_3007G071700	10
CTL	combined	SORBI_3007G071800	10
CTL	combined	SORBI_3007G112900	10
CTL	combined	SORBI_3007G113101	10
CTL	combined	SORBI_3007G113200	10
CTL	combined	SORBI_3008G131200	10
CTL	combined	SORBI_3008G131300	10
CTL	combined	SORBI_3008G131400	10
CTL	combined	SORBI_3008G131500	10
CTL	combined	SORBI_3008G131550	10
CTL	combined	SORBI_3008G131601	10
CTL	combined	SORBI_3008G131651	10
CTL	combined	SORBI_3008G131700	10
CTL	combined	SORBI_3008G131800	10
CTL	combined	SORBI_3008G131900	10
CTL	combined	SORBI_3008G132000	10
CTL	combined	SORBI_3008G132200	10
CTL	combined	SORBI_3008G132250	10
CTL	combined	SORBI_3008G132300	10
CTL	combined	SORBI_3008G132400	10
CTL	combined	SORBI_3008G132500	10
CTL	combined	SORBI_3008G132550	10
CTL	combined	SORBI_3008G132600	10
CTL	combined	SORBI_3008G132700	10
CTL	combined	SORBI_3008G132800	10
CTL	combined	SORBI_3008G132900	10
CTL	combined	SORBI_3008G133000	10
CTL	combined	SORBI_3008G133100	10
CTL	combined	SORBI_3008G133200	10
CTL	combined	SORBI_3009G110000	10
CTL	combined	SORBI_3009G111000	10
CTL	combined	SORBI_3009G111200	10
CTL	combined	SORBI_3009G111400	10
CTL	combined	SORBI_3001G254300	9
CTL	combined	SORBI_3001G254400	9
CTL	combined	SORBI_3001G254600	9
CTL	combined	SORBI_3001G254700	9
CTL	combined	SORBI_3001G259000	9
CTL	combined	SORBI_3001G259100	9
CTL	combined	SORBI_3001G259400	9
CTL	combined	SORBI_3001G259600	9
CTL	combined	SORBI_3001G354800	9
CTL	combined	SORBI_3001G355000	9
CTL	combined	SORBI_3001G356300	9
CTL	combined	SORBI_3001G356500	9
CTL	combined	SORBI_3001G356600	9
CTL	combined	SORBI_3001G357200	9
CTL	combined	SORBI_3001G357300	9
CTL	combined	SORBI_3001G357400	9
CTL	combined	SORBI_3001G357500	9
CTL	combined	SORBI_3001G357650	9
CTL	combined	SORBI_3001G357800	9
CTL	combined	SORBI_3001G357900	9
CTL	combined	SORBI_3004G134801	9
CTL	combined	SORBI_3004G137601	9
CTL	combined	SORBI_3005G109300	9
CTL	combined	SORBI_3005G110463	9
CTL	combined	SORBI_3005G114600	9
CTL	combined	SORBI_3005G114800	9
CTL	combined	SORBI_3005G115000	9
CTL	combined	SORBI_3006G042425	9
CTL	combined	SORBI_3006G042500	9
CTL	combined	SORBI_3006G042800	9
CTL	combined	SORBI_3006G042900	9
CTL	combined	SORBI_3006G043300	9
CTL	combined	SORBI_3006G043400	9
CTL	combined	SORBI_3006G048925	9
CTL	combined	SORBI_3006G049000	9
CTL	combined	SORBI_3006G049100	9
CTL	combined	SORBI_3006G049200	9
CTL	combined	SORBI_3006G049300	9
CTL	combined	SORBI_3006G049450	9
CTL	combined	SORBI_3006G049633	9
CTL	combined	SORBI_3006G278950	9
CTL	combined	SORBI_3007G090403	9
CTL	combined	SORBI_3007G090406	9
CTL	combined	SORBI_3007G090412	9
CTL	combined	SORBI_3007G090415	9
CTL	combined	SORBI_3007G090418	9
CTL	combined	SORBI_3007G090421	9
CTL	combined	SORBI_3007G090424	9
CTL	combined	SORBI_3007G101500	9
CTL	combined	SORBI_3007G101600	9
CTL	combined	SORBI_3008G095400	9
CTL	combined	SORBI_3008G095500	9
CTL	combined	SORBI_3008G095633	9
CTL	combined	SORBI_3008G095766	9
CTL	combined	SORBI_3008G095900	9
CTL	combined	SORBI_3008G096050	9
CTL	combined	SORBI_3008G096100	9
CTL	combined	SORBI_3008G096150	9
CTL	combined	SORBI_3008G096200	9
CTL	combined	SORBI_3008G096300	9
CTL	combined	SORBI_3001G222000	8
CTL	combined	SORBI_3001G222200	8
CTL	combined	SORBI_3002G147500	8
CTL	combined	SORBI_3004G137900	8
CTL	combined	SORBI_3005G082950	8
CTL	combined	SORBI_3006G040201	8
CTL	combined	SORBI_3006G046700	8
CTL	combined	SORBI_3006G046900	8
CTL	combined	SORBI_3006G047100	8
CTL	combined	SORBI_3006G047200	8
CTL	combined	SORBI_3006G047300	8
CTL	combined	SORBI_3006G047400	8
CTL	combined	SORBI_3006G080300	8
CTL	combined	SORBI_3006G248100	8
CTL	combined	SORBI_3006G277550	8
CTL	combined	SORBI_3006G277700	8
CTL	combined	SORBI_3006G277900	8
CTL	combined	SORBI_3006G278100	8
CTL	combined	SORBI_3006G278300	8
CTL	combined	SORBI_3006G278400	8
CTL	combined	SORBI_3006G278500	8
CTL	combined	SORBI_3006G278600	8
CTL	combined	SORBI_3006G279100	8
CTL	combined	SORBI_3006G279400	8
CTL	combined	SORBI_3006G280250	8
CTL	combined	SORBI_3007G099133	8
CTL	combined	SORBI_3007G110400	8
CTL	combined	SORBI_3007G110500	8
CTL	combined	SORBI_3007G110700	8
CTL	combined	SORBI_3008G061201	8
CTL	combined	SORBI_3008G061300	8
CTL	combined	SORBI_3008G061701	8
CTL	combined	SORBI_3008G061801	8
CTL	combined	SORBI_3008G061900	8
CTL	combined	SORBI_3008G062000	8
CTL	combined	SORBI_3008G062200	8
CTL	combined	SORBI_3008G062300	8
CTL	combined	SORBI_3008G062400	8
CTL	combined	SORBI_3008G062500	8
CTL	combined	SORBI_3008G062700	8
CTL	combined	SORBI_3008G062800	8
CTL	combined	SORBI_3008G090200	8
CTL	combined	SORBI_3008G095100	8
CTL	combined	SORBI_3008G095150	8
CTL	combined	SORBI_3008G095200	8
CTL	combined	SORBI_3009G095480	8
CTL	combined	SORBI_3009G095560	8
CTL	combined	SORBI_3001G224300	7
CTL	combined	SORBI_3002G150866	7
CTL	combined	SORBI_3006G032400	7
CTL	combined	SORBI_3006G032500	7
CTL	combined	SORBI_3006G032600	7
CTL	combined	SORBI_3006G032700	7
CTL	combined	SORBI_3006G032800	7
CTL	combined	SORBI_3006G032900	7
CTL	combined	SORBI_3006G033001	7
CTL	combined	SORBI_3006G208800	7
CTL	combined	SORBI_3006G209200	7
CTL	combined	SORBI_3006G209300	7
CTL	combined	SORBI_3006G209400	7
CTL	combined	SORBI_3006G209500	7
CTL	combined	SORBI_3006G209600	7
CTL	combined	SORBI_3006G209700	7
CTL	combined	SORBI_3006G209850	7
CTL	combined	SORBI_3006G210000	7
CTL	combined	SORBI_3006G210200	7
CTL	combined	SORBI_3006G210233	7
CTL	combined	SORBI_3006G210400	7
CTL	combined	SORBI_3006G210500	7
CTL	combined	SORBI_3006G210600	7
CTL	combined	SORBI_3006G210700	7
CTL	combined	SORBI_3006G211500	7
CTL	combined	SORBI_3006G276300	7
CTL	combined	SORBI_3007G103000	7
CTL	combined	SORBI_3007G103100	7
CTL	combined	SORBI_3007G103300	7
CTL	combined	SORBI_3007G103350	7
CTL	combined	SORBI_3007G141420	7
CTL	combined	SORBI_3008G080900	7
CTL	combined	SORBI_3008G081000	7
CTL	combined	SORBI_3008G081100	7
CTL	combined	SORBI_3008G081150	7
CTL	combined	SORBI_3008G081200	7
