Analysis	BaseAnalysis	Condition	LayerGroup	Target_upper_fraction	Recurrence_cutoff	N_selected	N_total	Actual_fraction_selected
CTL_individual__20pct__recurrent	CTL_individual	CTL	individual	0.2	8	244	1100	0.22181818181818183
CTL_individual__10pct__recurrent	CTL_individual	CTL	individual	0.1	10	138	1100	0.12545454545454546
CTL_individual__5pct__recurrent	CTL_individual	CTL	individual	0.05	10	138	1100	0.12545454545454546
CTL_sum_ratio__20pct__recurrent	CTL_sum_ratio	CTL	sum_ratio	0.2	34	29	115	0.25217391304347825
CTL_sum_ratio__10pct__recurrent	CTL_sum_ratio	CTL	sum_ratio	0.1	34	29	115	0.25217391304347825
CTL_sum_ratio__5pct__recurrent	CTL_sum_ratio	CTL	sum_ratio	0.05	56	7	115	0.06086956521739131
CTL_combined__20pct__recurrent	CTL_combined	CTL	combined	0.2	9	246	1165	0.2111587982832618
CTL_combined__10pct__recurrent	CTL_combined	CTL	combined	0.1	10	186	1165	0.15965665236051502
CTL_combined__5pct__recurrent	CTL_combined	CTL	combined	0.05	11	81	1165	0.06952789699570816
LIN_individual__20pct__recurrent	LIN_individual	LIN	individual	0.2	2	1451	4323	0.33564654175341196
LIN_individual__10pct__recurrent	LIN_individual	LIN	individual	0.1	3	600	4323	0.13879250520471895
LIN_individual__5pct__recurrent	LIN_individual	LIN	individual	0.05	3	600	4323	0.13879250520471895
LIN_sum_ratio__20pct__recurrent	LIN_sum_ratio	LIN	sum_ratio	0.2	3	209	812	0.25738916256157635
LIN_sum_ratio__10pct__recurrent	LIN_sum_ratio	LIN	sum_ratio	0.1	11	86	812	0.10591133004926108
LIN_sum_ratio__5pct__recurrent	LIN_sum_ratio	LIN	sum_ratio	0.05	19	42	812	0.05172413793103448
LIN_combined__20pct__recurrent	LIN_combined	LIN	combined	0.2	3	929	4323	0.2148970622253065
LIN_combined__10pct__recurrent	LIN_combined	LIN	combined	0.1	4	498	4323	0.11519777931991672
LIN_combined__5pct__recurrent	LIN_combined	LIN	combined	0.05	6	233	4323	0.053897756187832525
