Analysis	source	term_id	term_name	FDR	Fold_Enrichment	query	significant	p_value	term_size	query_size	intersection_size	precision	recall	effective_domain_size	source_order	parents	evidence_codes	intersection
CTL_individual__20pct__recurrent	GO:BP	GO:0002181	cytoplasmic translation	3.5673015758347645e-5	6.19173237049591	query_1	TRUE	3.5673015758347645e-5	331	123	14	0.11382113821138211	0.04229607250755287	18006	709		IBA IEA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA IEA,IBA,IBA	SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3008G095500,SORBI_3008G131800,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0006412	translation	8.752189310816717e-5	3.4580372575379297	query_1	TRUE	8.752189310816717e-5	889	123	21	0.17073170731707318	0.023622047244094488	18006	2062		IEA,IBA,IBA IEA,IBA IEA,IEA,IBA,IBA,IBA,IBA,IBA,IBA IEA,IEA,IBA,IBA,IBA,IEA,IEA,IBA IEA,IBA IEA,IBA,IBA	SORBI_3001G225700,SORBI_3001G259000,SORBI_3002G042500,SORBI_3002G044000,SORBI_3002G148166,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G047400,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G071300,SORBI_3007G110500,SORBI_3008G095500,SORBI_3008G131800,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0160307	protein biosynthetic process	8.752189310816717e-5	3.4580372575379297	query_1	TRUE	8.752189310816717e-5	889	123	21	0.17073170731707318	0.023622047244094488	18006	19039		IEA,IBA,IBA IEA,IBA IEA,IEA,IBA,IBA,IBA,IBA,IBA,IBA IEA,IEA,IBA,IBA,IBA,IEA,IEA,IBA IEA,IBA IEA,IBA,IBA	SORBI_3001G225700,SORBI_3001G259000,SORBI_3002G042500,SORBI_3002G044000,SORBI_3002G148166,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G047400,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G071300,SORBI_3007G110500,SORBI_3008G095500,SORBI_3008G131800,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0045727	positive regulation of translation	8.752189310816717e-5	6.970963995354239	query_1	TRUE	8.752189310816717e-5	231	123	11	0.08943089430894309	0.047619047619047616	18006	10800		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0010628	positive regulation of gene expression	1.656889812658508e-4	6.314873266379722	query_1	TRUE	1.656889812658508e-4	255	123	11	0.08943089430894309	0.043137254901960784	18006	4087		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:2000765	regulation of cytoplasmic translation	1.9371274269178854e-4	6.7773261065943995	query_1	TRUE	1.9371274269178854e-4	216	123	10	0.08130081300813008	0.046296296296296294	18006	24121		IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:2000767	positive regulation of cytoplasmic translation	1.9371274269178854e-4	6.7773261065943995	query_1	TRUE	1.9371274269178854e-4	216	123	10	0.08130081300813008	0.046296296296296294	18006	24123		IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0006417	regulation of translation	2.654817897613693e-4	5.181955536369522	query_1	TRUE	2.654817897613693e-4	339	123	12	0.0975609756097561	0.035398230088495575	18006	2066		IEA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0051246	regulation of protein metabolic process	4.986984953545244e-4	4.123668842322226	query_1	TRUE	4.986984953545244e-4	497	123	14	0.11382113821138211	0.028169014084507043	18006	12695		IEA,IBA,IEA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3001G222300,SORBI_3001G254200,SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0051247	positive regulation of protein metabolic process	0.0011736533596567672	4.778316566548455	query_1	TRUE	0.0011736533596567672	337	123	11	0.08943089430894309	0.032640949554896145	18006	12696		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
CTL_individual__20pct__recurrent	GO:BP	GO:0010608	post-transcriptional regulation of gene expression	0.0014328514243455647	4.243195475433016	query_1	TRUE	0.0014328514243455647	414	123	12	0.0975609756097561	0.028985507246376812	18006	4069		IEA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA	SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G040201,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3009G095480,SORBI_3009G095560
