Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Class sums and ratios	CTL	PA	regulation of DNA-templated transcription	GO:0006355	4	1464	2	5.51	0.00812	0.00462	SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014200;SORBI_3005G014800
BP	Class sums and ratios	CTL	PS	regulation of DNA-templated transcription	GO:0006355	2	1464	1	1.02	0.593	0.278	SORBI_3005G014200;SORBI_3005G014800
BP	Class sums and ratios	LIN	AEG	lipid biosynthetic process	GO:0008610	3	60	1	26.55	0.00182	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	AEG	cellular response to phosphate starvation	GO:0016036	2	21	1	50.58	0.00257	0.00889	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	AEG	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	2.4	0.317	0.131	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	DG	cellular response to phosphate starvation	GO:0016036	2	21	1	45.76	0.0026	0.00494	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	DG	lipid biosynthetic process	GO:0008610	3	60	1	24.02	0.00182	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	DG	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	2.17	0.33	0.131	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	DGDG	cellular response to phosphate starvation	GO:0016036	2	21	1	45.76	0.0026	0.00494	SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	DGDG	lipid biosynthetic process	GO:0008610	3	60	1	24.02	0.00182	0.00494	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	DGDG	regulation of transcription by RNA polymerase II	GO:0006357	2	442	2	2.17	0.33	0.133	SORBI_3003G407200;SORBI_3004G006600
BP	Class sums and ratios	LIN	FA	transmembrane transport	GO:0055085	18	865	8	1.84	0.0206	0.00494	SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G403700;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G185800;SORBI_3003G086300;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3006G184400;SORBI_3006G219300
BP	Class sums and ratios	LIN	FA	GDP-mannose biosynthetic process	GO:0009298	2	7	2	25.29	0.00657	0.00624	SORBI_3003G087900;SORBI_3003G355200
BP	Class sums and ratios	LIN	FA	response to aluminum ion	GO:0010044	2	9	2	19.67	0.0103	0.00687	SORBI_3004G029900;SORBI_3010G214900
BP	Class sums and ratios	LIN	FA	nucleotide transmembrane transport	GO:1901679	2	3	1	59.01	0.00217	0.00704	SORBI_3001G100800;SORBI_3001G101100
BP	Class sums and ratios	LIN	FA	nucleotide transport	GO:0006862	2	8	1	22.13	0.00839	0.00751	SORBI_3001G100800;SORBI_3001G101100
BP	Class sums and ratios	LIN	FA	cellular response to phosphate starvation	GO:0016036	3	21	3	12.64	0.00432	0.00994	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900
BP	Class sums and ratios	LIN	FA	purine nucleobase transport	GO:0006863	3	14	1	18.97	0.00217	0.0101	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	FA	purine nucleoside transmembrane transport	GO:0015860	3	15	1	17.7	0.00251	0.0101	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	FA	rRNA methylation	GO:0031167	2	10	2	17.7	0.0124	0.0101	SORBI_3001G033000;SORBI_3004G061800
BP	Class sums and ratios	LIN	FA	purine nucleobase transmembrane transport	GO:1904823	3	17	1	15.62	0.0026	0.0101	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
BP	Class sums and ratios	LIN	FA	positive regulation of DNA-templated transcription	GO:0045893	4	112	4	3.16	0.0756	0.0205	SORBI_3001G101700;SORBI_3003G406600;SORBI_3004G062100;SORBI_3006G190800
BP	Class sums and ratios	LIN	FA	nitrate transmembrane transport	GO:0015706	2	12	1	14.75	0.0173	0.0303	SORBI_3004G009400;SORBI_3004G009500
BP	Class sums and ratios	LIN	FA	defense response to oomycetes	GO:0002229	2	29	2	6.1	0.081	0.0314	SORBI_3001G032400;SORBI_3006G190000
BP	Class sums and ratios	LIN	FA	lipid biosynthetic process	GO:0008610	3	60	1	4.43	0.0617	0.0394	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
BP	Class sums and ratios	LIN	FA	glycoprotein biosynthetic process	GO:0009101	4	100	3	3.54	0.0561	0.0469	SORBI_3002G210300;SORBI_3002G210401;SORBI_3003G355200;SORBI_3003G410800
BP	Class sums and ratios	LIN	FA	calcium ion transmembrane transport	GO:0070588	2	41	2	4.32	0.138	0.0599	SORBI_3001G103300;SORBI_3004G061400
BP	Class sums and ratios	LIN	FA	regulation of intracellular signal transduction	GO:1902531	2	44	2	4.02	0.152	0.0601	SORBI_3004G096300;SORBI_3006G192200
BP	Class sums and ratios	LIN	FA	plant-type cell wall organization	GO:0009664	2	49	2	3.61	0.178	0.0681	SORBI_3004G007600;SORBI_3006G191700
BP	Class sums and ratios	LIN	FA	xylan biosynthetic process	GO:0045492	3	70	2	3.79	0.0824	0.074	SORBI_3001G406700;SORBI_3002G187100;SORBI_3002G187200
BP	Class sums and ratios	LIN	FA	positive regulation of cytoplasmic translation	GO:2000767	2	213	1	0.83	0.751	0.0772	SORBI_3005G119950;SORBI_3005G120301
BP	Class sums and ratios	LIN	FA	monoatomic ion transmembrane transport	GO:0034220	2	54	1	3.28	0.204	0.128	SORBI_3002G208900;SORBI_3002G209000
BP	Class sums and ratios	LIN	FA	carbohydrate metabolic process	GO:0005975	7	466	6	1.33	0.373	0.129	SORBI_3001G026800;SORBI_3001G099100;SORBI_3003G087900;SORBI_3004G004800;SORBI_3004G028700;SORBI_3004G029400;SORBI_3004G062000
BP	Class sums and ratios	LIN	FA	chromatin organization	GO:0006325	2	75	2	2.36	0.319	0.131	SORBI_3002G210200;SORBI_3003G408800
BP	Class sums and ratios	LIN	FA	rRNA processing	GO:0006364	2	77	2	2.3	0.324	0.166	SORBI_3001G104300;SORBI_3004G061800
BP	Class sums and ratios	LIN	FA	negative regulation of DNA-templated transcription	GO:0045892	2	85	2	2.08	0.344	0.176	SORBI_3003G086600;SORBI_3004G341700
BP	Class sums and ratios	LIN	FA	positive regulation of transcription by RNA polymerase II	GO:0045944	2	113	2	1.57	0.457	0.227	SORBI_3003G406800;SORBI_3004G009600
BP	Class sums and ratios	LIN	FA	response to auxin	GO:0009733	2	116	2	1.53	0.457	0.253	SORBI_3001G489500;SORBI_3003G409000
