trial,Class,n_species,n,Vu,Ve,h2,status
CTL,DG,17,389,3.83741459151736e-12,0.003836980145165333,0,ok
CTL,DGDG,7,389,6.3722621677259605e-12,0.006371518869021723,0,ok
CTL,LPC,2,389,2.201070307620742e-11,0.022005966534540417,0,ok
CTL,LPE,1,389,2.1190900834169758e-11,0.021189122737790392,0,ok
CTL,MG,8,389,5.937448228336284e-12,0.00593460478570024,0,ok
CTL,MGDG,5,389,3.5578903125173297e-12,0.003556037516709616,0,ok
CTL,PA,1,389,0.030310725069175058,0.024315708692650408,0.554872851508697,ok
CTL,PC,39,389,1.667634815592966e-11,0.0166725473429845,0,ok
CTL,PE,15,389,1.2080886359358133e-11,0.012077984510958912,0,ok
CTL,PG,3,389,1.0433503133795106e-11,0.010432050044142337,0,ok
CTL,PS,2,389,8.39531254610779e-4,0.04926755601486292,0.016754740703561893,ok
CTL,SQDG,11,389,1.0707384022788215e-11,0.010705175178709031,0,ok
CTL,TG,71,389,0.004123780709724873,0.013647325114137522,0.23204975259263888,ok
LIN,DG,16,357,1.307245419144047e-4,0.0038540954723079142,0.03280563273819961,ok
LIN,DGDG,7,357,3.5895687453667345e-4,0.005129922367256981,0.06539711637368316,ok
LIN,LPC,3,357,0.0014555457164931714,0.019056450209532644,0.07096070620052927,ok
LIN,LPE,1,357,3.5308694473100454e-4,0.016473554549007955,0.020983803860228734,ok
LIN,MG,5,357,6.014121206588612e-4,0.00391021751340492,0.13330263550848,ok
LIN,MGDG,5,357,7.231030002678094e-4,0.004797910845690833,0.13097286484748044,ok
LIN,PA,2,357,9.085364009204876e-11,0.09083570918738036,0,ok
LIN,PC,38,357,0.0018296981639659745,0.016368670935117346,0.10054187570347385,ok
LIN,PE,15,357,0.0017178689867771027,0.011234665473580227,0.13262801902089752,ok
LIN,PG,3,357,0.0010787901067818228,0.007412960087809445,0.12703978356180884,ok
LIN,PS,1,357,0.010130377070737035,0.016392306876399365,0.3819514303653568,ok
LIN,SQDG,10,357,0.0015149600189240623,0.0072960704185463495,0.17193902911530484,ok
LIN,TG,69,357,0.002836025505182622,0.0104310276988462,0.21376453848254734,ok
