Condition,FeatureType,Lipid,BroadClass,Class,n_genotypes,n_markers,Vu,Ve,h2,model_status
CTL,Individual lipid,(-)-Caryophyllene oxide,Terpenoid,Terpenoid,351,65486,2.5374786187463974e-10,0.2536771874447064,1.0002785988634875e-9,ok
CTL,Individual lipid,"(2E,4E,12Z)-N-(2-methylpropyl)octadeca-2,4,12-trienamide",Fatty acid amide,Fatty acid amide,351,65486,0.03313323865886618,0.22721509057507686,0.12726503279801504,ok
CTL,Individual lipid,"(2Z)-2-[(E)-6-(hydroxymethyl)-2,4,8,10-tetramethyldodec-2-enylidene]-4-methylpentanedioic acid",Prenol,Prenol,351,65486,0.010323490914240157,0.12488608836734223,0.07635177159112996,ok
CTL,Individual lipid,"(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",NA,Other annotated,351,65486,8.192422982872402e-11,0.08184908511834973,1.0009180875786966e-9,ok
CTL,Individual lipid,.alpha.-Ionone,Terpenoid,Terpenoid,351,65486,1.4191365130213852e-10,0.14189868784466603,1.0001054506970512e-9,ok
CTL,Individual lipid,.beta.-Cryptoxanthin,Terpenoid,Terpenoid,351,65486,3.874101736133637e-11,0.03873766662412092,1.0000864971683398e-9,ok
CTL,Individual lipid,.gamma.-Linolenoyl ethanolamide,N-acylethanolamine,N-acylethanolamine,351,65486,1.9876780524272516e-10,0.19796349473079622,1.0040629223759023e-9,ok
CTL,Individual lipid,"1,2-Benzenedicarboxylic acid",NA,Other annotated,351,65486,4.7766614077298416e-11,0.04776223820780979,1.0000916167642438e-9,ok
CTL,Individual lipid,"1,2-Dierucoyl-sn-glycero-3-phosphocholine",Glycerophospholipid,Other glycerophospholipid,351,65486,1.9641033915470975e-10,0.19639493821222465,1.0000784172250038e-9,ok
CTL,Individual lipid,"1,2-Dihexadecanoyl-sn-glycero-3-phosphocholine",NA,Other annotated,351,65486,1.9972709683686408e-10,0.19971007579955022,1.0000852277357644e-9,ok
CTL,Individual lipid,"1,2-Dilauroyl-sn-glycero-3-phosphoethanolamine",NA,Other annotated,351,65486,6.85656913235618e-11,0.06854950095656397,1.0002361840449605e-9,ok
CTL,Individual lipid,"1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine",Glycerophospholipid,Other glycerophospholipid,351,65486,6.122727164996051e-11,0.061218700755635874,1.000140003511721e-9,ok
CTL,Individual lipid,"1,2-Dioleoyl-sn-glycerol",Glycerolipid,Other glycerolipid,351,65486,1.671304758122451e-4,0.03985288164387856,0.004176172543686285,ok
CTL,Individual lipid,"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine",Glycerophospholipid,Other glycerophospholipid,351,65486,4.424383062948516e-10,0.44233809900002735,1.000226539049004e-9,ok
