trial,Class,n_species,n,h2,lo,hi,ll_gain,nonzero
CTL,DG,13,389,0,0,0.10300000000000001,0,FALSE
CTL,DGDG,7,389,0,0,0.078,0,FALSE
CTL,LPC,2,389,0,0,0.169,0,FALSE
CTL,LPE,1,389,0,0,0.137,0,FALSE
CTL,MG,5,389,0,0,0.20600000000000002,0,FALSE
CTL,MGDG,5,389,0,0,0.14100000000000001,0,FALSE
CTL,PA,1,389,0.555,0.252,0.893,9.941610962651566,TRUE
CTL,PC,31,389,0,0,0.125,0,FALSE
CTL,PE,12,389,0,0,0.164,0,FALSE
CTL,PG,2,389,0,0,0.136,0,FALSE
CTL,PS,1,389,0,0,0.246,0,FALSE
CTL,SQDG,10,389,0,0,0.084,0,FALSE
CTL,TG,49,389,0.23800000000000002,0.011,0.581,2.1824112388395633,TRUE
LIN,DG,13,357,0.033,0,0.304,0.07698640384285227,FALSE
LIN,DGDG,7,357,0.065,0,0.331,0.344709872965268,FALSE
LIN,LPC,2,357,0.037,0,0.302,0.09010369127963713,FALSE
LIN,LPE,1,357,0.021,0,0.313,0.021423598525871057,FALSE
LIN,MG,5,357,0.133,0,0.45,0.8249247903262358,FALSE
LIN,MGDG,5,357,0.131,0,0.437,0.9595148589488645,FALSE
LIN,PA,1,357,0,0,0.125,0,FALSE
LIN,PC,31,357,0.10400000000000001,0,0.46,0.34796129671747167,FALSE
LIN,PE,12,357,0.133,0,0.451,0.9994396023166701,FALSE
LIN,PG,2,357,0.116,0,0.41300000000000003,0.6976764309662258,FALSE
LIN,PS,1,357,0.382,0.167,0.657,12.213587589026133,TRUE
LIN,SQDG,10,357,0.17200000000000001,0,0.505,0.8744833226842275,FALSE
LIN,TG,49,357,0.203,0.016,0.515,2.5374502878373733,TRUE
