trial,Class,n_species,median_h2,n_h2_nonzero,n_survives_structure,n_sig_cluster,n_sig_race
CTL,TG,44,0.041,10,11,0,0
CTL,PA,1,0.554,1,1,0,0
CTL,FA,1,0.112,0,0,0,0
CTL,NA,2,0.075,0,0,0,0
CTL,AEG,7,0,0,0,0,0
CTL,DG,12,0,0,0,0,0
CTL,DGDG,7,0,0,0,0,0
CTL,MG,5,0,0,0,0,0
CTL,MGDG,5,0,0,0,0,0
CTL,SQDG,10,0,0,0,0,0
CTL,LPC,2,0,0,0,0,0
CTL,LPE,1,0,0,0,0,0
CTL,PC,31,0,0,0,0,0
CTL,PE,12,0,0,0,0,0
CTL,PG,2,0,0,0,0,0
CTL,PS,1,0,0,0,0,0
CTL,Cer,1,0,0,0,0,0
CTL,GalCer,2,0,0,0,0,0
LIN,TG,44,0.208,18,21,0,0
LIN,SQDG,10,0.341,6,5,0,0
LIN,PC,31,0.114,6,7,1,0
LIN,MGDG,5,0.456,4,4,0,0
LIN,DGDG,7,0.202,4,2,0,0
LIN,PE,12,0.134,2,0,0,0
LIN,AEG,7,0.114,2,0,1,0
LIN,FA,1,0.404,1,1,0,0
LIN,PS,1,0.382,1,1,1,0
LIN,PG,2,0.148,1,0,0,0
LIN,LPC,2,0.113,0,0,0,0
LIN,NA,2,0.11,0,0,0,0
LIN,MG,5,0.098,0,0,0,0
LIN,DG,12,0.066,0,2,0,0
LIN,GalCer,2,0.065,0,0,0,0
LIN,LPE,1,0.02,0,0,0,0
LIN,Cer,1,0.016,0,0,0,0
LIN,PA,1,0,0,0,0,0
