Condition,Lipid,BroadClass,Ambiguous,Scan,ProfileCorrelation,MappingStatus
CTL,.alpha.-Amyrin,NA,FALSE,39650,0.903225193890711,excluded_low_confidence
CTL,.alpha.-Ionone,Terpenoid,TRUE,10000,0.9999999999999991,retained_high_confidence
CTL,.beta.-Amyrin,Terpenoid,TRUE,39650,0.880053297293294,excluded_low_confidence
CTL,.beta.-Cryptoxanthin,Terpenoid,FALSE,29401,0.954310049904941,retained_high_confidence
CTL,.beta.-Sitosterol,Sterol,FALSE,38484,0.8319580803155079,excluded_low_confidence
CTL,.gamma.-Linolenoyl ethanolamide,N-acylethanolamine,TRUE,4825,0.9999999999999999,retained_high_confidence
CTL,(-)-Caryophyllene oxide,Terpenoid,FALSE,11753,1.0000000000000002,retained_high_confidence
CTL,alpha-Tocopherol,Vitamin,FALSE,21755,0.9464605196646737,excluded_low_confidence
CTL,(+)-Pseudoephedrine,NA,TRUE,3775,0.9982647872881045,retained_high_confidence
CTL,"(2E,4E,12Z)-N-(2-methylpropyl)octadeca-2,4,12-trienamide",Fatty acid amide,FALSE,10581,0.9999999999999991,retained_high_confidence
CTL,"(2Z)-2-[(E)-6-(hydroxymethyl)-2,4,8,10-tetramethyldodec-2-enylidene]-4-methylpentanedioic acid",Prenol,FALSE,6495,0.9999999999999999,retained_high_confidence
CTL,"(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",NA,FALSE,12459,1.0000000000000002,retained_high_confidence
CTL,"[(2R)-2-ethylhexyl] 2-cyano-3,3-diphenylprop-2-enoate",NA,FALSE,7509,0.9999986052038952,retained_high_confidence
CTL,"[2,3-di(heptadecanoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate",Glycerophospholipid,TRUE,26988,1.0000000000000002,retained_high_confidence
CTL,"[2,3-dihydroxypropoxy][3-(hexadecanoyloxy)-2-[octadec-9-enoyloxy]propoxy]phosphinic acid",NA,FALSE,18402,0.9999999999999999,retained_high_confidence
CTL,"1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one",NA,FALSE,3719,0.9999839662251465,retained_high_confidence
CTL,1-(1Z-Octadecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,Glycerophospholipid,TRUE,27295,0.9540098992626238,retained_high_confidence
CTL,1-(hexadecanoyloxy)-3-hydroxypropan-2-yl-octadec-9-enoate,Glycerolipid,TRUE,28209,1.0000000000000002,retained_high_confidence
CTL,1-Arachidonoylglycerol,Glycerolipid,TRUE,7035,0.9999999999999997,retained_high_confidence
CTL,1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,Glycerophospholipid,TRUE,10453,0.9999234481907655,retained_high_confidence
CTL,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine,Glycerophospholipid,TRUE,23662,0.9966288501128108,retained_high_confidence
CTL,1-Hexadecanoyl-sn-glycero-3-phosphocholine,Glycerophospholipid,TRUE,8318,0.9999999999999999,retained_high_confidence
