Condition,FeatureType,Lipid,Class,n_field_entries,n_genotypes,SpATS_genotype_reliability,model_status
CTL,Lipid class sum,NA,AEG,394,394,0.4946389331236828,ok
CTL,Lipid class sum,NA,Cer,394,394,0.49003850696746526,ok
CTL,Lipid class sum,NA,DG,394,394,0.4905035286277677,ok
CTL,Lipid class sum,NA,DGDG,394,394,0.4942891050976597,ok
CTL,Lipid class sum,NA,FA,394,394,0.49594596957518894,ok
CTL,Lipid class sum,NA,Fatty acid,394,394,0.49080893506832485,ok
CTL,Lipid class sum,NA,GalCer,394,394,0.4931115031622766,ok
CTL,Lipid class sum,NA,Glycerolipid,394,394,0.49332972689962495,ok
CTL,Lipid class sum,NA,Glycerophospholipid,394,394,0.4974362159463781,ok
CTL,Lipid class sum,NA,LPC,394,394,0.4943407569723103,ok
CTL,Lipid class sum,NA,LPE,394,394,0.4960881264184036,ok
CTL,Lipid class sum,NA,MG,394,394,0.4895860404483159,ok
CTL,Lipid class sum,NA,MGDG,394,394,0.4932328953093848,ok
CTL,Lipid class sum,NA,PA,394,394,0.4973139670933797,ok
CTL,Lipid class sum,NA,PC,394,394,0.49289620265775075,ok
CTL,Lipid class sum,NA,PE,394,394,0.49321615735942814,ok
CTL,Lipid class sum,NA,PG,394,394,0.4936013226177635,ok
CTL,Lipid class sum,NA,PS,394,394,0.4907542890263873,ok
CTL,Lipid class sum,NA,Prenol,394,394,0.4950572949689571,ok
CTL,Lipid class sum,NA,SM,394,394,0.49430284965686055,ok
CTL,Lipid class sum,NA,SQDG,394,394,0.49451648805362647,ok
CTL,Lipid class sum,NA,Sphingolipid,394,394,0.4990347838808207,ok
CTL,Lipid class sum,NA,Sterol,394,394,0.49424032686928737,ok
CTL,Lipid class sum,NA,TG,394,394,0.4965603284171803,ok
CTL,Lipid class sum,NA,Terpenoid,394,394,0.49117207705338223,ok
LIN,Lipid class sum,NA,AEG,363,363,0.49999950879349364,ok
LIN,Lipid class sum,NA,Cer,363,363,0.4999981751664079,ok
LIN,Lipid class sum,NA,DG,363,363,0.498518616032887,ok
LIN,Lipid class sum,NA,DGDG,363,363,0.49758873651298585,ok
LIN,Lipid class sum,NA,DGTS,363,363,0.4968131560636606,ok
LIN,Lipid class sum,NA,FA,363,363,0.49999906887409284,ok
LIN,Lipid class sum,NA,Fatty acid,363,363,0.49465164093537417,ok
LIN,Lipid class sum,NA,GalCer,363,363,0.49563552078255924,ok
LIN,Lipid class sum,NA,Glycerolipid,363,363,0.4986582685772201,ok
LIN,Lipid class sum,NA,Glycerophospholipid,363,363,0.4999717684677432,ok
LIN,Lipid class sum,NA,LPC,363,363,0.4982320197115428,ok
LIN,Lipid class sum,NA,LPE,363,363,0.4970755378147485,ok
LIN,Lipid class sum,NA,MG,363,363,0.49992939128866776,ok
LIN,Lipid class sum,NA,MGDG,363,363,0.49990198165999294,ok
LIN,Lipid class sum,NA,PA,363,363,0.49999967007926027,ok
LIN,Lipid class sum,NA,PC,363,363,0.49999791561524426,ok
LIN,Lipid class sum,NA,PE,363,363,0.49999797502708726,ok
LIN,Lipid class sum,NA,PG,363,363,0.49999730272506676,ok
LIN,Lipid class sum,NA,PS,363,363,0.49708155883726035,ok
LIN,Lipid class sum,NA,Prenol,363,363,0.4999999413161218,ok
LIN,Lipid class sum,NA,SM,363,363,0.49823966879669834,ok
LIN,Lipid class sum,NA,SQDG,363,363,0.4999912460673729,ok
LIN,Lipid class sum,NA,Sphingolipid,363,363,0.4986084902125018,ok
LIN,Lipid class sum,NA,Sterol,363,363,0.49996940331772377,ok
LIN,Lipid class sum,NA,TG,363,363,0.499993343531589,ok
LIN,Lipid class sum,NA,Terpenoid,363,363,0.4936112599288903,ok
