Condition,Class,N_species,n,h2,CI_lo,CI_hi,h2_lme4,lo_lme4,hi_lme4,sigma2_G,sigma2_E,NonZero
CTL,DGDG,7,389,0,0,0.08,0,0,0.08024194335937501,0,0.004918799140715933,FALSE
CTL,MGDG,5,389,0,0,0.125,0,0,0.125606689453125,0,0.0030221311302150214,FALSE
CTL,SQDG,11,389,0,0,0.095,0,0,0.09536352539062501,0,0.008537138590003995,FALSE
CTL,GalCer,3,389,0,0,0.11,0,0,0.110485107421875,0,0.007141152587354036,FALSE
CTL,LPC,2,389,0,0,0.20400000000000001,0,0,0.20462915039062501,0,0.014747880954211243,FALSE
CTL,LPE,1,389,0,0,0.271,0,0,0.27145678710937504,0,0.01713578086367213,FALSE
CTL,Cer,2,389,0,0,0.107,0,0,0.10755834960937499,0,0.0326665184286859,FALSE
CTL,AEG,7,389,0,0,0.09,0,0,0.090485595703125,0,0.00698409923206237,FALSE
CTL,FA,1,389,0.07,0,0.41600000000000004,0.07024131069303177,0,0.41693858509497383,0.0019048874546337448,0.025214302603741936,FALSE
CTL,TG,67,389,0.062,0,0.438,0.06221939670404493,0,0.4384410989554721,9.503396999461679e-4,0.01432367050086932,FALSE
CTL,DG,16,389,0,0,0.10400000000000001,0,0,0.10511938476562499,0,0.0032601771978985256,FALSE
CTL,MG,8,389,0,0,0.18,0,0,0.180727294921875,0,0.004216466937643943,FALSE
CTL,PC,38,389,0,0,0.09,0,0,0.090485595703125,0,0.010734717236393332,FALSE
CTL,PE,14,389,0,0,0.081,0,0,0.08121752929687501,0,0.008075848238033666,FALSE
CTL,PG,3,389,0,0,0.098,0,0,0.098290283203125,0,0.007365345253149723,FALSE
CTL,PA,1,389,0.28,0.021,0.633,0.28014182820764966,0.020381412306122948,0.6337793321533494,0.015189840899236053,0.03903212586817178,TRUE
CTL,PS,2,389,0,0,0.065,0,0,0.06512036132812499,0,0.04362686319011837,FALSE
LIN,DGDG,7,357,0.044,0,0.252,0.04389498905759838,0,0.25259103026693663,1.939284744489385e-4,0.004224080929642,FALSE
LIN,MGDG,5,357,0.08,0,0.313,0.08036726760995437,0,0.3138381353877956,2.6406313764247753e-4,0.0030216419198450116,FALSE
LIN,SQDG,10,357,0.122,0,0.423,0.12219582880601645,0,0.4238113261723062,9.503427347069199e-4,0.006826868189698453,FALSE
LIN,GalCer,2,357,0.014,0,0.259,0.014045133490350335,0,0.2600433826210563,7.297233558848896e-5,0.005122587794802894,FALSE
LIN,LPC,3,357,0.154,0.001,0.43,0.15433836518085553,1.5072105974692923e-4,0.43004945056981947,0.0018721860730862895,0.010258213720201916,TRUE
LIN,LPE,1,357,0.06,0,0.299,0.06020515935950331,0,0.2997170266615831,7.226586510943034e-4,0.0112806091548937,FALSE
LIN,Cer,1,357,0.149,0,0.46,0.14940938429241335,0,0.46033134057797787,0.007533298390213318,0.04288721853976536,FALSE
LIN,AEG,7,357,0.093,0,0.321,0.09270285817430446,0,0.3212685191864977,5.647434420097296e-4,0.005527230992563488,FALSE
LIN,FA,1,357,0.503,0.233,0.8190000000000001,0.5034601968209478,0.2323095146463846,0.8192216436708809,0.022376492700418103,0.022068912997415344,TRUE
LIN,TG,66,357,0.255,0.043000000000000003,0.603,0.25469146816622484,0.0425314854066645,0.6034043765131523,0.002852015528949755,0.008345907783849957,TRUE
LIN,DG,15,357,0.007,0,0.20400000000000001,0.006995568284590661,0,0.20486363974735664,2.2364150037348513e-5,0.0031745383927640233,FALSE
LIN,MG,5,357,0.064,0,0.304,0.06378125127965682,0,0.304664010044296,2.227047165620036e-4,0.0032689909164623017,FALSE
LIN,PC,38,357,0.064,0,0.333,0.06374442619737147,0,0.3329500710980792,5.302161787570246e-4,0.0077876275981297515,FALSE
LIN,PE,15,357,0.025,0,0.23900000000000002,0.02476990838952816,0,0.239547684933536,1.706297410292776e-4,0.006717960170002198,FALSE
LIN,PG,3,357,0.054,0,0.262,0.054299758603363016,0,0.2625674143604829,2.9045072445717463e-4,0.005058573505628183,FALSE
LIN,PA,2,357,0,0,0.15,0,0,0.150484130859375,0,0.037627095094241884,FALSE
LIN,PS,1,357,0.437,0.193,0.754,0.43679023926493526,0.1930152180345539,0.7539940373749779,0.010245078712425125,0.013210295953607575,TRUE
