Condition,Class,N_species,n,h2,CI_lo,CI_hi,NonZero
CTL,DGDG,7,351,0,0,0.091,FALSE
CTL,MGDG,5,351,0,0,0.128,FALSE
CTL,SQDG,10,351,0,0,0.102,FALSE
CTL,GalCer,2,351,0,0,0.127,FALSE
CTL,LPC,3,351,0.04,0,0.472,FALSE
CTL,LPE,1,351,0,0,0.159,FALSE
CTL,Cer,1,351,0,0,0.162,FALSE
CTL,AEG,7,351,0,0,0.137,FALSE
CTL,FA,1,351,0.115,0,0.504,FALSE
CTL,TG,44,351,0.533,0.073,0.999,TRUE
CTL,DG,12,351,0,0,0.106,FALSE
CTL,MG,5,351,0,0,0.296,FALSE
CTL,PC,31,351,0,0,0.162,FALSE
CTL,PE,12,351,0,0,0.213,FALSE
CTL,PG,2,351,0,0,0.183,FALSE
CTL,PA,1,351,0.655,0.305,0.999,TRUE
CTL,PS,1,351,0,0,0.256,FALSE
LIN,DGDG,7,351,0.079,0,0.375,FALSE
LIN,MGDG,5,351,0.174,0,0.506,FALSE
LIN,SQDG,10,351,0.165,0,0.497,FALSE
LIN,GalCer,2,351,0.058,0,0.365,FALSE
LIN,LPC,3,351,0.092,0,0.387,FALSE
LIN,LPE,1,351,0.059,0,0.401,FALSE
LIN,Cer,1,351,0.083,0,0.356,FALSE
LIN,AEG,7,351,0.127,0,0.388,FALSE
LIN,FA,1,351,0.514,0.246,0.828,TRUE
LIN,TG,44,351,0.201,0.015,0.523,TRUE
LIN,DG,12,351,0.062,0,0.36,FALSE
LIN,MG,5,351,0.177,0,0.507,FALSE
LIN,PC,31,351,0.058,0,0.425,FALSE
LIN,PE,12,351,0.073,0,0.403,FALSE
LIN,PG,2,351,0.125,0,0.444,FALSE
LIN,PA,1,351,0,0,0.1,FALSE
LIN,PS,1,351,0.377,0.144,0.699,TRUE
