"Lipid","Effect","CI_Low","CI_High","FeatureClass","AbsEffect"
"Zeaxanthin",-1.97545741440469,-2.00719694310005,-1.9432820430814,"Terpenoid",1.97545741440469
"Cycloartenol acetate",1.78015273746632,1.73434671907724,1.82953681649456,"Terpenoid",1.78015273746632
"AEG(o-15:2/15:0)",1.71984364212784,1.63002568867854,1.79973222032677,"Ether lipid",1.71984364212784
".beta.-Sitosterol",1.50733198288338,1.46951093017635,1.55087823192007,"Sterol",1.50733198288338
"gibberellic acid",1.48623370067363,1.44273182482253,1.53585462327091,"Terpenoid",1.48623370067363
"AEG(o-18:3/16:1)",-1.20024180193298,-1.27714699907758,-1.11367144859115,"Ether lipid",1.20024180193298
"Cer(24:1)",1.01941123286505,0.94100987743188,1.10739994938172,"Sphingolipid",1.01941123286505
"AEG(o-18:4/18:2)",-0.797122315147561,-0.873082345811138,-0.714920048063238,"Ether lipid",0.797122315147561
"Ubiquinone 9",-0.696400380942235,-0.724240685741533,-0.669414380409426,"Prenol",0.696400380942235
"Oxo fatty acid (18:3)",0.684639031175111,0.620410935842638,0.753057690850947,"Fatty acid",0.684639031175111
".alpha.-Amyrin",0.665416422573065,0.606125324634165,0.722627674769162,"Terpenoid",0.665416422573065
"gamma-sitosterol",0.645986287444221,0.578422472362856,0.707663561334281,"Sterol",0.645986287444221
"9,12,13,TriHODE",0.625532178070397,0.557498984530098,0.696292976668181,"Fatty acid",0.625532178070397
"Vitamin K1",0.612327943715073,0.588384657837531,0.636870359882235,"Prenol",0.612327943715073
"alpha-Tocopherol",0.606306719242195,0.549412450130726,0.65988097805401,"Prenol",0.606306719242195
"Ubidecarenone",-0.546800029116126,-0.596936813288946,-0.49622502556339,"Prenol",0.546800029116126
"Antheraxanthin",0.546111663689126,0.511724021685851,0.577158169960437,"Terpenoid",0.546111663689126
"Lutein",0.406590024948632,0.368365599712303,0.444446259953289,"Terpenoid",0.406590024948632
"AEG(o-18:4/16:1)",-0.397239481371354,-0.420743398929405,-0.373347057071859,"Ether lipid",0.397239481371354
"GalCer(d18:2/18:1)",0.333770492881505,0.313171961784533,0.353991757196165,"Sphingolipid",0.333770492881505
"AEG(o-16:3/16:0)",0.259380954190322,0.23177767436031,0.286180015941207,"Ether lipid",0.259380954190322
"beta-Carotene",-0.212720041671976,-0.235760556092386,-0.187162019937794,"Terpenoid",0.212720041671976
"GalCer(d18:2/20:1)",0.203583492848193,0.185399640270055,0.224518105109111,"Sphingolipid",0.203583492848193
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",-0.154965131541892,-0.177736540248351,-0.132714129754414,"Fatty acid",0.154965131541892
"AEG(o-16:2/16:0)",-0.13580847661703,-0.157569573739282,-0.115066861657327,"Ether lipid",0.13580847661703
"FA(22:1)",-0.0951497250263025,-0.154697128308696,-0.029085375143874,"Fatty acid",0.0951497250263025
"AEG(o-16:2/18:2)",-0.094666506126178,-0.114084267465416,-0.0732050511738416,"Ether lipid",0.094666506126178
".gamma.-Linolenoyl ethanolamide",0.0888660963074721,0.0372532439245667,0.135249534123641,"Fatty acid amide",0.0888660963074721
"Panaxcerol B",0.0814049924008801,0.0291896342636986,0.128199034154279,"Glycerolipid",0.0814049924008801
"Apocarotenal",-0.0251527811721544,-0.0902582627191711,0.0377675832139485,"Terpenoid",0.0251527811721544
".beta.-Cryptoxanthin",-0.0210888686717552,-0.0520812459439779,0.0133083728565934,"Terpenoid",0.0210888686717552
