"Class","Effect","CI_Low","CI_High"
"Ether lipid",-0.937042944127335,-0.960521241148451,-0.913899003278311
"Sphingolipid",-0.705105923538213,-0.725203639992109,-0.68556451026018
"Fatty acid",-1.3800004975468,-1.40272935478554,-1.35671567376644
"Fatty acid amide",0.856214698632556,0.819012007050093,0.891717224339811
"Glycerolipid",-0.12359356296418,-0.175356287346895,-0.068846186468687
"Glycerophospholipid",4.6647419398208,4.62713403226572,4.70207986856646
"Betaine lipid",-1.42195074550169,-1.47596581420309,-1.3704465759851
"Sterol",0.760300648261274,0.720753656104621,0.794459930943903
"Prenol",-0.976060174102427,-0.998207222326805,-0.954802291944505
"Terpenoid",-0.737503438933979,-0.761110725359868,-0.717137670435887
