Condition	Overlap_genes	Term	Classes	N_classes	Ontologies	Layers	N_strata	Genes	Background	Intervals	Fold_min	Fold_max	q_LD	All_terms
CTL	SORBI_3001G248200;SORBI_3001G248300	omega peptidase activity	PC	1	MF	Individual lipid species	1	2	5	1	298.96	298.96	0.02	omega peptidase activity
CTL	SORBI_3002G085100;SORBI_3002G085800	UDP-glucosyltransferase activity and UDP-glycosyltransferase activity	PG	1	MF	Individual lipid species	1	2	82	1	246.1	246.1	0.00499	UDP-glucosyltransferase activity; UDP-glycosyltransferase activity
CTL	SORBI_3010G126900;SORBI_3010G127300	negative regulation of response to salt stress	PC	1	BP	Individual lipid species	1	2	25	1	59.79	59.79	0.0307	negative regulation of response to salt stress
CTL	SORBI_3005G186700;SORBI_3005G186800	serine-type carboxypeptidase activity	PA	1	MF	Individual lipid species	1	2	60	1	30.58	30.58	0.02	serine-type carboxypeptidase activity
CTL	SORBI_3001G222700;SORBI_3003G360700	cutin biosynthetic process	TG	1	BP	Individual lipid species	1	2	3	2	28.62	28.62	0.00837	cutin biosynthetic process
CTL	SORBI_3003G427200;SORBI_3003G427300	UMP biosynthetic process (+4 related terms)	TG	1	BP/MF	Individual lipid species	2	2	3	1	28.62	28.62	0.0224	'de novo' UMP biosynthetic process; 'de novo' pyrimidine nucleobase biosynthetic process; UMP biosynthetic process; pyrimidine nucleobase biosynthetic process; pyrimidine nucleotide biosynthetic process | orotate phosphoribosyltransferase activity; orotidine-5'-phosphate decarboxylase activity
CTL	SORBI_3001G248200;SORBI_3001G248300;SORBI_3008G103200	serine-type peptidase activity	PC	1	MF	Individual lipid species	1	3	83	2	27.01	27.01	0.00445	serine-type peptidase activity
CTL	SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200	nicotianamine:2-oxoglutarate transaminase activity	TG	1	MF	Individual lipid species	1	3	5	2	25.76	25.76	0.00445	nicotianamine:2-oxoglutarate transaminase activity
CTL	SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600	aspartic-type endopeptidase activity	PC	1	MF	Individual lipid species	1	3	96	1	23.36	23.36	0.0229	aspartic-type endopeptidase activity
CTL	SORBI_3008G062300;SORBI_3008G062400	sulfur compound metabolic process and sulfate assimilation	TG	1	BP	Individual lipid species	1	2	4	1	21.47	21.47	0.0231	sulfate assimilation; sulfur compound metabolic process
CTL	SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014200	sequence-specific DNA binding	PA	1	MF	Class sums and ratios	1	3	284	2	21.32	21.32	0.00238	sequence-specific DNA binding
CTL	SORBI_3001G248200;SORBI_3008G103200	peptidase activity	PC	1	MF	Individual lipid species	1	2	71	2	21.05	21.05	0.00792	peptidase activity
CTL	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500	lactoperoxidase activity (+2 related terms)	PA	1	BP/MF	Individual lipid species	2	3	143	1	19.11	19.24	0.0201	cellular oxidant detoxification; hydrogen peroxide catabolic process; response to oxidative stress | lactoperoxidase activity; metal ion binding; peroxidase activity
CTL	SORBI_3001G357500;SORBI_3001G357700;SORBI_3001G357800	polyamine transmembrane transport	TG	1	BP/MF	Individual lipid species	2	3	7	1	18.4	18.4	0.0121	polyamine transmembrane transport | polyamine transmembrane transporter activity
CTL	SORBI_3003G369200;SORBI_3005G013200	chromatin binding	PA	1	MF	Individual lipid species	1	2	100	2	18.35	18.35	0.0142	chromatin binding
CTL	SORBI_3001G221300;SORBI_3001G221400	long-chain-alcohol oxidase activity	TG	1	MF	Individual lipid species	1	2	5	1	17.17	17.17	0.0495	long-chain-alcohol oxidase activity
CTL	SORBI_3004G136300;SORBI_3006G046700	vesicle docking involved in exocytosis	TG	1	BP	Individual lipid species	1	2	5	2	17.17	17.17	0.0311	vesicle docking involved in exocytosis
CTL	SORBI_3007G096900;SORBI_3007G097000	replication-born double-strand break repair via sister chromatid exchange and sister chromatid cohesion	TG	1	BP	Individual lipid species	1	2	5	1	17.17	17.17	0.0364	replication-born double-strand break repair via sister chromatid exchange; sister chromatid cohesion
CTL	SORBI_3001G248100;SORBI_3008G103500	positive regulation of transcription by RNA polymerase II	PC	1	BP	Individual lipid species	1	2	113	2	13.23	13.23	0.018	positive regulation of transcription by RNA polymerase II
CTL	SORBI_3001G023400;SORBI_3001G305900	protein targeting to chloroplast	TG	1	BP	Individual lipid species	1	2	7	2	12.27	12.27	0.0222	protein targeting to chloroplast
CTL	SORBI_3001G248300;SORBI_3008G103200	serine-type endopeptidase activity	PC	1	MF	Individual lipid species	1	2	124	2	12.05	12.05	0.0224	serine-type endopeptidase activity
CTL	SORBI_3005G144300;SORBI_3006G248100	triacylglycerol lipase activity	TG	1	MF	Individual lipid species	1	2	8	2	10.73	10.73	0.0184	triacylglycerol lipase activity
CTL	SORBI_3005G146300;SORBI_3008G004800	ferric iron binding	TG	1	MF	Individual lipid species	1	2	8	2	10.73	10.73	0.0184	ferric iron binding
CTL	SORBI_3003G368300;SORBI_3005G013500;SORBI_3005G013600	sequence-specific DNA binding	PA	1	MF	Individual lipid species	1	3	284	2	9.69	9.69	0.0184	sequence-specific DNA binding
CTL	SORBI_3001G122100;SORBI_3004G202500	protein serine/threonine/tyrosine kinase activity	TG	1	MF	Individual lipid species	1	2	9	2	9.54	9.54	0.0184	protein serine/threonine/tyrosine kinase activity
CTL	SORBI_3003G078700;SORBI_3010G193300	phospholipid dephosphorylation	TG	1	BP/MF	Individual lipid species	2	2	9	2	8.59	9.54	0.0195	phosphatidate phosphatase activity | phospholipid dephosphorylation
CTL	SORBI_3001G248200;SORBI_3001G248300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600	proteolysis	PC	1	BP	Individual lipid species	1	6	474	3	9.46	9.46	0.00364	proteolysis
CTL	SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014200;SORBI_3005G014800	DNA-binding transcription factor activity	PA	1	BP/MF	Class sums and ratios	2	4	909	2	5.51	8.88	0.00462	DNA-binding transcription factor activity | regulation of DNA-templated transcription
CTL	SORBI_3003G069950;SORBI_3006G039800;SORBI_3010G143600;SORBI_3010G194600	positive regulation of defense response	TG	1	BP	Individual lipid species	1	4	20	4	8.59	8.59	0.00637	positive regulation of defense response
CTL	SORBI_3002G044000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400	formation of cytoplasmic translation initiation complex	TG	1	BP	Individual lipid species	1	4	21	6	8.18	8.18	0.00394	formation of cytoplasmic translation initiation complex
CTL	SORBI_3001G024400;SORBI_3002G091200;SORBI_3002G091300	pectinesterase inhibitor activity	TG	1	MF	Individual lipid species	1	3	16	2	8.05	8.05	0.0174	pectinesterase inhibitor activity
CTL	SORBI_3003G078700;SORBI_3005G145100;SORBI_3010G193300	phospholipid metabolic process	TG	1	BP	Individual lipid species	1	3	16	3	8.05	8.05	0.00897	phospholipid metabolic process
CTL	SORBI_3001G021500;SORBI_3001G224300	plant-type secondary cell wall biogenesis	TG	1	BP	Individual lipid species	1	2	11	2	7.81	7.81	0.027	plant-type secondary cell wall biogenesis
CTL	SORBI_3001G021900;SORBI_3001G022000	auxin metabolic process	TG	1	BP	Individual lipid species	1	2	11	1	7.81	7.81	0.0455	auxin metabolic process
CTL	SORBI_3001G022700;SORBI_3007G090600	pollen tube development	TG	1	BP	Individual lipid species	1	2	11	2	7.81	7.81	0.0253	pollen tube development
CTL	SORBI_3001G260701;SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200	transaminase activity	TG	1	MF	Individual lipid species	1	4	24	3	7.16	7.16	0.0105	transaminase activity
CTL	SORBI_3004G140600;SORBI_3006G032900;SORBI_3010G134500	3'-5'-RNA exonuclease activity	TG	1	MF	Individual lipid species	1	3	19	3	6.78	6.78	0.0184	3'-5'-RNA exonuclease activity
CTL	SORBI_3002G073200;SORBI_3006G210400	metalloaminopeptidase activity	TG	1	MF	Individual lipid species	1	2	15	2	5.72	5.72	0.0392	metalloaminopeptidase activity
CTL	SORBI_3002G092300;SORBI_3004G205000;SORBI_3009G050500;SORBI_3010G140600	iron-sulfur cluster assembly	TG	1	BP	Individual lipid species	1	4	30	4	5.72	5.72	0.00897	iron-sulfur cluster assembly
CTL	SORBI_3002G044000;SORBI_3006G044600;SORBI_3009G234400	cytoplasmic translational initiation	TG	1	BP	Individual lipid species	1	3	25	3	5.15	5.15	0.019	cytoplasmic translational initiation
CTL	SORBI_3001G122200;SORBI_3006G049600	protein-lysine N-methyltransferase activity	TG	1	MF	Individual lipid species	1	2	17	2	5.05	5.05	0.0455	protein-lysine N-methyltransferase activity
CTL	SORBI_3001G318000;SORBI_3001G318500;SORBI_3001G318600;SORBI_3001G318700;SORBI_3001G319000;SORBI_3001G319300;SORBI_3001G319500;SORBI_3003G426300;SORBI_3003G426500;SORBI_3003G426600	glutathione metabolic process	TG	1	BP/MF	Individual lipid species	2	10	85	2	4.57	5.05	0.0092	glutathione metabolic process | glutathione transferase activity
CTL	SORBI_3006G048700;SORBI_3007G071600;SORBI_3008G005600;SORBI_3009G111400	fatty acid metabolic process	TG	1	BP	Individual lipid species	1	4	37	4	4.64	4.64	0.0167	fatty acid metabolic process
CTL	SORBI_3001G221850;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750	positive regulation of cytoplasmic translation	TG	1	BP/MF	Individual lipid species	2	20	213	20	3.99	4.03	0.00343	positive regulation of cytoplasmic translation | single-stranded RNA binding; translation regulator activity
CTL	SORBI_3003G370100;SORBI_3005G012200;SORBI_3005G017000	protein serine/threonine kinase activity	PA	1	MF	Individual lipid species	1	3	690	2	3.99	3.99	0.0402	protein serine/threonine kinase activity
CTL	SORBI_3001G259000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400	translational initiation	TG	1	BP	Individual lipid species	1	4	48	6	3.58	3.58	0.0222	translational initiation
CTL	SORBI_3001G259000;SORBI_3002G044000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400	translation initiation factor activity	TG	1	MF	Individual lipid species	1	5	62	7	3.46	3.46	0.0122	translation initiation factor activity
CTL	SORBI_3001G021500;SORBI_3001G224300;SORBI_3007G100800	cellulose biosynthetic process	TG	1	BP	Individual lipid species	1	3	38	3	3.39	3.39	0.049	cellulose biosynthetic process
CTL	SORBI_3003G369066;SORBI_3003G369200;SORBI_3003G370100;SORBI_3005G017000	nucleotide binding	PA	1	MF	Individual lipid species	1	4	1133	2	3.24	3.24	0.0402	nucleotide binding
