Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
MF	Class sums and ratios	CTL	PA	sequence-specific DNA binding	GO:0043565	3	284	2	21.32	0.00431	0.00238	SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014200
MF	Class sums and ratios	CTL	PA	DNA-binding transcription factor activity	GO:0003700	4	909	2	8.88	0.00483	0.00868	SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014200;SORBI_3005G014800
MF	Individual lipid species	CTL	PA	chromatin binding	GO:0003682	2	100	2	18.35	0.0316	0.0142	SORBI_3003G369200;SORBI_3005G013200
MF	Individual lipid species	CTL	PA	sequence-specific DNA binding	GO:0043565	3	284	2	9.69	0.0242	0.0184	SORBI_3003G368300;SORBI_3005G013500;SORBI_3005G013600
MF	Individual lipid species	CTL	PA	serine-type carboxypeptidase activity	GO:0004185	2	60	1	30.58	0.015	0.02	SORBI_3005G186700;SORBI_3005G186800
MF	Individual lipid species	CTL	PA	lactoperoxidase activity	GO:0140825	3	143	1	19.24	0.00535	0.0201	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
MF	Individual lipid species	CTL	PA	peroxidase activity	GO:0004601	3	173	1	15.91	0.00859	0.0219	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
MF	Individual lipid species	CTL	PA	metal ion binding	GO:0046872	3	566	1	4.86	0.0811	0.0399	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
MF	Individual lipid species	CTL	PA	protein serine/threonine kinase activity	GO:0004674	3	690	2	3.99	0.113	0.0402	SORBI_3003G370100;SORBI_3005G012200;SORBI_3005G017000
MF	Individual lipid species	CTL	PA	nucleotide binding	GO:0000166	4	1133	2	3.24	0.104	0.0402	SORBI_3003G369066;SORBI_3003G369200;SORBI_3003G370100;SORBI_3005G017000
MF	Individual lipid species	CTL	PA	nucleic acid binding	GO:0003676	3	970	2	2.84	0.211	0.0491	SORBI_3003G369066;SORBI_3003G369200;SORBI_3005G013200
MF	Individual lipid species	CTL	PC	serine-type peptidase activity	GO:0008236	3	83	2	27.01	0.00268	0.00445	SORBI_3001G248200;SORBI_3001G248300;SORBI_3008G103200
MF	Individual lipid species	CTL	PC	peptidase activity	GO:0008233	2	71	2	21.05	0.0267	0.00792	SORBI_3001G248200;SORBI_3008G103200
MF	Individual lipid species	CTL	PC	omega peptidase activity	GO:0008242	2	5	1	298.96	0.000454	0.02	SORBI_3001G248200;SORBI_3001G248300
MF	Individual lipid species	CTL	PC	serine-type endopeptidase activity	GO:0004252	2	124	2	12.05	0.0586	0.0224	SORBI_3001G248300;SORBI_3008G103200
MF	Individual lipid species	CTL	PC	aspartic-type endopeptidase activity	GO:0004190	3	96	1	23.36	0.00371	0.0229	SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600
MF	Individual lipid species	CTL	PG	UDP-glucosyltransferase activity	GO:0035251	2	82	1	246.1	0.000454	0.00499	SORBI_3002G085100;SORBI_3002G085800
MF	Individual lipid species	CTL	PG	UDP-glycosyltransferase activity	GO:0008194	2	200	1	100.9	0.00184	0.00673	SORBI_3002G085100;SORBI_3002G085800
MF	Individual lipid species	CTL	TG	mRNA binding	GO:0003729	30	474	28	2.72	3.66e-05	0.00132	SORBI_3001G021800;SORBI_3001G022500;SORBI_3001G024000;SORBI_3001G221850;SORBI_3001G357200;SORBI_3001G499500;SORBI_3002G244600;SORBI_3003G206600;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3006G208800;SORBI_3006G278600;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750;SORBI_3010G150575
MF	Individual lipid species	CTL	TG	nucleic acid binding	GO:0003676	38	970	31	1.68	0.012	0.00132	SORBI_3001G022500;SORBI_3001G022600;SORBI_3001G126400;SORBI_3001G221850;SORBI_3001G222500;SORBI_3001G222900;SORBI_3001G224200;SORBI_3001G356500;SORBI_3001G356600;SORBI_3001G357200;SORBI_3003G422900;SORBI_3004G137601;SORBI_3004G140600;SORBI_3004G206200;SORBI_3004G206500;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3006G209700;SORBI_3007G071200;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G063300;SORBI_3008G094500;SORBI_3008G131800;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
MF	Individual lipid species	CTL	TG	translation regulator activity	GO:0045182	20	215	20	3.99	1.47e-05	0.00343	SORBI_3001G221850;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
MF	Individual lipid species	CTL	TG	single-stranded RNA binding	GO:0003727	20	219	20	3.92	1.47e-05	0.00343	SORBI_3001G221850;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
MF	Individual lipid species	CTL	TG	transmembrane transporter activity	GO:0022857	18	402	13	1.92	0.036	0.00343	SORBI_3001G223100;SORBI_3001G223200;SORBI_3001G357500;SORBI_3001G357650;SORBI_3001G357700;SORBI_3001G357800;SORBI_3002G245300;SORBI_3002G322800;SORBI_3003G422800;SORBI_3006G130700;SORBI_3006G277100;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G105500;SORBI_3008G132800;SORBI_3009G088200;SORBI_3009G099000;SORBI_3009G235900
MF	Individual lipid species	CTL	TG	hydrolase activity	GO:0016787	14	303	8	1.98	0.0586	0.00374	SORBI_3001G021900;SORBI_3001G022000;SORBI_3002G041533;SORBI_3002G041800;SORBI_3002G042000;SORBI_3002G042300;SORBI_3002G091500;SORBI_3003G358300;SORBI_3003G360700;SORBI_3005G144300;SORBI_3005G146300;SORBI_3006G044200;SORBI_3007G090415;SORBI_3007G090424
MF	Individual lipid species	CTL	TG	nicotianamine:2-oxoglutarate transaminase activity	GO:0033855	3	5	2	25.76	0.002	0.00445	SORBI_3002G041100;SORBI_3002G041200;SORBI_3005G152200
