GeneID,GeneName,Best_P_Value_CTL,Best_P_Value_LIN,N_Phenotypes_CTL,N_Phenotypes_LIN
SORBI_3001G021000,Nicotinate phosphoribosyltransferase,4.680331e-09,7.25892e-12,1,1
SORBI_3001G021200,Uncharacterized protein,4.680331e-09,7.25892e-12,1,1
SORBI_3001G021400,Tr-type G domain-containing protein,4.680331e-09,7.25892e-12,1,3
SORBI_3001G021500,Cellulose synthase,4.680331e-09,7.25892e-12,1,1
SORBI_3001G021601,Uncharacterized protein,4.680331e-09,7.25892e-12,1,1
SORBI_3001G021700,,4.680331e-09,2.39402e-14,1,1
SORBI_3001G021800,WH1 domain-containing protein,4.680331e-09,3.492585e-15,1,1
SORBI_3001G021900,Peptidase M20 dimerisation domain-containing protein,4.680331e-09,2.39402e-14,2,1
SORBI_3001G022000,Peptidase M20 dimerisation domain-containing protein,4.680331e-09,3.492585e-15,2,3
SORBI_3001G022100,Uncharacterized protein,4.680331e-09,3.492585e-15,2,1
SORBI_3001G022200,Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein,4.680331e-09,3.492585e-15,2,1
SORBI_3001G022500,Lysine--tRNA ligase,4.680331e-09,2.282694e-15,2,1
SORBI_3001G022600,Uncharacterized protein,4.680331e-09,2.282694e-15,2,1
SORBI_3001G022700,Cytochrome P450 CYP733A,4.680331e-09,2.282694e-15,1,2
SORBI_3001G022800,Actin,4.680331e-09,2.282694e-15,1,1
SORBI_3001G022900,Ferredoxin,4.680331e-09,2.282694e-15,2,2
SORBI_3001G127300,Uncharacterized protein,1.177076e-10,6.794453e-10,3,2
SORBI_3001G223100,Uncharacterized protein,7.079967e-11,8.626937e-10,10,2
SORBI_3001G247600,NAD-dependent epimerase_dehydratase domain-containing protein,3.424946e-09,7.82254e-14,1,1
SORBI_3001G259000,Translation initiation factor eIF-2B beta subunit,1.726483e-11,2.010255e-10,9,1
SORBI_3001G259100,SPX domain-containing protein,1.726483e-11,1.45935e-11,9,2
SORBI_3001G259200,Glycosyltransferase,1.381723e-09,1.45935e-11,4,2
SORBI_3001G259250,Uncharacterized protein,1.381723e-09,1.45935e-11,4,1
SORBI_3001G259400,Protein TIFY,1.726483e-11,1.45935e-11,9,3
SORBI_3001G259600,Protein TIFY,1.726483e-11,1.626147e-12,9,3
SORBI_3001G260850,Uncharacterized protein,7.811029e-09,2.490756e-12,1,1
SORBI_3001G261750,Uncharacterized protein,3.164879e-10,5.938881e-09,1,1
SORBI_3001G261900,RNA uridylyltransferase,3.164879e-10,5.938881e-09,1,1
SORBI_3001G262000,Uncharacterized protein,3.164879e-10,5.938881e-09,1,1
SORBI_3001G285800,Uncharacterized protein,5.462001e-09,7.420687e-10,1,1
SORBI_3001G295500,Uncharacterized protein,7.958699e-09,1.165916e-12,1,1
SORBI_3001G295600,Uncharacterized protein,7.958699e-09,1.165916e-12,1,1
SORBI_3001G295700,Fungal lipase-like domain-containing protein,7.958699e-09,3.085931e-09,1,1
SORBI_3001G320000,Subtilisin-like protease,2.783649e-09,5.33184e-09,2,1
SORBI_3001G356300,Uncharacterized protein,1.182781e-12,1.566776e-10,9,1
SORBI_3001G357200,RRM domain-containing protein,1.182781e-12,1.566776e-10,9,1
SORBI_3001G457600,Ubiquitin-like domain-containing protein,3.447118e-10,5.199021e-09,3,1
SORBI_3002G071850,,4.54345e-09,3.356253e-09,2,1
SORBI_3002G084900,Maternal effect embryo arrest 60,9.610667e-14,2.136255e-12,2,1
SORBI_3002G085800,UDP-glycosyltransferases domain-containing protein,9.610667e-14,4.251319e-15,2,2
SORBI_3002G148000,Uncharacterized protein,2.815911e-09,4.842055e-09,1,1
SORBI_3003G068950,Uncharacterized protein,4.124841e-09,3.624862e-11,1,1
SORBI_3003G069950,Protein kinase domain-containing protein,4.124841e-09,3.624862e-11,1,1
SORBI_3003G077300,Uncharacterized protein,3.140747e-09,2.1307e-12,1,2
SORBI_3003G077400,Peptidase M50 domain-containing protein,3.140747e-09,2.1307e-12,1,2
SORBI_3003G077500,Uncharacterized protein,3.140747e-09,1.01863e-11,1,2
SORBI_3003G077600,DNA damage-binding protein 2,3.140747e-09,1.01863e-11,1,2
SORBI_3003G077700,Protein root UVB sensitive 5,3.140747e-09,1.01863e-11,1,2
SORBI_3003G077800,Uncharacterized protein,3.140747e-09,1.01863e-11,1,2
SORBI_3003G077900,Vesicle-fusing ATPase,3.140747e-09,1.01863e-11,1,2
SORBI_3003G078000,Uncharacterized protein,3.140747e-09,1.01863e-11,1,2
SORBI_3003G079800,Protein kinase domain-containing protein,3.183819e-09,1.367717e-12,2,3
SORBI_3003G166500,NAD-dependent epimerase_dehydratase domain-containing protein,4.659387e-09,7.077691e-10,2,1
SORBI_3003G185300,Dynein light chain,4.205869e-09,1.531726e-09,1,1
SORBI_3003G185500,Uncharacterized protein,4.205869e-09,1.531726e-09,1,1
SORBI_3003G185600,Aspartate racemase,4.205869e-09,1.531726e-09,1,1
SORBI_3003G185800,Uncharacterized protein,4.205869e-09,1.531726e-09,1,1
SORBI_3003G185900,protein-serine_threonine phosphatase,4.205869e-09,1.531726e-09,1,1
SORBI_3003G186000,RAVE complex protein Rav1 C-terminal domain-containing protein,4.205869e-09,1.531726e-09,1,1
SORBI_3003G186200,RWP-RK domain-containing protein,4.205869e-09,1.531726e-09,1,1
SORBI_3003G252200,Homeobox-DDT domain protein RLT1,2.132079e-09,6.551256e-11,1,1
SORBI_3003G266100,Symplekin C-terminal domain-containing protein,7.945542e-09,3.368183e-09,1,1
SORBI_3003G366850,Uncharacterized protein,1.358718e-09,1.103826e-09,1,1
SORBI_3003G368300,BZIP domain-containing protein,1.755257e-09,7.022179e-10,1,1
SORBI_3003G369200,DNA polymerase,1.358718e-09,1.928803e-09,1,1
SORBI_3003G370100,Protein kinase domain-containing protein,1.358718e-09,1.287754e-09,1,1
SORBI_3004G103700,Uncharacterized protein,8.011247e-10,2.82693e-10,1,1
SORBI_3004G103800,,8.011247e-10,1.000563e-09,1,1
SORBI_3004G103901,Berberine_berberine-like domain-containing protein,8.011247e-10,1.000563e-09,1,1
SORBI_3004G104100,,8.011247e-10,1.000563e-09,1,1
SORBI_3004G104200,Berberine_berberine-like domain-containing protein,8.011247e-10,1.000563e-09,1,1
SORBI_3004G104250,Pentacotripeptide-repeat region of PRORP domain-containing protein,8.011247e-10,1.000563e-09,1,1
SORBI_3004G104300,,8.011247e-10,1.000563e-09,1,1
SORBI_3004G140300,7-dehydrocholesterol reductase,4.396448e-10,5.475363e-09,1,1
SORBI_3004G140400,DNA2_NAM7 helicase-like C-terminal domain-containing protein,4.396448e-10,5.475363e-09,1,1
SORBI_3004G140501,BED-type domain-containing protein,4.396448e-10,5.475363e-09,1,1
SORBI_3004G140600,Exonuclease domain-containing protein,4.396448e-10,5.475363e-09,1,1
SORBI_3004G197700,DUF4283 domain-containing protein,6.003575e-11,1.932304e-09,1,1
