"Condition","Class","N_species","n","h2","CI_lo","CI_hi","NonZero"
"CTL","PA",1,389,0.555,0.252,0.893,TRUE
"CTL","TG",67,389,0.217,0,0.564,FALSE
"CTL","FA",1,389,0.111,0,0.401,FALSE
"CTL","PS",2,389,0.017,0,0.243,FALSE
"CTL","DGDG",7,389,0,0,0.078,FALSE
"CTL","MGDG",5,389,0,0,0.141,FALSE
"CTL","SQDG",11,389,0,0,0.084,FALSE
"CTL","GalCer",3,389,0,0,0.106,FALSE
"CTL","LPC",2,389,0,0,0.169,FALSE
"CTL","LPE",1,389,0,0,0.137,FALSE
"CTL","Cer",2,389,0,0,0.167,FALSE
"CTL","AEG",7,389,0,0,0.101,FALSE
"CTL","DG",16,389,0,0,0.104,FALSE
"CTL","MG",8,389,0,0,0.208,FALSE
"CTL","PC",38,389,0,0,0.125,FALSE
"CTL","PE",14,389,0,0,0.164,FALSE
"CTL","PG",3,389,0,0,0.141,FALSE
"LIN","FA",1,357,0.404,0.153,0.708,TRUE
"LIN","PS",1,357,0.382,0.167,0.657,TRUE
"LIN","TG",66,357,0.208,0.017,0.525,TRUE
"LIN","SQDG",10,357,0.172,0,0.505,FALSE
"LIN","MG",5,357,0.133,0,0.45,FALSE
"LIN","PE",15,357,0.133,0,0.45,FALSE
"LIN","MGDG",5,357,0.131,0,0.437,FALSE
"LIN","PG",3,357,0.127,0,0.42,FALSE
"LIN","AEG",7,357,0.117,0,0.365,FALSE
"LIN","PC",38,357,0.101,0,0.454,FALSE
"LIN","LPC",3,357,0.071,0,0.348,FALSE
"LIN","DGDG",7,357,0.065,0,0.331,FALSE
"LIN","DG",15,357,0.033,0,0.304,FALSE
"LIN","LPE",1,357,0.021,0,0.313,FALSE
"LIN","Cer",1,357,0.015,0,0.246,FALSE
"LIN","GalCer",2,357,0.007,0,0.249,FALSE
"LIN","PA",2,357,0,0,0.123,FALSE
