trial,Class,n_species,n,h2,lo,hi,h2_pc,lo_pc,hi_pc,nonzero,nonzero_pc,h2_lost_to_structure,single_species
CTL,PC,31,389,0,0,0.124,0,0,0.228,FALSE,FALSE,0,FALSE
CTL,PE,12,389,0,0,0.164,0.008,0,0.262,FALSE,FALSE,-0.008,FALSE
CTL,PG,2,389,0,0,0.136,0,0,0.274,FALSE,FALSE,0,FALSE
CTL,PA,1,389,0.554,0.252,0.892,0.61,0.296,0.9440000000000001,TRUE,TRUE,-0.056,TRUE
CTL,PS,1,389,0,0,0.246,0.048,0,0.39,FALSE,FALSE,-0.048,TRUE
CTL,LPC,2,389,0,0,0.168,0,0,0.242,FALSE,FALSE,0,FALSE
CTL,LPE,1,389,0,0,0.136,0,0,0.244,FALSE,FALSE,0,TRUE
CTL,DG,12,389,0,0,0.10200000000000001,0,0,0.148,FALSE,FALSE,0,FALSE
CTL,MG,5,389,0,0,0.20600000000000002,0,0,0.314,FALSE,FALSE,0,FALSE
CTL,TG,44,389,0.222,0.002,0.5660000000000001,0.26,0.002,0.626,TRUE,TRUE,-0.038,FALSE
CTL,MGDG,5,389,0,0,0.14,0,0,0.17400000000000002,FALSE,FALSE,0,FALSE
CTL,DGDG,7,389,0,0,0.078,0,0,0.11800000000000001,FALSE,FALSE,0,FALSE
CTL,SQDG,10,389,0,0,0.084,0,0,0.146,FALSE,FALSE,0,FALSE
LIN,PC,31,357,0.10400000000000001,0,0.46,0.126,0,0.522,FALSE,FALSE,-0.022,FALSE
LIN,PE,12,357,0.132,0,0.45,0.08,0,0.452,FALSE,FALSE,0.052,FALSE
LIN,PG,2,357,0.116,0,0.41200000000000003,0.1,0,0.438,FALSE,FALSE,0.016,FALSE
LIN,PA,1,357,0,0,0.124,0,0,0.17200000000000001,FALSE,FALSE,0,TRUE
LIN,PS,1,357,0.382,0.168,0.656,0.294,0.032,0.612,TRUE,TRUE,0.088,TRUE
LIN,LPC,2,357,0.036000000000000004,0,0.302,0.066,0,0.376,FALSE,FALSE,-0.03,FALSE
LIN,LPE,1,357,0.02,0,0.312,0.07200000000000001,0,0.406,FALSE,FALSE,-0.052,TRUE
LIN,DG,12,357,0.032,0,0.304,0.02,0,0.356,FALSE,FALSE,0.012,FALSE
LIN,MG,5,357,0.134,0,0.45,0.15,0,0.5,FALSE,FALSE,-0.016,FALSE
LIN,TG,44,357,0.2,0.014,0.516,0.18,0,0.54,TRUE,FALSE,0.02,FALSE
LIN,MGDG,5,357,0.13,0,0.436,0.11,0,0.464,FALSE,FALSE,0.02,FALSE
LIN,DGDG,7,357,0.066,0,0.33,0,0,0.33,FALSE,FALSE,0.066,FALSE
LIN,SQDG,10,357,0.17200000000000001,0,0.504,0.254,0,0.588,FALSE,FALSE,-0.082,FALSE
