GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3008G081400,Major facilitator superfamily (MFS) profile domain-containing protein,2,10,4.496153e-33
SORBI_3008G081000,Uncharacterized protein,2,9,4.496153e-33
SORBI_3008G081150,Uncharacterized protein,2,9,4.496153e-33
SORBI_3008G081200,Major facilitator superfamily (MFS) profile domain-containing protein,2,9,4.496153e-33
SORBI_3010G150600,Uncharacterized protein,2,10,1.414455e-18
SORBI_3010G150700,PABC domain-containing protein,2,10,1.414455e-18
SORBI_3010G149800,Uncharacterized protein,2,5,1.414455e-18
SORBI_3010G150100,WRKY transcription factor 19,2,5,1.414455e-18
SORBI_3010G150200,F-box domain-containing protein,2,5,1.414455e-18
SORBI_3010G150325,F-box domain-containing protein,2,5,1.414455e-18
SORBI_3010G150575,Small ribosomal subunit protein uS5 C-terminal domain-containing protein,2,5,1.414455e-18
SORBI_3010G149700,Peroxidase,2,3,1.414455e-18
SORBI_3010G150000,Uncharacterized protein,2,3,1.414455e-18
SORBI_3008G048933,Uncharacterized protein,2,2,2.114556e-16
SORBI_3001G022900,Ferredoxin,2,4,2.282694e-15
SORBI_3001G022500,Lysine--tRNA ligase,2,3,2.282694e-15
SORBI_3001G022600,Uncharacterized protein,2,3,2.282694e-15
SORBI_3001G022700,Cytochrome P450 CYP733A,2,3,2.282694e-15
SORBI_3001G022800,Actin,2,2,2.282694e-15
SORBI_3001G022000,Peptidase M20 dimerisation domain-containing protein,2,5,3.492585e-15
SORBI_3001G022100,Uncharacterized protein,2,3,3.492585e-15
SORBI_3001G022200,Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein,2,3,3.492585e-15
SORBI_3001G021800,WH1 domain-containing protein,2,2,3.492585e-15
SORBI_3002G085800,UDP-glycosyltransferases domain-containing protein,2,4,4.251319e-15
SORBI_3005G110120,Uncharacterized protein,2,13,8.186128e-15
SORBI_3005G110160,Uncharacterized protein,2,13,8.186128e-15
SORBI_3010G140800,Uncharacterized protein,2,14,1.235556e-14
SORBI_3001G021900,Peptidase M20 dimerisation domain-containing protein,2,3,2.39402e-14
SORBI_3001G021700,NA,2,2,2.39402e-14
SORBI_3008G106200,Cytochrome P450,2,14,4.627337e-14
SORBI_3008G105500,Ureide permease 4,2,13,4.627337e-14
SORBI_3008G105600,Uncharacterized protein,2,13,4.627337e-14
SORBI_3008G106500,DUF1618 domain-containing protein,2,13,4.627337e-14
SORBI_3008G106550,DUF295 domain-containing protein,2,13,4.627337e-14
SORBI_3008G105800,Cytochrome P450,2,12,4.627337e-14
SORBI_3008G105850,Uncharacterized protein,2,12,4.627337e-14
SORBI_3008G105900,Uncharacterized protein,2,12,4.627337e-14
SORBI_3008G106301,Uncharacterized protein,2,11,4.627337e-14
SORBI_3008G080900,Uncharacterized protein,2,8,5.121188e-14
SORBI_3001G247600,NAD-dependent epimerase_dehydratase domain-containing protein,2,2,7.82254e-14
SORBI_3002G084900,Maternal effect embryo arrest 60,2,3,9.610667e-14
SORBI_3006G244200,DUF295 domain-containing protein,3,5,1.258093e-13
SORBI_3005G183300,NA,2,3,1.456216e-13
SORBI_3005G183450,Uncharacterized protein,2,3,1.456216e-13
SORBI_3005G183500,NB-ARC domain-containing protein,2,3,1.456216e-13
SORBI_3005G183600,Dirigent protein,2,3,1.456216e-13
SORBI_3005G183700,Uncharacterized protein,2,3,1.456216e-13
SORBI_3005G183900,ABC transporter domain-containing protein,2,3,1.456216e-13
SORBI_3005G184050,Uncharacterized protein,2,3,1.456216e-13
SORBI_3005G183400,NA,2,2,1.456216e-13
