trial,species_A,species_B,r,ratio_B_over_A
CTL,DG(18:1/18:1),MG(18:1),1,2
CTL,TG(10:0/12:0/16:0),TG(12:0/12:0/14:0),1,2
CTL,TG(12:0/16:0/16:0),TG(14:0/14:0/16:0),1,2
CTL,TG(12:0/14:0/18:1),TG(14:0/14:0/16:1),1,2
CTL,TG(12:0/12:0/18:2),TG(8:0/16:1/18:1),1,0.5
CTL,LPC(18:3),PC(18:3/0:0),1,0.3333
CTL,LPE(16:0),PE(16:0/0:0),1,0.5
CTL,SPB 18:0;2OH,SPHINGANINE,1,0.5
CTL,alpha-Carotene,beta-Carotene,0.999933,2.9876
CTL,Lutein,Zeaxanthin,1,1.6667
LIN,"13-Keto-9Z,11E-octadecadienoic acid",13S-HOTrE,1,0.5
LIN,Alpha-Carotene,beta-Carotene,1,3
LIN,DG(18:1/18:1),MG(18:1),1,2
LIN,TG(10:0/14:0/16:0),TG(12:0/12:0/18:1),1,2
LIN,TG(12:0/16:0/16:0),TG(14:0/14:0/18:0),1,2
LIN,TG(18:0/18:2/20:1),TG(18:1/18:2/18:3),1,2
