Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Class sums and ratios	CTL	PA	regulation of DNA-templated transcription	GO:0006355	4	1464	2	5.51	0.00812	0.00462	SORBI_3005G013500;SORBI_3005G013600;SORBI_3005G014200;SORBI_3005G014800
BP	Individual lipid species	CTL	PA	hydrogen peroxide catabolic process	GO:0042744	3	144	1	19.11	0.0077	0.0222	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PA	response to oxidative stress	GO:0006979	3	178	1	15.46	0.0119	0.0225	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PA	cellular oxidant detoxification	GO:0098869	3	202	1	13.62	0.012	0.0231	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
BP	Individual lipid species	CTL	PC	proteolysis	GO:0006508	6	474	3	9.46	0.00096	0.00364	SORBI_3001G248200;SORBI_3001G248300;SORBI_3008G103200;SORBI_3010G126100;SORBI_3010G126400;SORBI_3010G127600
BP	Individual lipid species	CTL	PC	positive regulation of transcription by RNA polymerase II	GO:0045944	2	113	2	13.23	0.0456	0.018	SORBI_3001G248100;SORBI_3008G103500
BP	Individual lipid species	CTL	PC	negative regulation of response to salt stress	GO:1901001	2	25	1	59.79	0.0077	0.0307	SORBI_3010G126900;SORBI_3010G127300
BP	Individual lipid species	CTL	PC	regulation of DNA-templated transcription	GO:0006355	4	1464	4	2.04	0.241	0.0467	SORBI_3003G252200;SORBI_3008G095200;SORBI_3008G103500;SORBI_3009G140700
BP	Individual lipid species	CTL	TG	formation of cytoplasmic translation initiation complex	GO:0001732	4	21	6	8.18	0.012	0.00394	SORBI_3002G044000;SORBI_3006G044600;SORBI_3008G095500;SORBI_3009G234400
BP	Individual lipid species	CTL	TG	positive regulation of cytoplasmic translation	GO:2000767	20	213	20	4.03	1.29e-05	0.00394	SORBI_3001G221850;SORBI_3004G137601;SORBI_3006G033001;SORBI_3006G034225;SORBI_3006G036632;SORBI_3006G040201;SORBI_3006G040301;SORBI_3006G042425;SORBI_3006G044532;SORBI_3006G048925;SORBI_3006G049450;SORBI_3006G049666;SORBI_3007G103350;SORBI_3007G103732;SORBI_3008G094500;SORBI_3009G095480;SORBI_3009G095560;SORBI_3010G134801;SORBI_3010G140150;SORBI_3010G140750
BP	Individual lipid species	CTL	TG	positive regulation of defense response	GO:0031349	4	20	4	8.59	0.0119	0.00637	SORBI_3003G069950;SORBI_3006G039800;SORBI_3010G143600;SORBI_3010G194600
BP	Individual lipid species	CTL	TG	cutin biosynthetic process	GO:0010143	2	3	2	28.62	0.0121	0.00837	SORBI_3001G222700;SORBI_3003G360700
BP	Individual lipid species	CTL	TG	phospholipid metabolic process	GO:0006644	3	16	3	8.05	0.03	0.00897	SORBI_3003G078700;SORBI_3005G145100;SORBI_3010G193300
BP	Individual lipid species	CTL	TG	iron-sulfur cluster assembly	GO:0016226	4	30	4	5.72	0.0294	0.00897	SORBI_3002G092300;SORBI_3004G205000;SORBI_3009G050500;SORBI_3010G140600
BP	Individual lipid species	CTL	TG	glutathione metabolic process	GO:0006749	10	85	2	5.05	0.00096	0.0092	SORBI_3001G318000;SORBI_3001G318500;SORBI_3001G318600;SORBI_3001G318700;SORBI_3001G319000;SORBI_3001G319300;SORBI_3001G319500;SORBI_3003G426300;SORBI_3003G426500;SORBI_3003G426600
BP	Individual lipid species	CTL	TG	translation	GO:0006412	11	309	11	1.53	0.23	0.0092	SORBI_3001G221500;SORBI_3002G148166;SORBI_3002G244600;SORBI_3002G364301;SORBI_3003G205400;SORBI_3004G103700;SORBI_3007G071300;SORBI_3007G110500;SORBI_3009G050300;SORBI_3009G237200;SORBI_3010G150575
BP	Individual lipid species	CTL	TG	polyamine transmembrane transport	GO:1902047	3	7	1	18.4	0.0077	0.0121	SORBI_3001G357500;SORBI_3001G357700;SORBI_3001G357800
