"Condition","Rank","Lipid","Class","Variance"
"Control",1,"MGDG(18:3/18:3)","MGDG",7.19751441425932
"Control",2,"PC(16:0/18:2)","PC",2.62423968170352
"Control",3,"DG(18:3/18:3)","DG",0.840319388033063
"Control",4,"PC(16:0/18:1)","PC",0.814429761505878
"Control",5,"PC(16:0/18:0)","PC",0.331723411228863
"Control",6,"PC(16:0/18:3)","PC",0.279276538618007
"Control",7,"DGDG(18:2/18:4)","DGDG",0.273854330087657
"Control",8,"PC(18:1/16:0)","PC",0.211299581871373
"Control",9,"PC(16:0/20:5)","PC",0.199631855916565
"Control",10,"PC(16:0/20:4)","PC",0.148128575022058
"LowInput",1,"MGDG(18:3/18:3)","MGDG",3.805130690523
"LowInput",2,"PC(16:0/18:2)","PC",1.70631165912727
"LowInput",3,"PC(16:0/18:0)","PC",0.84866085119735
"LowInput",4,"DG(18:3/18:3)","DG",0.574321212703372
"LowInput",5,"DGDG(18:2/18:4)","DGDG",0.366255435436007
"LowInput",6,"PC(16:1/18:2)","PC",0.289562573580161
"LowInput",7,"PC(16:0/18:3)","PC",0.238895704238523
"LowInput",8,"PC(16:0/20:5)","PC",0.191073609072983
"LowInput",9,"PC(16:1/20:4)","PC",0.167131663148609
"LowInput",10,"PC(18:0/18:1)","PC",0.150624026886299
