"Lipid","Class","n_C","n_LI","median_CLR_C","median_CLR_LI","effect_CLR","effect_fc","direction","p_wilcox","p_adj_BH","significance","jackknife_stability"
"DG(18:1/2:0)","DG",394,363,0.0694,2.8818,2.8124,16.65,"LI > C","4.08e-125","1.85e-124","***",1
"SQDG(16:0/16:0)","SQDG",394,363,2.2349,-2.5394,-4.7743,0.01,"LI < C","4.08e-125","1.85e-124","***",1
"SQDG(16:0/18:1)","SQDG",394,363,-0.9216,1.8619,2.7836,16.18,"LI > C","4.08e-125","1.85e-124","***",1
"SQDG(16:0/18:2)","SQDG",394,363,0.1477,-1.8563,-2.004,0.13,"LI < C","4.08e-125","1.85e-124","***",1
"SQDG(16:0/18:3)","SQDG",394,363,3.3749,-0.1537,-3.5285,0.03,"LI < C","4.08e-125","1.85e-124","***",1
"SQDG(16:1/18:3)","SQDG",394,363,-1.5228,2.7581,4.2809,72.31,"LI > C","4.08e-125","1.85e-124","***",1
"SQDG(18:0/18:3)","SQDG",394,363,0.308,-1.514,-1.822,0.16,"LI < C","4.08e-125","1.85e-124","***",1
"SQDG(18:3/18:3)","SQDG",394,363,2.7647,0.1467,-2.618,0.07,"LI < C","4.08e-125","1.85e-124","***",1
"TG(14:0/18:1/18:3)","TG",394,363,-2.6996,-0.5649,2.1347,8.45,"LI > C","4.08e-125","1.85e-124","***",1
"TG(16:0/18:0/18:2)","TG",394,363,-0.0038,-3.0723,-3.0685,0.05,"LI < C","4.08e-125","1.85e-124","***",1
"TG(16:0/18:1/18:2)","TG",394,363,0.5967,-3.7684,-4.3651,0.01,"LI < C","4.08e-125","1.85e-124","***",1
"TG(16:0/18:1/18:3)","TG",394,363,0.9884,-0.5231,-1.5115,0.22,"LI < C","4.14e-125","1.85e-124","***",1
"TG(16:0/18:2/18:3)","TG",394,363,1.3172,-1.6686,-2.9858,0.05,"LI < C","4.08e-125","1.85e-124","***",1
"TG(16:0/18:3/18:3)","TG",394,363,0.9915,-2.9721,-3.9637,0.02,"LI < C","4.08e-125","1.85e-124","***",1
"TG(16:1/20:1/20:2)","TG",394,363,-2.9992,3.3148,6.314,552.25,"LI > C","4.08e-125","1.85e-124","***",1
"TG(18:0/18:2/18:2)","TG",394,363,0.028,-4.3035,-4.3315,0.01,"LI < C","4.08e-125","1.85e-124","***",1
"TG(18:0/18:2/20:1)","TG",394,363,-4.0755,1.0683,5.1438,171.37,"LI > C","4.08e-125","1.85e-124","***",1
"TG(18:1/18:1/20:3)","TG",394,363,-2.7922,0.5945,3.3867,29.57,"LI > C","4.08e-125","1.85e-124","***",1
"TG(18:2/18:2/18:4)","TG",394,363,1.2423,-3.8782,-5.1206,0.01,"LI < C","4.08e-125","1.85e-124","***",1
"TG(18:2/18:2/22:1)","TG",394,363,-4.626,2.7551,7.3811,1605.35,"LI > C","4.08e-125","1.85e-124","***",1
"TG(18:2/18:3/20:3)","TG",394,363,-3.4299,-0.3674,3.0625,21.38,"LI > C","4.08e-125","1.85e-124","***",1
"TG(18:3/18:3/18:3)","TG",394,363,0.4055,-3.6528,-4.0583,0.02,"LI < C","4.08e-125","1.85e-124","***",1
"PC(16:0/20:4)","PC",394,363,3.5859,0.8954,-2.6905,0.07,"LI < C","4.08e-125","1.85e-124","***",1
"PC(16:1/18:2)","PC",394,363,-0.4123,3.5922,4.0046,54.85,"LI > C","4.08e-125","1.85e-124","***",1
"PC(18:0/18:1)","PC",394,363,-0.4511,3.2443,3.6954,40.26,"LI > C","4.08e-125","1.85e-124","***",1
"PC(18:0/20:2)","PC",394,363,-0.9472,0.923,1.8702,6.49,"LI > C","4.08e-125","1.85e-124","***",1
"PC(18:0/20:3)","PC",394,363,-1.0534,-3.7255,-2.6721,0.07,"LI < C","4.08e-125","1.85e-124","***",1
"PC(18:1/18:2)","PC",394,363,1.1948,-1.845,-3.0398,0.05,"LI < C","4.08e-125","1.85e-124","***",1
"PC(18:2/20:0)","PC",394,363,-1.0308,2.6786,3.7094,40.83,"LI > C","4.08e-125","1.85e-124","***",1
"PE(14:0/22:6)","PE",394,363,-0.7371,2.3139,3.051,21.14,"LI > C","4.08e-125","1.85e-124","***",1
"PE(16:0/18:1)","PE",394,363,2.5082,0.072,-2.4362,0.09,"LI < C","4.08e-125","1.85e-124","***",1
"PE(16:0/18:3)","PE",394,363,1.867,3.6528,1.7858,5.96,"LI > C","4.08e-125","1.85e-124","***",1
"PE(18:0/18:2)","PE",394,363,0.2126,2.253,2.0404,7.69,"LI > C","4.08e-125","1.85e-124","***",1
"PS(18:0/18:2)","PS",394,363,-2.4249,-0.155,2.2699,9.68,"LI > C","4.11e-125","1.85e-124","***",1
"PC(18:1/20:1)","PC",394,363,-0.7895,1.0655,1.855,6.39,"LI > C","4.55e-125","1.98e-124","***",1
"SQDG(18:2/18:3)","SQDG",394,363,0.5161,-0.8477,-1.3638,0.26,"LI < C","5.01e-125","2.05e-124","***",1
"TG(16:0/18:1/20:2)","TG",394,363,-0.4853,-2.4995,-2.0142,0.13,"LI < C","5.13e-125","2.05e-124","***",1
"PE(18:2/18:3)","PE",394,363,1.5316,0.2862,-1.2453,0.29,"LI < C","5.09e-125","2.05e-124","***",1
"TG(12:0/16:0/18:3)","TG",394,363,-3.3911,-1.1895,2.2016,9.04,"LI > C","6.99e-125","2.72e-124","***",1
"PC(16:0/22:5)","PC",394,363,-1.7159,-3.6659,-1.95,0.14,"LI < C","1.14e-124","4.34e-124","***",1
"PE(16:0/18:2)","PE",394,363,4.1152,3.2767,-0.8385,0.43,"LI < C","2.70e-124","1.00e-123","***",1
"TG(12:0/14:0/16:0)","TG",394,363,-1.1249,-3.5249,-2.4,0.09,"LI < C","3.29e-124","1.19e-123","***",1
"PE(16:0/18:0)","PE",394,363,-1.2442,-2.5912,-1.347,0.26,"LI < C","3.95e-124","1.40e-123","***",1
"TG(18:1/18:2/18:2)","TG",394,363,0.2096,-2.1188,-2.3284,0.1,"LI < C","4.97e-124","1.72e-123","***",1
