trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
TG(8:0_10:0_10:0),LIN,individual,3:29153705,3,29153705,3.823809e-10,SORBI_3003G169600,1
TG(8:0_10:0_10:0),LIN,individual,3:29153705,3,29153705,3.823809e-10,SORBI_3003G169600,1
TG(8:0_10:0_10:0),LIN,individual,3:29153771,3,29153771,3.823809e-10,SORBI_3003G169600,1
TG(8:0_10:0_10:0),LIN,individual,3:29153771,3,29153771,3.823809e-10,SORBI_3003G169600,1
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G268900,1
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G268900,1
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G269400,1
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G269300,0.887446
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G269400,0.886918
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G269400,0.885167
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G269400,0.818859
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G269400,0.798611
TG(8:0_10:0_10:0),LIN,individual,3:60575521,3,60575521,5.47831e-10,SORBI_3003G268600,0.786323
