trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G079032,1
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G079032,1
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G079100,0.889065
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078966,0.867983
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G079100,0.855441
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078900,0.853857
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G079032,0.834985
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078900,0.831463
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078966,0.826836
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G079100,0.780327
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078966,0.780017
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078800,0.727669
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078800,0.727596
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078800,0.724732
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078800,0.721899
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G078700,0.719116
Cer(24:1),LIN,individual,8:12582444,8,12582444,3.586568e-10,SORBI_3008G079300,0.698362
Cer(24:1),LIN,individual,4:6242884,4,6242884,8.023327e-10,SORBI_3004G076400,0.875556
Cer(24:1),LIN,individual,4:6242884,4,6242884,8.023327e-10,SORBI_3004G076300,0.728886
Cer(24:1),LIN,individual,8:41507558,8,41507558,3.489457e-09,SORBI_3008G092800,1
Cer(24:1),LIN,individual,8:41507558,8,41507558,3.489457e-09,SORBI_3008G092800,1
Cer(24:1),LIN,individual,2:70121416,2,70121416,6.691346e-09,SORBI_3002G332750,1
Cer(24:1),LIN,individual,2:70121416,2,70121416,6.691346e-09,SORBI_3002G332750,1
