"Condition","Theme","GeneID","GeneName","Family_SubFamily","Protein_class","GO_MF","GO_BP","Best_P_Value","Max_N_Phenotypes","TraitLayers"
"CTL","Lipid metabolism and transport","SORBI_3002G355900","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","BIFUNCTIONAL INHIBITOR_PLANT LIPID TRANSFER PROTEIN_SEED STORAGE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR33044:SF87)",NA,NA,NA,3.41e-14,68,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G356000","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","BIFUNCTIONAL INHIBITOR_PLANT LIPID TRANSFER PROTEIN_SEED STORAGE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR33044:SF232)",NA,NA,NA,3.41e-14,68,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G356200","amino-acid N-acetyltransferase","AMINO-ACID N-ACETYLTRANSFERASE (PTHR30602:SF9)","acetyltransferase(PC00038)","L-glutamate N-acetyltransferase activity(GO:0004042);L-glutamate N-acetyltransferase activity, acting on acetyl-L-ornithine as donor(GO:0004358);transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747);L-amino-acid N-acetyltransferase activity(GO:0140085)","L-arginine biosynthetic process(GO:0006526);amino acid biosynthetic process(GO:0008652)",3.41e-14,68,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G402100","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","BIFUNCTIONAL INHIBITOR_PLANT LIPID TRANSFER PROTEIN_SEED STORAGE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR33044:SF211)",NA,NA,NA,1.62e-12,68,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G402233","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","BIFUNCTIONAL INHIBITOR_PLANT LIPID TRANSFER PROTEIN_SEED STORAGE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR33044:SF87)",NA,NA,NA,1.62e-12,68,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3006G060000","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","CDP-DIACYLGLYCEROL--INOSITOL 3-PHOSPHATIDYLTRANSFERASE (PTHR15362:SF38)","transferase(PC00220)","CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity(GO:0003881);transferase activity(GO:0016740);phosphotransferase activity, for other substituted phosphate groups(GO:0016780);metal ion binding(GO:0046872)","lipid metabolic process(GO:0006629);phosphatidylinositol biosynthetic process(GO:0006661);phospholipid biosynthetic process(GO:0008654)",2.78e-12,68,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G106400","EXPERA domain-containing protein","3-BETA-HYDROXYSTEROID-DELTA(8)DELTA(7)-ISOMERASE-RELATED (PTHR14207:SF6)","isomerase(PC00135)","C-8 sterol isomerase activity(GO:0000247);steroid Delta-isomerase activity(GO:0004769);cholestenol delta-isomerase activity(GO:0047750)","sterol metabolic process(GO:0016125);sterol biosynthetic process(GO:0016126)",4.56e-12,64,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G106600","EXPERA domain-containing protein","EXPERA DOMAIN-CONTAINING PROTEIN (PTHR14207:SF2)","isomerase(PC00135)","C-8 sterol isomerase activity(GO:0000247);steroid Delta-isomerase activity(GO:0004769);cholestenol delta-isomerase activity(GO:0047750)","sterol metabolic process(GO:0016125);sterol biosynthetic process(GO:0016126)",4.56e-12,64,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3001G207600","ABC transporter domain-containing protein","ABC TRANSPORTER G FAMILY MEMBER 11 (PTHR48042:SF11)","ATP-binding cassette (ABC) transporter(PC00003)","nucleotide binding(GO:0000166);ATP binding(GO:0005524);fatty acid transmembrane transporter activity(GO:0015245);efflux transmembrane transporter activity(GO:0015562);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)","response to salt stress(GO:0009651);fatty acid transport(GO:0015908);transmembrane transport(GO:0055085);cutin transport(GO:0080051)",4.79e-12,64,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G106800","EXPERA domain-containing protein","EXPERA DOMAIN-CONTAINING PROTEIN (PTHR14207:SF2)","isomerase(PC00135)","C-8 sterol isomerase activity(GO:0000247);steroid Delta-isomerase activity(GO:0004769);cholestenol delta-isomerase activity(GO:0047750)","sterol metabolic process(GO:0016125);sterol biosynthetic process(GO:0016126)",4.56e-12,63,"SumRatio"
