trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373900,0.935611
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.930287
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373900,0.924727
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373900,0.92388
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.917487
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.914963
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373900,0.913018
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.901579
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.766344
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.759312
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.755895
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.752292
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.748873
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.745189
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.738292
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.734767
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.691138
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.689594
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.685175
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.68378
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.679533
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,2:73175366,2,73175366,1.590391e-11,SORBI_3002G373800,0.675081
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633568,3,64633568,7.405914e-10,SORBI_3003G318650,0.897698
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633589,3,64633589,7.405914e-10,SORBI_3003G318650,0.897698
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633599,3,64633599,7.405914e-10,SORBI_3003G318650,0.897698
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633627,3,64633627,7.405914e-10,SORBI_3003G318650,0.897698
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633678,3,64633678,7.405914e-10,SORBI_3003G318650,0.897698
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633690,3,64633690,7.405914e-10,SORBI_3003G318650,0.897698
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633692,3,64633692,7.405914e-10,SORBI_3003G318650,0.897698
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633568,3,64633568,7.405914e-10,SORBI_3003G318650,0.685207
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633589,3,64633589,7.405914e-10,SORBI_3003G318650,0.685207
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633599,3,64633599,7.405914e-10,SORBI_3003G318650,0.685207
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633627,3,64633627,7.405914e-10,SORBI_3003G318650,0.685207
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633678,3,64633678,7.405914e-10,SORBI_3003G318650,0.685207
Sum_DGDG_over_LPE_log10safe,CTL,sumratio,3:64633690,3,64633690,7.405914e-10,SORBI_3003G318650,0.685207
