trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042600,1
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042600,1
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042600,0.99135
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042700,0.908815
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042200,0.882054
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042200,0.879475
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042600,0.844007
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042200,0.842615
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042200,0.836872
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042200,0.807516
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042400,0.787332
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042700,0.733083
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042700,0.7311
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042700,0.727828
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042800,0.727509
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042901,0.726219
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G042800,0.725344
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041700,0.715112
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041800,0.715112
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041900,0.715112
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041900,0.713632
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041800,0.713166
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041800,0.71148
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041800,0.704246
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041800,0.702878
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041800,0.69657
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G041800,0.672654
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G040500,0.641786
Sum_SM_over_TG_log10safe,LIN,sumratio,1:3169434,1,3169434,4.651606e-09,SORBI_3001G040500,0.634547
