trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
SM(d18:1_17:0),LIN,individual,6:7505330,6,7505330,9.085925e-12,SORBI_3006G033001,1
SM(d18:1_17:0),LIN,individual,6:7505330,6,7505330,9.085925e-12,SORBI_3006G033001,1
SM(d18:1_17:0),LIN,individual,9:1570121,9,1570121,1.420497e-09,SORBI_3009G016700,0.976222
SM(d18:1_17:0),LIN,individual,9:1570121,9,1570121,1.420497e-09,SORBI_3009G016633,0.887935
SM(d18:1_17:0),LIN,individual,9:1575657,9,1575657,2.964665e-09,SORBI_3009G016700,0.975809
SM(d18:1_17:0),LIN,individual,9:1575657,9,1575657,2.964665e-09,SORBI_3009G016633,0.889057
SM(d18:1_17:0),LIN,individual,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212451,0.653857
SM(d18:1_17:0),LIN,individual,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.646853
SM(d18:1_17:0),LIN,individual,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212600,0.646853
SM(d18:1_17:0),LIN,individual,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.629255
SM(d18:1_17:0),LIN,individual,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.622474
SM(d18:1_17:0),LIN,individual,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212600,0.622474
