trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373900,0.935611
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.930287
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373900,0.924727
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373900,0.92388
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.917487
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.914963
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373900,0.913018
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.901579
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.766344
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.759312
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.755895
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.752292
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.748873
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.745189
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.738292
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.734767
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.691138
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.689594
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.685175
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.68378
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.679533
Sum_SQDG_over_PA_log10safe,CTL,sumratio,2:73175366,2,73175366,4.768135e-10,SORBI_3002G373800,0.675081
