trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633568,3,64633568,1.671487e-11,SORBI_3003G318650,0.897698
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633589,3,64633589,1.671487e-11,SORBI_3003G318650,0.897698
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633599,3,64633599,1.671487e-11,SORBI_3003G318650,0.897698
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633627,3,64633627,1.671487e-11,SORBI_3003G318650,0.897698
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633678,3,64633678,1.671487e-11,SORBI_3003G318650,0.897698
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633690,3,64633690,1.671487e-11,SORBI_3003G318650,0.897698
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633692,3,64633692,1.671487e-11,SORBI_3003G318650,0.897698
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633568,3,64633568,1.671487e-11,SORBI_3003G318650,0.685207
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633589,3,64633589,1.671487e-11,SORBI_3003G318650,0.685207
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633599,3,64633599,1.671487e-11,SORBI_3003G318650,0.685207
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633627,3,64633627,1.671487e-11,SORBI_3003G318650,0.685207
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633678,3,64633678,1.671487e-11,SORBI_3003G318650,0.685207
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633690,3,64633690,1.671487e-11,SORBI_3003G318650,0.685207
Sum_MG_over_DG_log10safe,CTL,sumratio,3:64633692,3,64633692,1.671487e-11,SORBI_3003G318650,0.685207
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957035,9,50957035,7.788727e-10,SORBI_3009G153366,0.763621
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957036,9,50957036,7.788727e-10,SORBI_3009G153366,0.763621
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957035,9,50957035,7.788727e-10,SORBI_3009G153366,0.747267
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957036,9,50957036,7.788727e-10,SORBI_3009G153366,0.747267
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957035,9,50957035,7.788727e-10,SORBI_3009G152800,0.42617
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957036,9,50957036,7.788727e-10,SORBI_3009G152800,0.42617
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957035,9,50957035,7.788727e-10,SORBI_3009G152800,0.422543
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957036,9,50957036,7.788727e-10,SORBI_3009G152800,0.422543
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957035,9,50957035,7.788727e-10,SORBI_3009G152800,0.409622
Sum_MG_over_DG_log10safe,CTL,sumratio,9:50957036,9,50957036,7.788727e-10,SORBI_3009G152800,0.409622
